"Continent","IE","Firefox","Safari","Chrome","Opera","Maxthon","UC Browser","Nokia","iPhone","NetFront","Mozilla","Windows Media Player"
United States of America ,50.41,28.76,8.86,7.46,0,0,0,0,0,0,0,0
Brazil ,54,32.82,0,11.29,0,0,0,0,0,0,0,0
Thailand ,76.32,16.36,0,3.77,0,0,0,0,0,0,0,0
Turkey ,75.98,16.71,0,5.73,0,0,0,0,0,0,0,0
United Kingdom ,53.56,25.39,5.93,9.51,1.02,0,0,0,0,0,0,0
Germany ,26.71,59.53,3.56,3.88,4.54,0,0,0,0,0,0,0
China ,86.7,3.7,0,1.12,0,5.96,1.08,0,0,0,0,0
Indonesia ,8.05,70.64,1.19,5.72,11.63,0,0,1.36,0,0,0,0
Canada ,49.74,31.77,8.2,7.58,0,0,0,0,0,0,0,0
Mexico ,67.81,20.6,2.67,6.29,1.06,0,0,0,0,0,0,0
Spain ,54.35,31.51,2.91,8.84,1.12,0,0,0,0,0,0,0
India ,46.23,29.05,0,13.27,7.6,0,0,2,0,0,0,0
Netherlands ,64.86,20.5,4.11,7.47,1.17,0,0,0,0,0,0,0
France ,48.25,36.17,4.97,7.31,1.14,0,0,0,0,0,0,0
Italy ,54.86,29.1,4.1,9.46,1.27,0,0,0,0,0,0,0
Argentina ,58.71,29.01,0,9.56,1.33,0,0,0,0,0,0,0
South Korea ,93.02,3.44,0,1.66,0,0,0,0,0,0,0,0
Philippines ,22.14,57.95,1.72,15.2,1.37,0,0,0,0,0,0,0
Australia ,50.54,29.92,7.63,7.69,0,0,0,0,1.18,0,0,0
Taiwan ,84.25,9.58,0,3.6,0,0,0,0,0,0,0,0
Malaysia ,43.26,39,1.28,11.73,1.36,0,0,1.7,0,0,0,0
Serbia ,24.07,49.45,0,16.33,8.41,0,0,0,0,0,0,0
Saudi Arabia ,72.11,13.61,0,8.26,0,0,0,2.56,0,0,0,0
Israel ,73.4,13.67,0,10.16,0,0,0,0,0,0,0,0
Venezuela ,60.97,26.99,1.29,9.32,0,0,0,0,0,0,0,0
Poland ,23.46,54.69,1.01,7.19,12.13,0,0,0,0,0,0,0
Sweden ,50.25,33.52,5.13,8.17,1.52,0,0,0,0,0,0,0
Egypt ,62.99,25.65,0,6.23,3.01,0,0,0,0,0,0,0
Colombia ,61.9,24.3,1.24,11.4,0,0,0,0,0,0,0,0
Peru ,78.97,13.54,0,6,0,0,0,0,0,0,0,0
Vietnam ,56.17,35.41,0,5.14,2.06,0,0,0,0,0,0,0
Hungary ,28.09,56.56,1.01,8.42,5.05,0,0,0,0,0,0,0
Romania ,39.82,44.32,0,8.24,6.13,0,0,0,0,0,0,0
Chile ,48.58,35.32,1.46,12.18,1.61,0,0,0,0,0,0,0
Singapore ,50.94,29.05,6.06,9.3,0,0,0,0,1.96,0,0,0
Belgium ,57.84,27.43,5.39,7.22,1.12,0,0,0,0,0,0,0
Japan ,61.45,22.44,5.96,5.45,1.62,0,0,0,0,0,0,0
Portugal ,58.17,28.28,2.74,8.65,1.32,0,0,0,0,0,0,0
United Arab Emirates ,72.84,13.06,1.96,7.62,0,0,0,2.17,0,0,0,0
Russian Federation ,26.85,33.76,1.41,6.3,30.24,0,0,0,0,0,0,0
Greece ,41.28,45.41,2.15,8.07,2.07,0,0,0,0,0,0,0
Finland ,30.24,53.7,4.54,6.1,3.97,0,0,0,0,0,0,0
Hong Kong ,67.56,19.43,4.38,5.81,0,0,0,0,0,0,0,0
Denmark ,59.26,23.66,6.53,8.31,1.08,0,0,0,0,0,0,0
Norway ,47.27,29.54,6.24,8.84,6.75,0,0,0,0,0,0,0
Ireland ,52.46,28.14,4.75,10.73,1.29,0,0,0,0,0,0,0
Bulgaria ,38.68,46.8,0,7.24,5.91,0,0,0,0,0,0,0
Switzerland ,43.62,37.68,10.06,5.01,1.81,0,0,0,0,0,0,0
Iran ,65.72,25.76,0,2.32,3.99,0,0,0,0,0,0,0
Austria ,39.53,45.86,4.95,4.92,3.39,0,0,0,0,0,0,0
Morocco ,64.62,25.77,0,6.11,1.79,0,0,0,0,0,0,0
Pakistan ,51.62,29.31,0,13.62,3.66,0,0,0,0,0,0,0
Ecuador ,57.51,30.92,1.9,7.09,0,0,0,0,0,0,0,0
Croatia ,33.12,51.45,1.34,8.51,4.58,0,0,0,0,0,0,0
Kuwait ,75.93,11.74,1.94,5.85,0,0,0,2.14,0,0,0,0
South Africa ,61.67,19.79,2.36,7.31,6.25,0,0,1.2,0,0,0,0
New Zealand ,49.22,30.34,7.3,10.28,1.08,0,0,0,0,0,0,0
Czech Republic ,31.99,45.41,1.82,9.15,10.11,0,0,0,0,0,0,0
Slovenia ,36.09,52.14,1.56,7.22,2.18,0,0,0,0,0,0,0
Ukraine ,24.46,33.21,0,6.7,33.34,0,0,0,0,0,0,0
Bosnia and Herzegovina ,22.33,55.65,0,15.76,5.35,0,0,0,0,0,0,0
Algeria ,58.14,31.35,0,7.27,2.11,0,0,0,0,0,0,0
Qatar ,69.86,14,2.01,9.96,1.11,0,0,1.83,0,0,0,0
Slovakia (Slovak Republic) ,26.26,47.21,1.32,10.57,13.5,0,0,0,0,0,0,0
Paraguay ,42.71,43.5,0,11.99,0,0,0,0,0,0,0,0
Guatemala ,56.75,28.69,2.33,10.25,0,0,0,0,0,0,0,0
Macedonia ,22.89,55.26,0,16.78,4.07,0,0,0,0,0,0,0
Jordan ,65.85,17.96,0,10.8,1.69,0,0,2.21,0,0,0,0
Bahrain ,81.24,9.5,1.66,5.12,0,0,0,1.11,0,0,0,0
Puerto Rico ,55.15,27.56,5.11,8.72,0,0,0,0,0,0,0,0
Tunisia ,26.94,47.67,0,22.21,1.64,0,0,0,0,0,0,0
Lithuania ,37.01,43.58,1.3,8.29,9.07,0,0,0,0,0,0,0
Nigeria ,29.48,20.67,0,3.75,44.08,0,0,0,0,0,0,0
Costa Rica ,48.56,34.85,3.07,8.56,1.51,0,0,1.79,0,0,0,0
Latvia ,30.18,51.91,1.81,8.98,6.23,0,0,0,0,0,0,0
Syrian Arab Republic ,69.79,20.89,0,2.89,3.59,0,0,1.68,0,0,0,0
Panama ,66.47,21.77,2.14,7.6,0,0,0,0,0,0,0,0
Dominican Republic ,48.53,35.46,2.32,11.6,1.11,0,0,0,0,0,0,0
Bolivia ,66.44,24.25,1.07,5.96,1.09,0,0,0,0,0,0,0
Honduras ,57.63,26.8,1.45,8.76,2.36,0,0,1.26,0,0,0,0
Uruguay ,49.24,36.18,0,11.96,1.16,0,0,0,0,0,0,0
Estonia ,32.52,49.54,3,8.45,5.57,0,0,0,0,0,0,0
Palestinian Territory ,70.33,19.56,0,6.71,1.68,0,0,0,0,0,0,0
Oman ,70.26,12.27,0,6.71,2.38,0,0,6.09,0,0,0,0
El Salvador ,47.76,39.42,1.64,8.75,1.31,0,0,0,0,0,0,0
Mongolia ,25.2,66.03,0,5.48,1.65,0,0,0,0,0,0,0
Lebanon ,68.12,18.14,2.36,8.27,1.09,0,0,1.15,0,0,0,0
Cyprus ,58.42,28.83,2.15,7.88,1.67,0,0,0,0,0,0,0
Bangladesh ,29.79,42.62,0,7.29,15.4,0,0,2.79,0,0,0,0
Sri Lanka ,34.8,39.25,0,20.09,3.59,0,0,0,0,0,0,0
Montenegro ,31.99,42.5,0,17.12,6.09,0,0,0,0,0,0,0
Iraq ,72.75,13.66,0,4.43,3.84,0,0,3.74,0,0,0,0
Libya ,56.77,18.48,0,10.77,5.5,0,0,6.86,0,0,0,0
Georgia ,30.01,18.31,0,8.12,42.3,0,0,0,0,0,0,0
Belarus ,22.46,25.49,0,5.56,44.43,0,0,0,0,0,0,0
Trinidad and Tobago ,44.25,32.45,3.07,16.86,1.75,0,0,0,0,0,0,0
Moldova ,25.69,48.84,0,11.94,12.04,0,0,0,0,0,0,0
Sudan ,59.48,19.31,0,2.98,8.71,0,0,7.78,0,0,0,0
Iceland ,36.27,41.47,8.46,11.61,1.4,0,0,0,0,0,0,0
Albania ,23.66,46.82,0,26.36,1.38,0,0,0,0,0,0,0
Azerbaijan ,51.8,15,1.14,6.15,24.6,0,0,0,0,0,0,0
Malta ,54.83,26.96,2.67,13.24,1.11,0,0,0,0,0,0,0
Yemen ,68.1,17.86,0,8.76,3.45,0,0,0,0,0,0,0
Nepal ,52.89,28.97,1.09,10.95,5.16,0,0,0,0,0,0,0
Brunei Darussalam ,22.91,37.55,4.93,9.77,8.63,0,0,13.36,0,0,0,0
Nicaragua ,45,44.19,1.24,7.27,1.35,0,0,0,0,0,0,0
Myanmar ,51.62,45.1,0,1.91,0,0,0,0,0,0,0,0
Jamaica ,41.02,38.89,2.84,13.99,1.85,0,0,0,0,0,0,0
Senegal ,30.94,60.95,1.14,5.67,0,0,0,0,0,0,0,0
Luxembourg ,41.27,37.8,7.39,5.2,5.92,0,0,0,1.34,0,0,0
Kazakhstan ,28.52,31.28,0,6.3,32.07,0,0,0,0,0,0,0
Macao ,69.38,18.32,3.16,5.39,0,1.85,0,0,0,0,0,0
Bermuda ,71.12,12.98,10.34,4.17,0,0,0,0,0,0,0,0
Kenya ,36.1,38.41,2.54,6.73,14.44,0,0,0,0,0,0,0
Mauritius ,32.51,46.67,2.18,13.46,3.55,0,0,0,0,0,0,0
Bahamas ,62.92,20.8,5.75,8.08,0,0,0,0,0,0,0,0
Faroe Islands ,65.51,20.04,3.53,8.83,0,0,0,0,0,0,0,0
Ghana ,30.81,52.59,1.59,5.4,7.47,0,0,0,0,0,0,0
Angola ,69.45,16.15,2.43,6.59,2.91,0,0,0,0,0,0,0
Cambodia ,47.83,33.5,2.62,6.2,4.45,0,0,3.17,0,0,0,0
Netherlands Antilles ,63.72,21.97,4.01,8.05,1.02,0,0,0,0,0,0,0
Cote dIvoire ,54.52,29.58,1.23,6.31,4.69,0,0,1.55,0,0,0,0
Barbados ,45.6,37.25,2.95,10.75,2.3,0,0,0,0,0,0,0
Armenia ,27.94,42.02,1.06,13.48,14.19,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,63.12,24.74,1.32,3.06,4.73,0,0,1.77,0,0,0,0
Ethiopia ,66.86,23.51,0,5.25,2.38,0,0,0,0,0,0,0
Reunion ,36.39,46.08,6.27,7.18,2.06,0,0,0,0,0,0,0
Isle of Man ,61.93,20.01,7.27,7.82,0,0,0,0,0,0,0,0
