"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Bolt","Sony PS3","Windows Media Player","Mozilla"
United States of America ,43.98,23.71,13.65,10.52,2.13,1.77,1.61,0,0,0,0,0,0,0,0,0,0
Brazil ,44.65,26.13,25.05,0,0,0,0,1.04,1.01,0,0,0,0,0,0,0,0
Thailand ,65.46,14.93,12.79,1.17,0,0,0,1.16,2.6,0,0,0,0,0,0,0,0
Germany ,21.13,58.23,11,4.38,0,0,0,3.6,0,0,0,0,0,0,0,0,0
Indonesia ,3.84,69.95,12.01,0,0,0,2.72,7.81,1.67,0,0,0,0,0,0,0,0
United Kingdom ,43.72,21.17,18.53,7.71,0,2.05,2.57,1.12,0,0,0,0,0,0,0,0,0
China ,85.06,3.16,4.4,0,0,0,0,0,0,3.66,1.53,0,0,0,0,0,0
Turkey ,62.05,17.42,18.05,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0
Canada ,43.1,26,14.76,10.18,0,1.94,0,0,0,0,0,0,0,0,0,0,0
South Korea ,86.42,2.21,3.39,0,6.34,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,49.71,25.64,17.89,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,54.81,17.46,17.65,3.69,0,0,0,2.87,1.18,0,0,0,0,0,0,0,0
India ,27.58,24.89,20.07,0,0,0,0,16.12,6.62,0,0,1.55,0,0,0,0,0
Netherlands ,55.91,19.28,14.52,6.01,0,1.16,0,1.04,0,0,0,0,0,0,0,0,0
Italy ,42.88,27.03,22.07,5.07,0,0,0,1.26,0,0,0,0,0,0,0,0,0
Philippines ,12.17,38.28,44.31,1.81,0,0,0,1.51,0,0,0,0,0,0,0,0,0
Argentina ,43.89,25.08,28.2,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0
France ,36.28,35.64,17.17,6.71,0,1.37,0,1.17,0,0,0,0,0,0,0,0,0
Australia ,42.13,25.13,14.79,11.59,0,3.14,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,29.16,32.2,28.59,1.66,0,0,0,1.78,2.81,0,0,1.61,0,0,0,0,0
Peru ,72.08,12.47,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,56.37,12.75,16.99,1.5,0,0,4.71,1.48,4.19,0,0,0,0,0,0,0,0
Serbia ,16.47,42.55,30.02,0,0,0,0,8.94,0,0,0,0,0,0,0,0,0
Taiwan ,74.94,11.4,9.54,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,18.26,51.87,16.11,1.13,0,0,0,11.25,0,0,0,0,0,0,0,0,0
Egypt ,45.11,34.7,13.25,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0
Japan ,58.06,18.79,11.16,5.89,1.1,1.56,0,1.43,0,0,0,0,0,0,0,0,0
Vietnam ,39.57,39.39,16.13,0,0,0,0,2.82,0,0,0,0,0,0,0,0,0
Israel ,58.68,12.59,24.66,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,20.36,50.36,22.86,1.18,0,0,0,4.27,0,0,0,0,0,0,0,0,0
Romania ,29.63,40.67,20.47,0,0,0,0,7.61,0,0,0,0,0,0,0,0,0
Sweden ,42.54,27.7,18.46,6.54,0,1.88,0,1.4,0,0,0,0,0,0,0,0,0
Colombia ,44.87,18.36,32.84,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,29.82,42.7,21.86,2.28,0,0,0,2.09,0,0,0,0,0,0,0,0,0
Russian Federation ,20.17,31.7,15.73,1.65,0,0,0,29.73,0,0,0,0,0,0,0,0,0
Belgium ,48.44,25.71,16.02,7.27,0,0,0,1.21,0,0,0,0,0,0,0,0,0
Chile ,36.1,24.53,34.59,1.84,0,0,0,1.3,0,0,0,0,0,0,0,0,0
Portugal ,49.94,24.75,19.46,3.48,0,0,0,1.32,0,0,0,0,0,0,0,0,0
United Arab Emirates ,59.25,13.28,16.77,3.67,0,0,0,1.17,3.11,0,0,0,0,0,0,0,0
Singapore ,39.13,23.71,19.19,8.51,1.27,5.04,0,1.06,0,0,0,0,0,0,0,0,0
Austria ,31.05,45.83,12.2,6.34,0,0,0,2.68,0,0,0,0,0,0,0,0,0
Switzerland ,37.03,34.76,10.75,13.22,0,1.56,0,1.59,0,0,0,0,0,0,0,0,0
Hong Kong ,58.87,18.11,12,5.87,0,1.82,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,40.33,29.06,27.44,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,30.94,43.48,18.78,0,0,0,0,5.31,0,0,0,0,0,0,0,0,0
Finland ,26.06,47.35,14.3,5.87,0,0,0,3.56,0,0,0,0,0,0,0,0,0
Denmark ,49.13,19.93,17.99,9.57,0,1.2,0,1.05,0,0,0,0,0,0,0,0,0
Pakistan ,33.59,30.99,26.27,0,0,0,0,6.69,1.15,0,0,0,0,0,0,0,0
Ecuador ,43.28,32.22,18.02,1.92,0,0,0,0,2.09,0,0,0,0,0,0,0,0
Ireland ,40.92,23.9,23.33,5.98,0,2.08,0,1.18,0,0,0,0,0,0,0,0,0
Norway ,39.16,24.53,19.13,9.28,0,1.14,0,5.42,0,0,0,0,0,0,0,0,0
Iran ,61.24,25.95,4.1,0,0,0,0,5.64,1.07,0,0,0,0,0,0,0,0
Ukraine ,15.29,32.74,14.56,1.04,0,0,0,35.62,0,0,0,0,0,0,0,0,0
Morocco ,42.79,32.7,18.8,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0
Croatia ,25.15,47.13,20.3,1.44,0,0,0,4.31,0,0,0,0,0,0,0,0,0
South Africa ,55.02,19.04,11.87,3.28,0,0,0,7.56,1.16,0,0,0,0,0,0,0,0
New Zealand ,41.44,25.3,19.62,9.95,0,0,0,1.11,0,0,0,0,0,0,0,0,0
Guatemala ,50.34,23.6,18.24,2.45,0,0,2.19,1.16,0,0,0,0,0,0,0,0,0
Czech Republic ,27.55,40.34,19.96,2.07,0,0,0,8.66,0,0,0,0,0,0,0,0,0
Kuwait ,59.93,11.16,12.09,4.02,1.06,4.89,1.85,1.16,2.35,0,0,0,1.08,0,0,0,0
Bosnia and Herzegovina ,13.61,45.64,35.31,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0
Slovenia ,32.51,47.7,14.54,2,0,0,0,2.34,0,0,0,0,0,0,0,0,0
Paraguay ,33.25,37.39,25.79,0,0,0,0,1.35,1.39,0,0,0,0,0,0,0,0
Jordan ,47.87,17.83,27.14,0,0,0,0,2.51,2.63,0,0,0,0,0,0,0,0
Algeria ,39.64,40.34,16.44,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,19.67,43.69,22.52,1.61,0,0,0,11.21,0,0,0,0,0,0,0,0,0
Qatar ,56.34,13.73,19.98,3.36,0,0,0,1.64,2.81,0,0,0,0,0,0,0,0
Macedonia ,11.45,43.88,39.98,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0
Tunisia ,16.4,32.55,46.86,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0
Nigeria ,23.27,26.05,6.82,1.51,0,0,0,37.56,1.99,0,0,0,0,1.38,0,0,0
Lithuania ,28.74,40.87,18.76,1.42,0,0,0,9.52,0,0,0,0,0,0,0,0,0
Puerto Rico ,42.75,23.03,20.42,7.13,1.67,0,0,0,0,0,0,0,1.23,0,1.21,0,0
Bangladesh ,17.93,46.16,9.97,0,0,0,0,19.41,3.91,0,0,0,0,0,0,0,0
Iraq ,59.33,19.6,12.41,0,0,0,0,3.75,3.74,0,0,0,0,0,0,0,0
Bahrain ,70.24,10.87,11.29,2.87,0,1.04,0,0,1.33,0,0,0,0,0,0,0,0
Bolivia ,57.88,26.7,11.78,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,15.72,28.51,51.94,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0
Belarus ,14.61,24.03,10.51,0,0,0,0,49.17,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,53.86,31.77,6.2,0,0,0,0,3.04,3.1,0,0,0,0,0,0,0,0
Honduras ,41.26,21.66,20.25,1.72,0,0,1.42,2.49,4.7,0,0,2.92,0,0,0,0,0
Costa Rica ,35.49,27.51,19.78,3.7,0,0,0,2.75,6.23,0,0,2.28,0,0,0,0,0
Sri Lanka ,26.39,35.08,28.46,0,0,0,0,6.34,1.51,0,0,0,0,0,0,0,0
Oman ,57.16,13.98,14.31,1.21,0,0,0,3.05,7.86,0,0,0,0,0,0,0,0
Latvia ,23.83,43.53,23.52,1.86,0,0,0,6.51,0,0,0,0,0,0,0,0,0
Estonia ,26.75,44.06,19.56,3.47,0,0,0,5.3,0,0,0,0,0,0,0,0,0
Panama ,53.22,19.11,20.5,3.88,0,0,0,1.15,0,0,0,0,0,0,0,0,0
Mongolia ,17.06,66.97,12.07,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0
Palestinian Territory ,54.6,26.55,15.53,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0
Dominican Republic ,31.25,27.19,32.78,3.22,0,0,2.42,1.82,0,0,0,0,0,0,0,0,0
Georgia ,14.69,17.4,24.72,0,0,0,0,42.1,0,0,0,0,0,0,0,0,0
Lebanon ,53.41,18.48,19.25,3.23,0,0,0,1.89,1.9,0,0,0,0,0,0,0,0
