"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Maxthon","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Samsung","Obigo","Iron"
United States of America ,37.9,20.3,19.2,12.26,3.77,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,40.96,42.39,12.05,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,27.96,45.83,20.52,1.35,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,33.36,25.75,17.64,10.91,2.46,3.91,1.13,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,10.52,22.48,18.71,0,1.9,0,17.96,0,9.75,8.98,4.6,1.46,0,0,0,0,0,0,0,0,0
Germany ,23.05,15.1,48.43,5.6,1.5,1.33,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,35.08,21.73,21.65,12.96,1.48,2.7,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,37.01,34.72,15.43,3.62,3.1,2.19,1.33,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,2.9,19.81,53.07,1.69,1.72,0,14.7,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0
China ,73.45,10.74,4.5,1.97,0,0,0,0,2.14,0,0,0,2.82,1.08,0,0,0,0,0,0,0
Mexico ,37.15,37.01,15.27,4.08,1.47,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,31.7,32.67,23.68,5.67,2.86,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,27.05,48.88,19.63,1.16,1.13,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,30.91,34.55,23.1,6.26,1.31,1.55,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,6.98,56.74,26.51,3.13,1.2,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,44.41,21.95,16.09,9.92,3.09,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,29.31,25.38,31.17,8.31,1.65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,17.84,40.17,27.18,3.73,4.16,1.26,2.71,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0
Serbia ,12.31,39.06,37.36,1.37,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,32.92,21.9,20.57,14.78,2.08,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,25.21,56.36,14.06,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,60.1,10.31,3.33,1.94,21.21,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,51.45,15.91,17.42,6.3,3.1,2.63,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,18.68,39.52,30.31,1.62,0,2.6,4.13,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,59.34,21.75,10.81,3.08,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,14.98,24.72,46.56,1.46,0,0,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,21.31,55.52,16.85,2.02,1.43,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,20.79,27.19,43.64,0,0,0,4.7,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0
Hungary ,12.96,36.83,42.53,1.39,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,22.55,33.22,37.03,3.02,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,21.84,32.59,35.53,1.27,0,0,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,33.18,26.67,22.78,9.52,2.05,3.75,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,14.79,39.91,29.41,0,0,0,8.77,0,1.56,2.73,0,0,0,0,0,0,0,0,0,0,0
Belgium ,40.48,24.15,22.05,9.34,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,20.46,28.52,23.75,2.5,0,0,22.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,43.73,37.08,11.35,2.26,1.85,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,46.37,35.28,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,33.05,28.22,14.75,3.42,3.7,3.14,3.12,3.73,1.18,4.7,0,0,0,0,0,0,0,0,0,0,0
Portugal ,38.24,33.84,20.62,4.2,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,28.18,23.01,19.87,12.45,4.1,9.45,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,26.09,43.42,26.11,1.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,3.69,15.35,54.88,0,0,0,10.55,0,1.69,2.86,0,0,0,0,3.45,3.1,1.17,0,0,0,0
Bulgaria ,22.61,30.14,39.89,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,21.6,22.73,39.42,7.25,1.99,2.05,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,35.28,15.2,27.43,14.91,1.55,3.3,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,43,20.73,15.96,8.94,5.35,3.38,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,40.02,25.05,16.28,12.85,1.55,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,37.42,30.11,13.98,5.98,1.27,1.78,1.2,0,1.21,5.36,0,0,0,0,0,0,0,0,0,0,0
