"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Silk","Obigo","Phantom","Iron","Pale Moon"
United States of America ,37.78,25.18,13.88,10.81,5.22,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,27.81,50.2,8.62,1.58,1.56,5.28,2.2,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,18.2,59.46,14.58,1.87,0,2.49,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,26.46,31.6,14.16,13.35,5.49,4.12,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,6.57,22.83,13.56,0,0,5.64,0,17.51,0,15.32,8.26,5.15,0,0,0,0,0,0,0,0,0,0,0
Germany ,18.25,21.19,43.36,6.8,2.04,4.28,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,52,22.38,3.31,2.05,0,1.85,0,0,0,3.09,0,0,6.53,2.51,2.29,1.29,0,0,0,0,0,0,0
Argentina ,17.82,59.23,15.02,1.48,0,3.26,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,25.55,45.5,11.7,5.46,1.75,4.53,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,28.5,28.74,17.16,14.26,5.11,2.77,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,21.3,42.85,12.75,6.54,5.36,7.77,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,22.09,40.11,19.92,6.88,2.29,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,1.96,20.78,41.73,2.1,0,5.38,0,19.85,1.21,1.26,3.97,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,4.98,59.44,19.99,4.46,1.78,3.98,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,25.85,37.49,18.65,8.11,3.06,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,22.74,33.19,26.1,9.1,2.91,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,47.57,15.61,2.22,2.8,2.54,28.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,9.75,44.72,34.59,1.77,0,2.02,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,12.25,43.35,20.07,5.09,1.82,11.52,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,15.68,66.47,10.43,2.93,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,11.35,32.17,40.96,1.71,0,4.29,0,7.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,46.64,20.76,13.31,7.37,4.56,4.19,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,25.26,28.44,15.22,17.52,7.65,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,31,28.86,13.54,13.5,4.69,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,17.81,40.47,33.02,3.19,1.03,2.21,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,15.43,61.39,12.23,2.55,1.66,4.53,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,36.65,36.4,9.63,4.23,2.34,9.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,8.15,41.19,22.29,1.47,1.26,3.95,0,11.48,0,4.65,4.2,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,14.96,42.23,32.2,1.93,0,2.19,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,15.27,37.24,21.61,3.98,1.23,2.31,3.65,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,14.04,42.72,21.82,3.78,7.31,2.59,0,3.22,0,2.21,1,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,9.27,37.71,41.6,1.82,0,2.15,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,28.98,52.49,12.82,1.52,0,1.83,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,17.32,50.45,25.91,1.53,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,24.36,33.64,18.05,12.22,6.21,3.67,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,12.14,38.71,37.67,1.47,0,2.13,0,3.7,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,26.61,46.21,17.4,5.1,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,20.75,33.28,10.85,6.35,5.92,12.64,0,0,2.45,2.44,3.19,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,20.53,31,14.34,12.82,9.8,9.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,36.45,42.6,9.66,3.16,3.57,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,30.75,31.47,18.45,11.83,2.1,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,11.42,33.04,49.21,0,0,1.47,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,23.57,38.51,10.62,9.14,3,4.89,0,1.77,1.03,2.78,3.65,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,9.58,47.32,30.98,1.8,1.37,3.38,0,2.83,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,16.88,38.65,36.6,1.32,0,1.68,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,19.71,38.82,15.44,10.74,6.49,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,27.52,32.11,12.82,16.9,6.1,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,14.88,29.17,29.21,8.75,3.88,4.2,0,1.59,0,0,5.11,0,0,0,0,0,2.43,0,0,0,0,0,0
