"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","iPod Touch","Chromium","SonyEricsson","Obigo","Silk","Phantom","Openwave Mobile Browser","Iron","Midori","Kindle","Iceweasel"
United States of America ,31.33,22.37,13.12,12.5,9.7,5.31,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,55.18,17.27,1.71,6.44,3.25,10.04,0,2.35,1.42,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,60.87,13.67,2.51,11.88,1.46,5.15,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,20.73,3.43,0,8.6,0,8.19,0,0,17.25,0,23.53,7.22,5.18,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,36.94,18.01,15.64,11.37,8.02,4.39,0,0,1.36,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,25.95,14.24,8.06,38.15,3.41,5.79,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,34.03,23.88,15.65,13.75,6.72,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,47.38,13.03,7.27,9.49,7,11.87,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,62.44,3.85,5.68,15.86,2.39,5.52,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,59.87,13.19,1.97,12.8,0,6.27,0,0,1.97,1.12,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,39.2,15.82,10.24,23.71,3.93,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,48.27,18.01,6.86,9.96,2.98,7.6,0,0,2.66,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,42.72,16.53,9.4,16.96,4.4,6.52,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
