"Continent","IE","Firefox","Chrome","Safari","BlackBerry","iPhone","Nokia","Opera","Maxthon","UC Browser","NetFront","Bolt","Windows Media Player","Motorola Internet Browser","Camino","Mozilla"
United States of America ,49.71,26.33,8.88,8.82,1.62,1.17,0,0,0,0,0,0,0,0,0,0
Brazil ,50.64,31.67,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,74.9,15.24,5.54,0,0,0,1.63,1.05,0,0,0,0,0,0,0,0
Turkey ,70.6,18.95,8.45,0,0,0,0,1.06,0,0,0,0,0,0,0,0
United Kingdom ,51.48,23.62,11.71,6.22,1.48,1.44,0,1.25,0,0,0,0,0,0,0,0
Indonesia ,6.19,71.4,8.19,0,0,0,1.65,10.04,0,0,0,0,0,0,0,0
Germany ,25.96,58.73,5.41,3.86,0,0,0,4.29,0,0,0,0,0,0,0,0
China ,87.43,3.51,1.79,0,0,0,0,0,4.4,1.43,0,0,0,0,0,0
Canada ,48.05,30.07,9.77,8.75,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,65.69,19.37,8.98,2.95,0,0,0,1.1,0,0,0,0,0,0,0,0
India ,39.2,28.26,15.82,0,0,0,3.72,10.49,0,0,0,0,0,0,0,0
Spain ,52.37,29.55,12.03,3.27,0,0,0,1.15,0,0,0,0,0,0,0,0
Netherlands ,62.75,20,9.35,4.55,0,0,0,1.16,0,0,0,0,0,0,0,0
South Korea ,92.74,2.92,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,55.74,27.68,13.95,0,0,0,0,1.17,0,0,0,0,0,0,0,0
France ,46.29,34.85,9.56,5.33,0,1.25,0,1.22,0,0,0,0,0,0,0,0
Italy ,51.63,28.64,12.73,4.18,0,0,0,1.37,0,0,0,0,0,0,0,0
Philippines ,18.59,51.91,23.97,1.78,0,0,0,1.97,0,0,0,0,0,0,0,0
Australia ,48.42,27.86,9.57,8.76,1.41,1.54,0,0,0,0,0,0,0,0,0,0
Malaysia ,37.37,37.33,16.91,1.37,0,0,2.49,2.28,0,0,1.27,0,0,0,0,0
Serbia ,21.74,47.15,19.89,0,0,0,0,9.42,0,0,0,0,0,0,0,0
Peru ,78.19,12.52,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,67.3,13.73,10.49,1.11,1.5,0,3.73,1.01,0,0,0,0,0,0,0,0
Israel ,69.91,12.58,14.74,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,50.63,37.33,8.08,0,0,0,0,2.64,0,0,0,0,0,0,0,0
Poland ,20.82,54.57,10.04,1.04,0,0,0,12.22,0,0,0,0,0,0,0,0
Taiwan ,79.35,11.24,5.96,1.45,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,24.7,55.46,12.89,1.02,0,0,0,5.15,0,0,0,0,0,0,0,0
Sweden ,48.01,31.57,11.12,5.78,0,0,0,1.55,0,0,0,0,0,0,0,0
Colombia ,58.69,21.93,16.63,1.45,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,58.22,27.44,8.93,0,0,0,0,3.61,0,0,0,0,0,0,0,0
Chile ,46.23,31.53,18.21,1.61,0,0,0,1.51,0,0,0,0,0,0,0,0
Romania ,35.35,44.68,11.41,0,0,0,0,7.15,0,0,0,0,0,0,0,0
Japan ,59,22.23,7.07,6.17,0,1.09,0,1.78,0,0,0,0,0,0,0,0
Belgium ,53.94,29.07,9.16,5.74,0,0,0,1.1,0,0,0,0,0,0,0,0
Singapore ,47.3,27.29,11.99,6.68,0,2.63,0,1.1,0,0,0,0,0,0,0,0
Greece ,37.82,44.75,11.43,2.14,0,0,0,2.42,0,0,0,0,0,0,0,0
Portugal ,55.5,27.48,11.48,2.9,0,0,0,1.78,0,0,0,0,0,0,0,0
Venezuela ,54.98,27.24,14.67,1.25,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,25.58,33.13,7.97,1.43,0,0,0,30.62,0,0,0,0,0,0,0,0
United Arab Emirates ,67.99,13.7,10.41,2.44,0,0,2.68,0,0,0,0,0,0,0,0,0
Iran ,62.76,25.48,2.68,0,0,0,1.65,5.47,0,0,0,0,0,0,0,0
Hong Kong ,65.28,18.82,7.79,4.67,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,42.79,36.01,6.43,10.82,0,1.01,0,1.95,0,0,0,0,0,0,0,0
Bulgaria ,37.23,45.04,10.35,0,0,0,0,5.94,0,0,0,0,0,0,0,0
Pakistan ,45.82,29.06,18.17,0,0,0,1.28,4.52,0,0,0,0,0,0,0,0
Finland ,30,50.88,8.36,5.31,0,0,0,3.65,0,0,0,0,0,0,0,0
Denmark ,57.52,21.86,10.33,7.61,0,0,0,1.11,0,0,0,0,0,0,0,0
Ireland ,49.92,26.55,13.99,4.94,0,1.42,0,1.27,0,0,0,0,0,0,0,0
Austria ,38.41,45.29,6.43,4.99,0,0,0,3.33,0,0,0,0,0,0,0,0
Morocco ,59.42,28,8.95,0,0,0,0,1.84,0,0,0,0,0,0,0,0
Norway ,44.79,27.62,11.43,7.94,0,0,0,6.48,0,0,0,0,0,0,0,0
South Africa ,60.74,18.79,8.87,2.47,0,0,1.22,6.5,0,0,0,0,0,0,0,0
Czech Republic ,37.46,40.45,10.35,1.81,0,0,0,8.36,0,0,0,0,0,0,0,0
Ecuador ,54.01,30.75,10.09,1.93,0,0,1.24,0,0,0,0,0,0,0,0,0
New Zealand ,48.27,27.91,12.69,8.27,0,0,0,1.06,0,0,0,0,0,0,0,0
Kuwait ,72.24,11.99,8.09,2.62,0,0,2.07,0,0,0,0,0,0,0,0,0
Croatia ,30.6,48.33,12.27,1.52,0,0,0,6,0,0,0,0,0,0,0,0
Slovenia ,34.46,49.36,9.59,1.65,0,0,0,4.2,0,0,0,0,0,0,0,0
Guatemala ,55.52,27.5,12.25,2.5,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,19.45,33.9,8.77,1.06,0,0,0,35.74,0,0,0,0,0,0,0,0
Paraguay ,38.71,42.49,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,19.51,52.63,21.86,0,0,0,0,5.01,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,25.09,46.08,13.85,1.41,0,0,0,12.39,0,0,0,0,0,0,0,0
Algeria ,52.17,34.48,10.24,0,0,0,0,2.11,0,0,0,0,0,0,0,0
Tunisia ,22.28,43.87,30.97,0,0,0,0,1.25,0,0,0,0,0,0,0,0
Jordan ,59.39,18.61,16.69,0,0,0,2.39,1.41,0,0,0,0,0,0,0,0
Qatar ,66.18,14.98,11.55,2.44,0,0,2.03,1.32,0,0,0,0,0,0,0,0
Bahrain ,77.28,10.11,7.46,1.88,0,0,1.3,0,0,0,0,0,0,0,0,0
Puerto Rico ,51.56,26.06,12.54,5.92,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,20.47,50.25,24.08,0,0,0,0,4.16,0,0,0,0,0,0,0,0
Costa Rica ,44.76,31.91,11.35,3.09,0,0,4.11,1.94,0,0,1.85,0,0,0,0,0
Lithuania ,34.23,42.19,11.77,1.3,0,0,0,9.73,0,0,0,0,0,0,0,0
Syrian Arab Republic ,68.41,21.15,3.39,0,0,0,2.12,3.8,0,0,0,0,0,0,0,0
Honduras ,54.17,24.87,10.68,1.52,0,0,2.33,2.84,0,0,1.37,0,0,0,0,0
Iraq ,72.78,13.77,6.31,0,0,0,2.93,3.39,0,0,0,0,0,0,0,0
Bolivia ,65,24.42,7.83,1,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,62.61,20.99,10.98,2.55,0,0,0,1.01,0,0,0,0,0,0,0,0
Dominican Republic ,45.09,31.8,17.06,2.78,1.05,0,0,1.24,0,0,0,0,0,0,0,0
Nigeria ,39.6,38.48,6.83,0,0,0,1.07,10.74,0,0,0,1.1,0,0,0,0
Bangladesh ,26.77,45.2,9,0,0,0,2.46,14.56,0,0,0,0,0,0,0,0
Latvia ,30.12,47.63,12.51,1.82,0,0,0,7.21,0,0,0,0,0,0,0,0
Uruguay ,44.43,35.43,17.5,0,0,0,0,1.04,0,0,0,0,0,0,0,0
Oman ,64.29,13.81,9.47,1.02,0,0,7.57,2.55,0,0,0,0,0,0,0,0
Estonia ,32.34,46.35,12.13,3.36,0,0,0,4.91,0,0,0,0,0,0,0,0
Palestinian Territory ,66.04,20.11,10.83,0,0,0,0,1.26,0,0,0,0,0,0,0,0
Lebanon ,67.03,16.54,10.33,2.66,0,0,1.28,1.18,0,0,0,0,0,0,0,0
El Salvador ,44.31,38.57,12.08,1.68,0,0,0,1.78,0,0,0,0,0,0,0,0
Mongolia ,20.82,68.17,7.25,0,0,0,0,2.08,0,0,0,0,0,0,0,0
Sri Lanka ,31.44,37.58,23.52,0,0,0,0,4.73,0,0,0,0,0,0,0,0
Belarus ,20.87,23.68,5.66,0,0,0,0,47.9,0,0,0,0,0,0,0,0
Cyprus ,53.67,28.84,12.05,2.61,0,0,0,1.77,0,0,0,0,0,0,0,0
Montenegro ,26.79,40.47,21.86,0,0,0,1.11,7.93,0,0,0,0,0,0,0,0
Albania ,31.61,33.27,30.96,0,0,0,1.09,1.97,0,0,0,0,0,0,0,0
Libya ,49.32,17.48,15.57,0,0,0,8.93,7.21,0,0,0,0,0,0,0,0
Trinidad and Tobago ,40.37,30.58,21.5,4.39,0,0,0,1.39,0,0,0,0,0,0,0,0
Nicaragua ,41.79,44.91,9.79,1.17,0,0,0,1.3,0,0,0,0,0,0,0,0
Myanmar ,36.83,59.2,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,23.63,20.41,12.19,0,0,0,0,42.36,0,0,0,0,0,0,0,0
Azerbaijan ,46.9,16.95,8.61,1.06,0,0,0,25.11,0,0,0,0,0,0,0,0
Moldova ,21.2,45.16,17.26,0,0,0,0,14.99,0,0,0,0,0,0,0,0
Brunei Darussalam ,18.49,33.12,12.41,5.34,0,0,17.47,9.86,0,0,1.17,0,0,0,0,0
Malta ,52.65,25.06,16.93,2.86,0,0,0,1.3,0,0,0,0,0,0,0,0
Senegal ,25.82,63.81,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,43.79,31.33,15.37,1.27,0,0,0,6.99,0,0,0,0,0,0,0,0
Yemen ,58.96,22.41,12.17,0,0,0,1.33,3.94,0,0,0,0,0,0,0,0
Iceland ,35.22,37.71,15.26,9.3,0,0,0,1.7,0,0,0,0,0,0,0,0
Ghana ,23.64,57.48,6.2,1.33,0,0,0,9.1,0,0,0,0,0,0,0,0
Kenya ,30.07,39.12,8.11,2.18,0,0,1.08,17.94,0,0,0,0,0,0,0,0
Sudan ,60.1,22.13,3.74,0,0,0,4.69,7.86,0,0,0,0,0,0,0,0
Jamaica ,37.6,36.16,18.79,2.93,0,0,0,2.2,0,0,0,0,0,0,0,0
Kazakhstan ,26.48,31.77,7.62,1.2,0,0,0,31.99,0,0,0,0,0,0,0,0
Macao ,66.92,18.03,7.88,3.34,0,0,0,0,1.78,0,0,0,0,0,0,0
Luxembourg ,40.31,39.32,6.9,9.34,0,1.49,0,1.47,0,0,0,0,0,0,0,0
Bermuda ,67.53,12.93,5.55,12.3,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,31.99,42.02,16.86,2.17,0,0,1.21,4.87,0,0,0,0,0,0,0,0
Bahamas ,57.59,20.4,12.4,6.37,0,0,0,1.04,0,0,0,0,0,0,0,0
Cambodia ,41.78,34.2,6.19,2.71,0,0,5.13,5.71,0,0,2.55,0,0,0,0,0
Angola ,70.47,16.36,7.79,2.3,0,0,0,1.94,0,0,0,0,0,0,0,0
Faroe Islands ,65.51,16.96,10.56,4.58,0,0,0,1.1,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,58.2,24.52,3.87,1.4,0,0,3.83,7.33,0,0,0,0,0,0,0,0
Cote dIvoire ,48.27,35.38,8.54,0,0,0,1.13,4.07,0,0,0,0,0,0,0,0
