"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Jasmine","Obigo","Windows Media Player","Chromium"
United States of America ,41.53,22.38,16.29,10.85,3.09,2.11,1.07,0,0,0,0,0,0,0,0,0,0,0
Brazil ,41.15,23.19,29.96,0,0,0,0,1.49,1.3,0,0,0,0,0,0,0,0,0
Thailand ,58.28,13.59,19.19,1.46,1.09,0,0,1.27,3.02,0,0,0,0,0,0,0,0,0
Indonesia ,3.32,68.14,15.19,0,0,0,0,8.15,1.88,0,0,0,0,0,0,0,0,0
United Kingdom ,40.8,20.04,21.58,7.95,1.38,2.36,2.93,1.08,0,0,0,0,0,0,0,0,0,0
Turkey ,55.25,16.34,24.8,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0
China ,82.37,3.08,5.82,0,0,0,0,0,0,3.42,2.44,0,0,0,0,0,0,0
Germany ,26.44,52.56,10.55,4.17,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0
Canada ,42.35,24.28,16.79,10.55,0,1.86,1.07,0,0,0,0,0,0,0,0,0,0,0
South Korea ,76.07,1.87,4.21,0,16.09,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,48.91,16.5,23.37,3.81,0,0,0,2.13,1.67,0,0,0,0,0,0,0,0,0
India ,20.67,21.76,20.95,0,0,0,0,18.67,10.18,0,0,3.16,0,0,0,0,0,0
Philippines ,9.97,33.8,50.42,1.99,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0
Argentina ,34.55,22.36,40.01,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
Netherlands ,51.84,18.75,17.05,7.18,1.49,1.32,0,1,0,0,0,0,0,0,0,0,0,0
Spain ,40.68,26.52,23.83,4.33,1.27,1.26,0,0,0,0,0,0,0,0,0,0,0,0
France ,35.9,33.9,18.98,6.63,0,1.51,0,1.08,0,0,0,0,0,0,0,0,0,0
