"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Sogou Explorer","Maxthon","QQ Browser","IEMobile","iPod Touch","SeaMonkey","Sony PS3","Nintendo 3DS","Obigo","Silk","Samsung","Unknown"
United States of America ,38.22,20.93,16.7,12.29,4.39,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,34.13,46.03,10.4,1.27,2.75,1.95,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,23.26,50.25,19.81,1.65,1.34,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,8.9,21.04,16.47,0,3.11,0,18.51,10.47,9.37,5.9,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,30.51,27.07,16.44,11.73,3.4,4.66,1.19,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,23.8,16.14,45,5.8,2.47,1.51,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,31.86,39.22,15.36,4.22,3.83,2.23,1.29,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,33.36,23.57,20.03,12.6,1.92,3.65,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,22.91,53.08,18.64,1.33,1.71,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,2.11,19.98,50.29,1.83,2.61,0,16.74,0,3.25,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,32.95,40.1,14.63,4.69,2.11,1.05,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,65.89,14.69,16.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,51.04,6.28,3.3,2.12,1.33,0,0,2.83,0,0,0,0,20.52,5.88,2.2,1.48,0,0,0,0,0,0,0,0,0
Philippines ,6.47,56.07,25.65,3.78,1.84,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,28.4,35.14,21.61,5.94,4.51,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,28.11,35.63,21.75,7.36,2.39,2.04,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,35.5,21.41,17.31,14.78,2.62,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,11.92,39.72,36.84,1.47,1.24,0,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,40.87,23.33,15.05,10.92,4.59,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
