"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Chromium","iPod Touch","Silk","Sony PS3","Phantom","Iron"
United States of America ,30.06,27.65,13.86,12.63,6.61,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,54.19,24.6,7.71,1.61,1.54,4.77,2.69,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,60.43,16.12,13.43,2.1,1.01,3.5,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,21.42,5.17,11.1,0,0,7.35,0,17.63,18.81,8.74,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,33.65,24.98,12.97,12.83,5.94,4.38,0,1.07,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,22.39,17.81,40.37,6.97,2.43,5.14,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,31.89,26.87,15.78,13.76,5.5,2.84,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,43.85,18.48,11.62,6.45,6.1,9.76,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,28.19,43.14,3.94,2.09,0,2.33,0,2.91,2.63,0,0,0,7.1,2.33,1.93,1.13,0,0,0,0,0,0,0,0,0
Argentina ,57.95,16.92,14.33,1.78,0,4.69,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,14.95,54.04,1.74,1.19,2.19,24.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,59.8,4.15,18.84,4.82,1.89,4.37,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,44.62,23.44,10.86,6.4,1.97,6.62,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,21.06,1.55,36.54,2.18,0,7.82,0,21.46,1.62,4.21,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0
