"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Nokia","Opera","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","iPod Touch","Windows Media Player","Camino","Mozilla","Sony PSP"
United States of America ,45.33,25.29,11.68,10.29,1.95,1.54,1.42,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,45.81,29.03,21.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,71.7,14.74,8.67,1.02,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0
Germany ,21.81,60.59,7.91,4.34,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0
Indonesia ,4.83,70.27,10.3,0,2.96,0,0,1.67,8.02,0,0,0,0,0,0,0,0,0,0
Turkey ,68.29,16.86,12.59,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0
United Kingdom ,47.43,21.9,15.56,7.11,2.36,0,1.76,0,1.2,0,0,0,0,0,0,0,0,0,0
China ,86.32,3.44,3.37,0,0,0,0,0,0,3.78,1.39,0,0,0,0,0,0,0,0
Canada ,45.45,28.07,12.72,9.88,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,89.48,2.37,2.7,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,60.27,18.69,13.66,3.47,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0
Spain ,48.71,29,15.89,3.61,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0
India ,34.35,27.64,19.49,0,0,0,0,3.72,11.98,0,0,0,0,0,0,0,0,0,0
Netherlands ,59.77,19.33,11.85,5.28,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0
Italy ,47.06,27.66,17.69,4.81,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0
France ,40.36,35.3,13.94,6.07,0,0,1.19,0,1.65,0,0,0,0,0,0,0,0,0,0
Philippines ,14.16,44.66,36.35,1.7,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0
Argentina ,49.81,26.7,20.54,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0
Australia ,45.82,26.93,12.23,9.97,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,33.05,34.27,24.51,1.4,0,0,0,2.51,1.4,0,0,1.5,0,0,0,0,0,0,0
Saudi Arabia ,61.83,13.43,13.81,1.33,3.26,0,0,3.89,1.15,0,0,0,0,0,0,0,0,0,0
Serbia ,19.98,43.95,24.93,0,0,0,0,0,9.17,0,0,0,0,0,0,0,0,0,0
Peru ,74.46,12.55,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,19.5,52.32,13.57,1.15,0,0,0,0,12.2,0,0,0,0,0,0,0,0,0,0
Taiwan ,75.89,11.21,8.74,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,44.9,39.06,11.63,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0
Hungary ,22.07,53.02,17.86,1.13,0,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0
Israel ,63.02,13.32,20.26,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,52.46,29.8,11.68,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0
Romania ,33.13,42.56,15.59,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0
Sweden ,45.75,29.1,14.68,6.24,0,0,1.55,0,1.45,0,0,0,0,0,0,0,0,0,0
Japan ,57,21.04,9.68,6.45,0,0,1.43,0,1.82,0,0,0,0,0,0,0,0,0,0
Belgium ,52.11,25.95,12.75,6.84,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0
Colombia ,51.1,19.88,25.31,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,21.39,32.58,11.11,1.53,0,0,0,0,32.34,0,0,0,0,0,0,0,0,0,0
Greece ,33.55,44.07,16.98,2.16,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0
Chile ,39.63,27.63,28.21,1.73,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0
Singapore ,43.63,25.15,16.28,7.38,0,0,3.55,0,1.12,0,0,0,0,0,0,0,0,0,0
