"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","UC Browser","NetFront","Maxthon","TheWorld","iPod Touch","Sony PS3","Samsung","Obigo","Chromium","Epiphany","Windows Media Player","AppleWebKit"
United States of America ,44.42,18.56,17.24,10.59,3.41,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,47.08,13.2,36.09,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,32.14,22.55,39.83,1.16,0,0,1.24,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,23.96,50.92,13.2,4.86,1.05,1.01,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,36.2,18.84,24.31,9.35,2,3.22,1.18,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,48.91,14.4,26.67,2.64,1.88,1.22,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,39,22.53,19.04,11.5,1.2,2.39,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0
India ,15.56,20.42,21.46,0,1.07,0,20.56,8.45,0,5.02,3.3,0,0,0,0,0,0,0,0,0,0
Indonesia ,3.08,54.2,17.62,1.34,1.15,0,16.09,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,36.99,24.78,28.74,4.67,1.72,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,42.89,15.41,31.74,3.76,1.08,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,75.08,4.45,10.39,1.33,0,0,0,0,0,1.76,0,2.85,1.12,0,0,0,0,0,0,0,0
Argentina ,30.97,21.24,44.1,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,47.79,17.18,19.99,8.64,2.31,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,35.35,24.61,29.95,5.99,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,7.93,29.32,55.01,2.63,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,32.81,31.8,22.28,7.87,1.24,1.79,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,20.72,28.1,39.02,3.31,2.65,1.18,1.95,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,14.47,39.21,35.3,1.21,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,36.34,21.76,20.33,12.79,1.65,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,15.19,48.39,22.91,1.21,0,0,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,63.73,3.78,8.95,1.66,19.4,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,30.09,15.14,51.06,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,14.87,45.65,32.46,1.3,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,24.05,34.63,31.05,1.11,0,0,5.15,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,24.5,18.73,51.22,1.77,1.01,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,24.87,37.25,28.03,1.14,0,0,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,50.93,18.3,16.33,6.23,2.38,2.12,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,64.15,10.88,18.11,3.1,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,24.95,39.95,28.95,2.5,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,17.85,27.73,24.69,1.95,0,0,26.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,53.77,14.5,28.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,36.75,24,23.68,8.54,1.85,3.32,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,50.97,11.91,30.99,1.87,1.21,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,40.81,13.17,24.01,2.86,1.71,1.71,5.86,5.75,2.75,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,43.21,23.12,21.4,8.67,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,18.94,28.15,38.22,0,0,0,9.19,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,31.44,20.68,22.78,11.02,2.77,8.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,41.41,22.22,29.32,4.15,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,28.85,37.29,22.2,0,0,0,6.66,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,25.36,41.68,26.1,0,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,29.02,29.01,38.37,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,51.61,15.42,17.04,7.94,2.76,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,14.03,29.21,19.91,1.18,0,0,34.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
