"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Nokia","UC Browser","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","BlackBerry","Yandex Browser","IEMobile","iPod Touch","Sony PS3","Obigo","Samsung","Phantom","Openwave Mobile Browser","Unknown","Iron","Maemo browser","RockMelt","Pale Moon"
United States of America ,35.28,22.24,15.33,12.72,5.63,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,32.7,47.78,9.52,1.11,1.03,4.39,1.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,18.22,56.54,17.39,1.88,0,2.2,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,19.78,19.39,44.9,6.22,1.9,3.58,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,7.25,19.05,13.5,0,0,4.22,18.14,9.85,15.36,6.74,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,65.57,9.44,3.03,2.09,0,1.76,0,0,2.15,0,0,5.09,5.01,2.07,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,27.95,28.71,15.38,12.62,5.36,4.2,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,25.82,42.59,14.31,5.1,3.36,5.56,1.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,30.66,25.89,18.7,13.72,4.69,2.54,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,25.21,39.06,20.85,6.08,2.01,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,29.68,42.62,12.88,4.89,1.49,3.39,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
