"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Puffin","Sogou Explorer","QQ Browser","Maxthon","Sleipnir","CoRom+","SonyEricsson","Openwave Mobile Browser","Chromium","iPod Touch","Obigo","Silk","Samsung","Jasmine","Phantom","Dolfin","Iron","Maemo browser","Sony PS3","Links"
United States of America ,29.3,24.33,13.23,12.13,8.95,6.3,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,53.9,20.61,1.77,6.72,2.56,8.64,0,2.32,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,59.76,14.18,2.38,12.91,1.28,4.99,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,19.53,3.95,0,9.21,0,8.3,0,0,18.57,21.44,8.16,5.21,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,33.7,20.06,14.16,11.89,7.11,4.62,0,0,2.13,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,23.73,16.32,7.52,38.02,3.15,6.3,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,45.3,15.25,6.84,10.2,6.45,11.65,0,0,1.05,0,1.05,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,21.59,1.52,2.18,34.27,1,9.23,0,0,20.89,2.65,3.82,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,31.95,25.23,15.05,14.73,6.45,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,16.12,56.29,1.18,1.48,2.07,21.33,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,61.09,3.96,5.16,17.54,2.06,4.85,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,57.99,14.38,1.9,13.16,0,6.59,0,0,2.07,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,46.53,20.24,6.47,10.47,2.55,7.08,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,31.16,38.8,2.34,4.55,1.45,3.11,1.31,0,0,4.14,0,0,0,0,0,0,6.51,2.79,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,41.09,17.88,8.9,17.37,4.2,7.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,35.98,19.6,9.88,23.43,3.8,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,41.55,18,7.75,17.78,3.25,9.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,47.23,8.46,5.04,14.88,2.24,14.37,0,0,3.97,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,48.82,8.01,1.83,31.31,0,2.66,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,19.76,38.72,7.6,10.35,11.34,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,32.17,19.95,17.85,13.6,9.79,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,36.35,8.86,1.72,35.98,0,6.72,0,0,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,36.52,4.69,1.4,16.97,1.32,6.26,0,0,14.72,9.17,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,31.92,25.38,13.97,11.82,6.37,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,46.11,14.52,3.75,28.25,1.47,3.27,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,45.7,12.28,2.12,27.5,1.14,3.68,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,50.49,25.73,4.64,13.6,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,37.81,16.25,11.92,10.95,9.11,8.73,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,66.61,11.83,3.96,9.07,1.26,3.44,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,35.8,16.41,4.03,18.15,1.8,3.32,0,5.76,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,40.74,7.46,1.88,38.05,0,2.99,0,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,37.14,20.46,14.2,15.44,7.43,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,60.24,13.12,3.12,11.15,2.29,6.79,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,33.2,34.82,4.19,6.78,3.12,16.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,37.33,12.9,6.42,8.52,7.44,15.1,0,0,0,5.02,2.6,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,48.46,31.21,3.21,8.47,3.85,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,58.61,23.36,1.68,10.18,0,2.56,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,40.13,9.36,1.69,34.45,0,4.2,0,0,3.85,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,8.15,1.48,0,15.58,0,2.98,0,0,49.32,11.27,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,36.25,25.76,12.87,15.61,3.26,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,41.51,15.37,8.45,8.22,3.58,7.17,0,0,3.18,7.09,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,45.22,9.62,3.6,17.72,6.11,2.77,1.02,0,2.6,1.11,1.03,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,53.8,12.22,1.81,24.06,0,3.17,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,49.07,7.24,2.53,26.36,2.46,5.42,0,0,3.11,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,42.29,14.22,1.57,32.99,0,3.11,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,37.68,21.66,16.05,12.75,5.05,3.63,0,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,46.27,8.73,2.76,16.61,4.41,14.84,0,0,1.89,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,20.45,19.51,1.45,33.74,1.26,4.49,0,0,8.63,4.25,2.6,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,41.87,15.4,11.84,12.35,8.22,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,14.61,12.46,3.83,5.74,2.09,5.07,0,0,22.69,1.75,9.89,0,0,18.53,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,35.89,21.93,17.97,10.97,8.28,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,53.73,5.7,1.58,31.74,0,2.72,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,34.71,13.38,9.48,26.38,4.92,5.04,0,0,1.51,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,65.28,6.27,1.97,15.25,1.6,3.06,0,0,2.34,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,6.73,3.56,2.46,9.36,0,3.08,0,0,47.36,14.92,8.73,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,24.84,24.24,17.96,20.74,6.4,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,39.44,18.91,3.25,27.31,0,2.54,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,43.62,11.97,2.75,31.35,1.88,4.27,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,27.46,19.71,9.85,29.98,3.72,6.26,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,36.88,24.49,10.62,10.63,4.92,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,38.27,18.93,14.92,13.66,5.51,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,40.8,8.45,1.25,38.5,1.02,3.69,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,35.36,12.34,2.59,21.97,0,1.79,0,3.2,19.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,58.14,6.27,2.87,18.36,4.14,3.77,0,0,3.14,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
