"Continent","IE","Firefox","Safari","Chrome","Opera","Maxthon","Nokia","iPhone","BlackBerry","NetFront","Mozilla","Minefield","Flock","Windows Media Player"
United States of America ,51.08,29.14,9.25,6.22,0,0,0,0,0,0,0,0,0,0
Brazil ,53.02,34.61,0,10.85,0,0,0,0,0,0,0,0,0,0
Thailand ,78.23,15.81,0,3.18,0,0,0,0,0,0,0,0,0,0
Turkey ,78.9,14.78,0,4.81,0,0,0,0,0,0,0,0,0,0
Germany ,26.42,60.95,3.37,3.47,4.18,0,0,0,0,0,0,0,0,0
United Kingdom ,56.9,24.48,5.73,7.61,1.12,0,0,0,0,0,0,0,0,0
China ,86.33,3.42,0,0,0,7,1.2,0,0,0,0,0,0,0
Indonesia ,8.23,73.01,1.26,5.14,10.54,0,0,0,0,0,0,0,0,0
Canada ,51.88,30.76,7.99,6.54,0,0,0,0,0,0,0,0,0,0
Spain ,56.63,30.64,2.85,7.49,1.08,0,0,0,0,0,0,0,0,0
Mexico ,69.33,20.22,2.72,5.22,1.06,0,0,0,0,0,0,0,0,0
India ,48.34,30.11,0,12.16,6.05,0,1.65,0,0,0,0,0,0,0
Netherlands ,67.09,20.11,3.83,6.05,1.1,0,0,0,0,0,0,0,0,0
France ,51.18,34.92,4.85,5.77,1.13,0,0,0,0,0,0,0,0,0
South Korea ,94.36,3.03,0,1.34,0,0,0,0,0,0,0,0,0,0
Italy ,54.91,30.2,4.29,7.95,1.35,0,0,0,0,0,0,0,0,0
Argentina ,58.5,30.03,0,8.71,1.42,0,0,0,0,0,0,0,0,0
Taiwan ,81.73,12.25,0,3.48,0,1.1,0,0,0,0,0,0,0,0
Philippines ,24.38,58.81,1.92,11.23,1.63,0,0,0,0,0,0,0,0,0
Australia ,51.69,30.86,7.43,6.59,0,0,0,1.02,0,0,0,0,0,0
Saudi Arabia ,72.75,15.08,0,7.12,0,0,2.17,0,0,0,0,0,0,0
Malaysia ,42.96,41.27,1.32,10.23,1.69,0,1.39,0,0,0,0,0,0,0
Egypt ,64.11,26.25,0,5.08,2.97,0,0,0,0,0,0,0,0,0
Israel ,76.84,12.54,0,7.87,0,0,0,0,0,0,0,0,0,0
Hungary ,29.77,56.3,0,6.97,5.15,0,0,0,0,0,0,0,0,0
Poland ,24.78,54.82,0,6.01,11.73,0,0,0,0,0,0,0,0,0
Peru ,82.3,12.03,0,4.38,0,0,0,0,0,0,0,0,0,0
Romania ,42.28,42.93,0,6.62,6.94,0,0,0,0,0,0,0,0,0
Sweden ,52.95,32.68,5.07,6.54,1.41,0,0,0,0,0,0,0,0,0
Japan ,63.38,22.29,5.8,4.81,1.69,0,0,0,0,0,0,0,0,0
Colombia ,62.57,25.06,1.33,9.88,0,0,0,0,0,0,0,0,0,0
Belgium ,59.88,26.87,5.01,6.21,1.12,0,0,0,0,0,0,0,0,0
Chile ,50.3,35.55,1.35,10.57,1.52,0,0,0,0,0,0,0,0,0
Singapore ,52.41,29.15,6.3,8.01,0,0,0,1.48,0,0,0,0,0,0
Portugal ,60.74,27.63,2.63,7.01,1.37,0,0,0,0,0,0,0,0,0
Serbia ,28.26,47.21,0,12.42,9.88,0,0,0,0,0,0,0,0,0
Vietnam ,64.09,28.63,0,3.94,2.24,0,0,0,0,0,0,0,0,0
United Arab Emirates ,73.35,13.23,1.86,6.4,0,0,2.14,0,1.28,0,0,0,0,0
Greece ,44.22,44.27,1.97,6.6,2.05,0,0,0,0,0,0,0,0,0
Russian Federation ,27.94,31.9,1.24,5.17,32.29,0,0,0,0,0,0,0,0,0
Finland ,32.13,52.12,5.1,4.94,3.99,0,0,0,0,0,0,0,0,0
Venezuela ,59.45,28.4,1.31,8.66,1.13,0,0,0,0,0,0,0,0,0
Ireland ,54.29,28.39,4.84,8.83,1.36,0,0,0,0,0,0,0,0,0
Bulgaria ,40.82,46.14,0,6.05,5.78,0,0,0,0,0,0,0,0,0
Austria ,40.96,46.18,4.58,3.95,3.13,0,0,0,0,0,0,0,0,0
Denmark ,60.94,23.45,6.76,6.69,1.1,0,0,0,0,0,0,0,0,0
Switzerland ,43.21,38.8,9.9,4.58,1.83,0,0,0,0,0,0,0,0,0
Hong Kong ,66.28,21.2,4.51,5.16,0,0,0,0,0,0,0,0,0,0
Norway ,49.62,29.85,6.33,7.21,5.79,0,0,0,0,0,0,0,0,0
Iran ,61.94,28.69,0,2.44,4.79,0,0,0,0,0,0,0,0,0
Morocco ,65,26.14,0,5.36,2.09,0,0,0,0,0,0,0,0,0
Pakistan ,52.41,29.16,0,12.38,4.4,0,0,0,0,0,0,0,0,0
