"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","iPod Touch","Bolt","Mozilla","Windows Media Player","Camino"
United States of America ,44.37,24.84,12.58,10.71,1.84,1.58,1.47,0,0,0,0,0,0,0,0,0,0,0
Brazil ,45.27,27.17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,21.1,59.54,9.69,4.59,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0
Thailand ,69.36,14.47,10.52,1.08,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0
Indonesia ,4.31,69.24,11.39,0,0,0,3.42,7.98,1.62,0,0,0,0,0,0,0,0,0
United Kingdom ,47.08,21.12,16.61,7.47,0,1.8,2.04,1.09,0,0,0,0,0,0,0,0,0,0
Turkey ,64.43,17.5,15.61,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0
China ,85.76,3.15,3.58,0,0,0,0,0,0,3.84,1.64,0,0,0,0,0,0,0
Canada ,44.42,27,13.52,10.11,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,88.15,2.35,3.23,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,59.05,17.61,15.44,3.66,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0
Spain ,47.88,28.07,17.36,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,30.63,26.38,19.92,0,0,0,0,14.56,4.84,0,0,1.51,0,0,0,0,0,0
Netherlands ,58.31,19.22,13.16,5.71,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0
Italy ,44.82,27.44,19.98,5.06,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0
France ,38.21,35.73,15.71,6.37,0,1.27,0,1.09,0,0,0,0,0,0,0,0,0,0
Argentina ,48.04,25.35,23.84,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0
Philippines ,12.98,41.72,39.93,1.76,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0
Australia ,44.77,25.98,13.04,10.83,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,17.75,43.16,28.33,0,0,0,0,8.97,0,0,0,0,0,0,0,0,0,0
Malaysia ,30.84,32.83,26.97,1.61,0,0,0,1.6,2.79,0,0,1.63,0,0,0,0,0,0
Saudi Arabia ,59.48,13.19,15.97,1.45,0,0,3.28,1.28,3.88,0,0,0,0,0,0,0,0,0
Poland ,19.52,51.95,14.75,1.14,0,0,0,11.45,0,0,0,0,0,0,0,0,0,0
Peru ,73.2,12.34,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,31.1,41.81,18.26,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0
Taiwan ,73.74,12.33,9.79,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,44.76,27.91,16.24,6.57,0,1.73,0,1.46,0,0,0,0,0,0,0,0,0,0
Hungary ,21.7,51.97,19.73,1.21,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0
Israel ,61.43,13.08,21.81,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,49.31,31.79,12.81,0,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0
Japan ,55.76,20.66,11.37,6.43,0,1.49,0,1.64,0,0,0,0,0,0,0,0,0,0
Colombia ,49.37,18.61,28.24,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,42.54,38.19,13.74,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0
Greece ,31.67,43.47,19.6,2.14,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0
Russian Federation ,21.17,32.55,13.03,1.58,0,0,0,30.7,0,0,0,0,0,0,0,0,0,0
Belgium ,51.51,25.39,13.77,7.09,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0
Portugal ,51.67,25.22,17.29,3.44,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0
Austria ,30.97,46.99,11.37,6.34,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0
Chile ,37.24,25.98,32.08,1.7,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,60.95,13.3,15.56,3.43,0,0,0,1.37,2.95,0,0,0,0,0,0,0,0,0
Switzerland ,36.69,36.47,9.88,13.02,0,1.47,0,1.44,0,0,0,0,0,0,0,0,0,0
Singapore ,40.66,24.66,17.73,8.27,0,4.66,0,1.19,0,0,0,0,0,0,0,0,0,0
Bulgaria ,32.19,43.81,17.21,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0
Denmark ,52.32,19.85,15.97,8.82,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
Venezuela ,44.97,29.36,22.14,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,27.05,48.12,12.96,5.76,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0
Hong Kong ,58.78,19.45,11.1,5.95,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,36.87,30.21,25.17,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0
Ireland ,44,23.87,20.79,5.89,0,1.92,0,1.21,0,0,0,0,0,0,0,0,0,0
Norway ,40.77,24.72,17.69,9.23,0,1.08,0,5.42,0,0,0,0,0,0,0,0,0,0
Iran ,61.49,24.95,3.63,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0
Ukraine ,16.79,32.77,12.73,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
Ecuador ,46.03,31.52,16.18,2.07,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0
Croatia ,27,47.07,18.48,1.43,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0
South Africa ,57.56,18.67,11.29,3.05,0,0,0,6.61,1.1,0,0,0,0,0,0,0,0,0
Morocco ,46.73,31.49,17,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0
Czech Republic ,28.79,40.9,18.21,2,0,0,0,8.68,0,0,0,0,0,0,0,0,0,0
Kuwait ,64.82,11.42,11.71,3.59,0,2.42,1.02,1.2,2.26,0,0,0,0,0,0,0,0,0
New Zealand ,42.95,26.24,17.81,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,31.48,49.68,13.46,1.85,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0
Guatemala ,48.52,25.44,18.51,2.63,0,0,2.01,1.11,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,14.98,47.22,32.24,0,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,20.88,44.26,20.47,1.58,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
Paraguay ,34.24,38.09,24.76,0,0,0,0,1.09,1.08,0,0,0,0,0,0,0,0,0
Lithuania ,30.05,41.15,17.28,1.33,0,0,0,9.49,0,0,0,0,0,0,0,0,0,0
Jordan ,51.15,17.49,25.05,0,0,0,0,2.08,2.39,0,0,0,0,0,0,0,0,0
Macedonia ,13.56,45.28,36.92,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0
Qatar ,58.54,13.93,18.32,3.34,0,0,0,1.54,2.55,0,0,0,0,0,0,0,0,0
Algeria ,42.46,38.81,15.44,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0
Iraq ,65.89,16.45,10.22,0,0,0,0,3.39,3.08,0,0,0,0,0,0,0,0,0
Tunisia ,16.77,33.42,45.47,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,45.36,23.33,18.53,7.17,1.17,0,0,0,0,0,0,0,1.1,1.01,0,0,0,0
Bahrain ,72.08,10.59,10.96,2.71,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,59.47,27.58,5.22,0,0,0,0,3.06,2.83,0,0,0,0,0,0,0,0,0
Nigeria ,27.15,30.34,6.95,1.33,0,0,0,29.05,1.92,0,0,0,0,0,1.94,0,0,0
Latvia ,26.11,44.51,20.5,1.64,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0
Albania ,18.05,28.34,49.42,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
Bangladesh ,20.66,46.53,10.03,0,0,0,0,16.02,3.97,0,0,0,0,0,0,0,0,0
Honduras ,43.94,21.91,18.39,1.98,0,0,1.27,2.18,4.02,0,0,3.31,0,0,0,0,0,0
Costa Rica ,37.83,28.65,18.08,3.8,0,0,0,2.42,5.26,0,0,2.23,0,0,0,0,0,0
Bolivia ,59.38,25.95,11.08,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,28.81,44.29,17.75,3.21,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,28.16,35.48,27.99,0,0,0,0,5.42,1.14,0,0,0,0,0,0,0,0,0
Belarus ,14.86,23.95,9.18,0,0,0,0,50.18,0,0,0,0,0,0,0,0,0,0
Georgia ,14.84,17.62,21.29,0,0,0,0,45.18,0,0,0,0,0,0,0,0,0,0
Lebanon ,57.35,17.81,16.6,3.09,0,0,0,2.04,1.63,0,0,0,0,0,0,0,0,0
Oman ,58.19,13.51,13.77,1.08,0,0,0,2.76,8.56,0,0,0,0,0,0,0,0,0
Dominican Republic ,34.9,27.6,29.08,3.28,0,0,2.42,1.49,0,0,0,0,0,0,0,0,0,0
Panama ,54.82,19.53,18.49,3.88,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
Mongolia ,18.69,67.26,10.15,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,58.1,23.54,15.1,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0
Uruguay ,38.67,30.23,28.09,1.16,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0
Cyprus ,48,27.93,18.62,2.66,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0
El Salvador ,37.77,35.04,19.96,1.92,0,0,1.11,2.09,0,0,0,0,0,0,0,0,0,0
Moldova ,16.53,40.22,30.1,0,0,0,0,12.11,0,0,0,0,0,0,0,0,0,0
Montenegro ,21.1,34.74,32.68,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0,0
Nicaragua ,34.63,42.1,17.99,1.24,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0
Yemen ,50.82,25.84,16.92,0,0,0,0,3.77,1.24,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,36.67,26.6,29.61,3.36,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,21.23,31.45,11.99,1.15,0,0,0,33.39,0,0,0,0,0,0,0,0,0,0
Libya ,43.12,19,22.74,0,0,0,0,6.67,6.66,0,0,0,0,0,0,0,0,0
Kenya ,25.82,40.76,9.93,2.21,0,0,0,17.47,1.75,0,0,0,0,0,0,0,0,0
Malta ,47.74,22.61,23.55,3.41,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0
Sudan ,44.72,22.25,4.87,0,0,0,0,16.48,9.45,0,0,0,0,0,0,0,0,0
Iceland ,31.57,33.59,22.52,9.59,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,34.04,16.89,15.59,1.34,0,0,0,30.74,0,0,0,0,0,0,0,0,0,0
Luxembourg ,33.12,39.02,11.22,12.38,0,1.9,0,1.3,0,0,0,0,0,0,0,0,0,0
Jamaica ,31.28,33.54,27.7,3.5,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,16.94,29.25,17.99,5.71,1.06,1.35,0,7.64,17.45,0,0,1.04,0,0,0,0,0,0
Ghana ,22.9,50.08,8.45,1.91,0,0,0,12.92,1.17,0,0,0,0,0,0,0,0,0
Nepal ,31.9,33.57,19.04,1.3,0,0,0,12.27,0,0,0,0,0,0,0,0,0,0
Armenia ,15.24,37.39,35.5,1.19,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0
Myanmar ,30.22,65.18,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,28.41,38.89,24.03,2.48,0,0,0,4.21,1.04,0,0,0,0,0,0,0,0,0
Macao ,58.54,19.1,12.23,4.73,0,1.58,0,0,0,1.4,0,0,0,0,0,0,0,0
Faroe Islands ,62.04,14.38,15.29,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,46.53,23.68,6.49,1.4,0,0,0,10.35,9.32,0,0,0,0,0,0,0,0,0
Senegal ,29.1,52.76,14.26,1.74,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0
Cambodia ,32.58,39.44,9.79,3.33,0,1.5,0,5.58,4.45,0,0,1.96,0,0,0,0,0,0
Bahamas ,51.47,18.76,18.66,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,64.22,12.39,7.82,14.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,62.06,17.37,11.63,4.07,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,52.54,23.69,14.8,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,39.4,31.06,23.04,3.72,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0
Reunion ,26.88,46.58,14.91,7.83,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0
Ethiopia ,42.02,33.26,9.03,1,0,0,0,10.68,2.9,0,0,0,0,0,0,0,0,0
Cote dIvoire ,34.04,43.93,15.07,1.26,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0
Isle of Man ,55.95,17.84,12.39,9.37,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,33.38,47.9,10.57,2.25,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0
