"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","Nokia","UC Browser","NetFront","Dolfin","Maxthon","TheWorld","Flock","SeaMonkey","Comodo Dragon","iPod Touch","Obigo","Iron","Windows Media Player","IEMobile","Mozilla","Chromium"
United States of America ,37.73,20.04,19.96,11.85,3.9,3.29,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,42.84,40.6,12.34,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,30.4,43.65,20.31,1.36,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,35.8,24.79,17.88,10.46,2.15,3.48,1.08,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,24.51,14.49,48.42,5.39,1.28,1.2,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,38.32,19.72,21.57,11.94,1.16,2.52,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,45.14,29.82,13.94,3.08,2.5,1.73,1.14,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,14.02,22.95,20.71,0,1.62,0,19.24,0,8.06,6.03,3.06,1.08,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,3.11,18.85,53.99,1.53,1.53,0,14.6,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,40.45,34.42,14.95,4.17,1.35,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,34.46,30.67,23.98,5.51,2.28,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,28.18,47.48,20.26,1.06,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,32.73,33.44,23.11,6.27,1.03,1.29,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,73.21,10.81,4.34,1.79,0,0,0,0,0,2.53,0,0,2.8,1.14,0,0,0,0,0,0,0,0,0,0
Netherlands ,47.61,20.58,15.95,9.09,2.63,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,8.73,53.96,28.04,3.06,1.05,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,31.28,24.06,31.23,8.19,1.37,1.82,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,13.11,38.55,37.58,1.32,0,0,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,19.35,38.73,27.61,3.94,3.89,1.48,2.21,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,63.33,7.83,2.84,1.71,21.7,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,35.34,20.09,20.92,14.18,1.93,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,14.97,25.29,46.61,1.36,0,0,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,28,52.79,15.03,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,62,19.53,10.26,3.32,2.46,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,22.12,54.87,17.31,1.79,1.17,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,23.22,30.73,36.22,1.18,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,14.46,34.94,43.1,1.34,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,50.8,16.31,16.87,6.9,3.04,2.99,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,24.32,31.65,37.76,2.71,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,21.56,34.56,31.7,1.58,0,2.52,4.75,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,35.72,24.94,22.68,9.24,1.96,3.74,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,19.03,28.32,24.9,2.36,0,0,23.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,16.55,38.26,27.55,0,0,0,11.13,0,2.94,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,42.76,22.67,21.82,9.1,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,49.27,32.68,14.41,1.01,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
