"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Yandex Browser","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Silk","Samsung","Openwave Mobile Browser","Obigo","Unknown","Midori","Iron","Maemo browser","Sony PS3"
United States of America ,35.14,22.57,14.17,13.09,6.22,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,28.94,50.28,9.15,1.5,1.21,4.39,1.92,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,19.12,54.47,17.08,2.22,0,2.93,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,20.49,19.52,43.74,6.59,1.84,3.88,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,26.32,30.16,14.49,13.93,5.79,4.47,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,7.77,22.15,14.71,0,0,4.86,17.54,0,0,14.17,8.12,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,34.47,24.38,16.48,13.68,4.93,2.63,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,22.22,46.46,12.82,5.34,3.84,6.25,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,18.45,58.3,15.59,1.39,0,3.19,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,56.21,18.13,2.78,2.62,1.02,2.41,0,0,0,3.05,0,0,6.05,2.29,2.19,1.35,0,0,0,0,0,0,0,0,0,0,0
Spain ,23.8,39.04,20.34,6.75,2.23,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,29.91,41.64,12.22,5.26,1.65,4.12,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,1.96,20.8,44.24,2.08,0,4.24,19.45,0,1.06,1.15,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,24.53,38.01,19.67,8.46,2.9,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,46.37,13.69,1.72,2.83,2.74,31.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,24.61,31,26.96,9.37,2.72,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,5.57,57.3,22.8,4.33,1.46,3.53,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,9.83,43.68,35.63,1.66,0,1.88,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,12.81,42.34,20.78,5.06,1.85,11.09,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,11.69,30.94,42.23,1.62,0,3.57,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,18.25,63.56,11.33,2.78,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,33.53,27.31,14.22,12.84,3.95,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,30.87,24.02,15.35,16.49,7.54,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,45.25,18.76,12.36,7.49,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,18.71,38.4,34.32,3.19,1.07,2.16,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,16.28,60.73,12.92,2.33,1.52,4.12,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,38.84,34.13,9.19,4.31,2.42,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,10.25,33.94,45.38,1.72,0,1.97,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,16.47,39.74,33.08,1.82,0,2.07,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,9.48,40.15,24.2,1.39,1.11,3.2,11.61,0,0,4,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,16.33,35.75,22.03,3.82,1.1,1.88,14.43,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,9.46,40.98,23.58,4.62,9.58,2.91,4.22,0,0,2.3,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,22.07,33.23,12.27,6.25,5.06,11.61,1.04,0,2.42,1.92,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,26.17,31.83,18.41,12.2,6.25,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,30.9,50.43,13.23,1.43,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,14.41,36.67,38.3,1.42,0,1.75,3.75,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,20.09,47.09,26.48,1.61,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,33.77,28.95,18.76,11.88,1.92,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,22.48,27.98,14.36,13.16,10.21,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,36.59,41.91,9.93,3.17,3.5,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,28.29,43.13,18.26,5.59,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,18.39,36.26,37.68,1.17,0,1.73,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,25.99,36.45,11.32,9.63,3.13,4.74,1.65,0,0,2.25,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,12.83,31.53,49.06,0,0,1.3,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,10.93,44.6,32.87,1.92,1.31,2.95,3.01,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,21.26,37.3,15.4,10.74,6.37,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,16.29,28.91,31.66,8.94,3.71,4.14,1.76,0,0,0,1.64,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,7.06,48.6,37.47,1.37,0,1.69,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,25.16,31.8,15.91,15.58,4.37,3.7,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,27.67,18.78,23.84,18.54,5.77,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,23.52,22.6,33.98,9.1,2.73,5.38,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,30.16,30.55,12.9,16.22,5.76,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,15.82,35.81,37.41,2.37,1.55,3.24,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,16.26,39.84,31.86,2.93,1.23,3.71,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,23.68,32.86,31.58,2.82,0,2.03,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,18.98,42.92,22.13,2.16,2.19,6.05,1.91,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,9.82,34.94,26.01,2.66,0,1.23,22.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,9.47,59.47,20.98,1.86,1.33,1.83,2.1,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,32.64,26.93,12.82,9.98,4.38,10.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,32.22,18.83,13.31,6.82,1.66,3.59,8.76,0,12,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,9.37,55.92,24.71,2.42,2.05,1.89,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,29.38,14.18,36.39,1.18,0,2.98,4.76,0,0,6.82,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,26.28,32.4,16.75,14.14,3.8,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,5.79,56.38,30.38,0,0,2.39,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,11.03,37.4,32.94,1.42,0,2.25,7.92,0,0,1.78,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,12.92,58.04,17.32,3.82,1.6,2.23,1.57,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,21.12,31.23,38.72,3.7,0,2.68,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,17.31,37.29,31.88,2.68,0,2.93,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,25.49,39.11,18.76,4.22,2.72,3.88,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,4.46,15.04,37.83,0,0,1.98,20.34,0,0,9.8,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,15.89,56.1,22.27,1.75,0,1.28,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,14.39,50.63,14.52,2.59,1.7,5.54,5.79,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,17.69,34.64,36.5,2.35,0,1.93,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,9.18,46.55,6.97,1.71,1.16,3.2,27.05,1.33,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
