"Continent","IE","Firefox","Safari","Chrome","Opera","Mozilla","Maxthon","Nokia","BlackBerry","SeaMonkey","iPhone","NetFront","Samsung","AppleWebKit","Windows Media Player"
United States of America ,51.3,29.64,8.91,5.76,0,0,0,0,0,0,0,0,0,0,0
Brazil ,54.21,33.7,0,10.16,0,0,0,0,0,0,0,0,0,0,0
Thailand ,78.46,15.76,0,2.89,0,0,0,0,0,0,0,0,0,0,0
Turkey ,77.78,15.82,0,4.82,0,0,0,0,0,0,0,0,0,0,0
Germany ,26.6,60.56,3.3,3.12,4.42,0,0,0,0,0,0,0,0,0,0
Indonesia ,8.75,72.42,1.16,4.45,10.05,1.52,0,0,0,0,0,0,0,0,0
China ,86.21,3.49,0,0,0,0,7.56,0,0,0,0,0,0,0,0
United Kingdom ,56.07,24.96,5.68,6.87,1.28,0,1.27,0,0,0,0,0,0,0,0
South Korea ,96.82,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,51.48,31.38,7.68,6.19,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,86.77,9.24,0,1.55,0,0,1.25,0,0,0,0,0,0,0,0
Mexico ,68.13,21.23,2.97,4.67,1.31,0,0,0,0,0,0,0,0,0,0
India ,48.26,29.94,0,12.01,5.99,0,0,1.46,0,0,0,0,0,0,0
Spain ,54.81,32.49,3.13,7,1.25,0,0,0,0,0,0,0,0,0,0
France ,53.7,33.4,4.64,4.86,1.02,0,0,0,0,0,0,0,0,0,0
Netherlands ,66.61,20.7,3.82,5.36,1.34,0,0,0,0,0,0,0,0,0,0
Italy ,56.24,29.64,4.03,7.26,1.39,0,0,0,0,0,0,0,0,0,0
Philippines ,24.36,60.31,1.74,9.54,1.45,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,73.86,14.76,0,6.17,1.04,0,0,2.2,0,0,0,0,0,0,0
Malaysia ,43.66,41.18,1.33,9.04,1.82,0,0,1.28,0,0,0,0,0,0,0
Egypt ,64.77,24.85,0,4.81,3.04,1.06,0,0,0,0,0,0,0,0,0
Australia ,50.37,31.36,7.09,6.26,1.05,0,0,0,1.29,0,0,0,0,0,0
Peru ,87.29,8.8,0,2.84,0,0,0,0,0,0,0,0,0,0,0
Argentina ,57.7,31.32,0,7.69,1.65,0,0,0,0,0,0,0,0,0,0
Hungary ,30.4,55.4,0,6.39,5.4,0,0,0,0,0,0,0,0,0,0
Israel ,77.55,12.27,0,7.37,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,69.88,23.59,0,3.11,1.81,0,0,0,0,0,0,0,0,0,0
Japan ,64.46,21.61,5.65,4.42,1.68,0,0,0,0,0,0,0,0,0,0
Poland ,26.01,53.22,0,5.45,11.99,0,0,0,0,1.06,0,0,0,0,0
Singapore ,53.65,29.92,5.64,6.96,1.03,0,0,0,0,0,1.02,0,0,0,0
Romania ,42.63,42.7,0,5.92,7.19,0,0,0,0,0,0,0,0,0,0
Sweden ,52,33.92,4.92,6.03,1.57,0,0,0,0,0,0,0,0,0,0
Portugal ,61.33,27.37,2.55,6.36,1.48,0,0,0,0,0,0,0,0,0,0
Chile ,50.98,35.56,1.5,9.6,1.49,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,75,12.87,1.79,5.94,0,0,0,2.38,0,0,0,0,0,0,0
Belgium ,59.57,27.06,5.28,5.51,1.39,0,0,0,0,0,0,0,0,0,0
Greece ,44.55,44.09,1.93,6.18,2.12,0,0,0,0,0,0,0,0,0,0
Colombia ,61.65,26.33,1.42,9.25,0,0,0,0,0,0,0,0,0,0,0
Finland ,32.34,52.14,5.04,4.43,3.91,0,0,0,0,0,0,0,0,0,0
Iran ,62.62,27.49,0,2.25,5.2,0,0,0,0,0,0,0,0,0,0
Russian Federation ,28.38,30.75,1.25,4.89,32.91,0,0,0,0,0,0,0,0,0,0
Serbia ,29.99,46.04,0,10.89,10.19,0,0,0,0,0,0,0,0,0,0
Bulgaria ,40.96,46,0,5.53,6.14,0,0,0,0,0,0,0,0,0,0
Austria ,38.57,48,4.95,3.76,3.22,0,0,0,0,0,0,0,0,0,0
Hong Kong ,68.19,19.91,4.47,4.59,0,0,0,0,0,0,0,0,0,0,0
Denmark ,60.85,23.76,6.8,5.96,1.36,0,0,0,0,0,0,0,0,0,0
Switzerland ,42.25,39.8,10.05,4.03,2.07,0,0,0,0,0,0,0,0,0,0
Morocco ,66.65,24.57,0,4.98,2.2,0,0,0,0,0,0,0,0,0,0
Kuwait ,78.95,11.06,1.78,4.48,0,0,0,1.68,0,0,0,0,0,0,0
Venezuela ,60.68,27.87,1.42,7.78,1.17,0,0,0,0,0,0,0,0,0,0
Ireland ,53.9,28.9,4.8,8.3,1.42,0,0,0,0,0,0,0,0,0,0
Norway ,48.08,30.94,6.67,6.31,6.53,0,0,0,0,0,0,0,0,0,0
Pakistan ,52.68,29.09,0,11.34,4.48,0,0,0,0,0,0,0,0,0,0
Czech Republic ,35.64,44.68,1.83,6.81,9.36,0,0,0,0,0,0,0,0,0,0
Croatia ,33.14,53.41,1.46,6.24,4.52,0,0,0,0,0,0,0,0,0,0
South Africa ,61.8,20.26,2.08,6.04,6.46,0,0,1.4,0,0,0,0,0,0,0
Algeria ,60.48,30.36,0,5.32,2.57,0,0,0,0,0,0,0,0,0,0
Paraguay ,46.18,41.93,0,9.84,1.12,0,0,0,0,0,0,0,0,0,0
Tunisia ,27.42,49.2,0,18.66,2.76,0,0,0,0,0,0,0,0,0,0
New Zealand ,49,32.28,6.82,8.46,1.4,0,0,0,0,0,0,0,0,0,0
Qatar ,70.72,13.94,1.73,7.92,1.62,0,0,2.58,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,28.5,47.69,1.12,7.94,13.28,0,0,0,0,0,0,0,0,0,0
Jordan ,67.7,18.81,0,8.54,1.69,0,0,1.54,0,0,0,0,0,0,0
Macedonia ,24.25,59.07,0,11.35,3.99,0,0,0,0,0,0,0,0,0,0
Ukraine ,24.41,31.2,0,5.23,36.56,0,0,0,0,0,0,0,0,0,0
Ecuador ,57.5,31.82,1.87,5.81,1.01,0,0,0,0,0,0,0,0,0,0
Slovenia ,35.41,53.2,1.78,5.64,2.96,0,0,0,0,0,0,0,0,0,0
Guatemala ,58.99,28.56,2.39,7.99,1.01,0,0,0,0,0,0,0,0,0,0
Bahrain ,80.11,10.38,1.64,4.8,0,0,0,1.53,0,0,0,0,0,0,0
Lithuania ,39.5,41.87,1.19,6.29,10.09,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,54.96,29.03,5.38,6.99,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,70.46,21.26,0,2.61,3.55,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,72.59,19,0,5.13,1.73,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,25.81,55.27,0,11.62,5.54,0,0,0,0,0,0,0,0,0,0
Oman ,72.41,14.36,0,5.78,2.02,0,0,3.72,0,0,0,0,0,0,0
Honduras ,58.91,26.33,1.56,7.16,3.52,0,0,1.22,0,0,0,0,0,0,0
Bolivia ,69.42,23.21,0,4.57,1.24,0,0,0,0,0,0,0,0,0,0
Mongolia ,46.98,46.79,0,3.23,1.63,0,0,0,0,0,0,0,0,0,0
Latvia ,32.91,49.48,1.66,5.69,9.03,0,0,0,0,0,0,0,0,0,0
Costa Rica ,48.39,35.62,3.41,7.24,2.49,0,0,1.35,0,0,0,0,0,0,0
Panama ,67.69,22.29,2.51,5.61,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,49.16,35.95,2.79,9.39,1.56,0,0,0,0,0,0,0,0,0,0
Estonia ,32.7,48.94,2.77,6.96,7.24,0,0,0,0,0,0,0,0,0,0
Iraq ,80.83,11.15,0,3.21,2.73,0,0,0,0,0,0,0,0,0,0
Bangladesh ,34.61,40.85,0,5.57,14.82,1.18,0,1.68,0,0,0,0,0,0,0
Nigeria ,41.93,27.15,0,4.6,23.82,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,41.57,37.34,0,14.74,3.64,0,0,0,0,0,0,0,0,0,0
Lebanon ,68.18,18.93,2.13,7.28,1.52,0,0,1.05,0,0,0,0,0,0,0
Cyprus ,62.37,27.3,1.89,5.58,1.79,0,0,0,0,0,0,0,0,0,0
Georgia ,24.07,15.38,0,5.4,53.87,0,0,0,0,0,0,0,0,0,0
Uruguay ,49.54,36.9,1.06,10.02,1.62,0,0,0,0,0,0,0,0,0,0
Libya ,56.25,19.76,0,9.01,8.94,0,0,4.37,0,0,0,0,0,0,0
El Salvador ,46.69,41.53,1.86,7.21,1.59,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,25.71,38.58,4.72,7.55,10.06,0,0,10.88,0,0,0,0,0,0,0
Sudan ,67.27,23.05,0,3.42,3.88,0,0,0,0,0,0,0,0,0,0
Albania ,22.16,53.85,0,19.95,1.63,0,0,0,0,0,0,0,0,0,0
Iceland ,36,43.49,9.03,8.89,1.76,0,0,0,0,0,0,0,0,0,0
Moldova ,29.03,44.89,0,9.98,14.05,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,43.34,35.04,3.26,14.4,2.05,0,0,0,0,0,0,0,0,0,0
Malta ,58.6,26.18,2.76,9.73,1.1,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,51.32,14.37,0,4.07,28.15,0,0,0,0,0,0,0,0,0,0
Nicaragua ,45.81,45.15,1.12,5.34,1.82,0,0,0,0,0,0,0,0,0,0
Myanmar ,11.58,80.35,0,4.17,0,1.83,0,0,0,0,0,0,0,0,0
Belarus ,22.89,24.18,0,3.79,46.45,0,1.19,0,0,0,0,0,0,0,0
Yemen ,70.25,18.51,0,6.04,3.35,0,0,0,0,0,0,0,0,0,0
Nepal ,51.48,28.99,1.26,10.41,6.04,1.06,0,0,0,0,0,0,0,0,0
Luxembourg ,43.82,39.77,7.86,4.52,1.65,0,0,0,0,0,1.16,0,0,0,0
Jamaica ,40.18,40.76,2.8,11.88,2.34,1.02,0,0,0,0,0,0,0,0,0
Montenegro ,38.28,36.83,0,12.52,7.45,0,0,2.57,0,0,0,0,0,0,0
Kazakhstan ,32.61,29.05,0,3.53,32.77,0,0,0,0,0,0,0,0,0,0
Macao ,67.22,20.68,3.37,4.3,0,0,2.19,0,0,0,0,0,0,0,0
Mauritius ,31.47,47.31,2.26,11.28,4.66,1.13,0,1.32,0,0,0,0,0,0,0
Kenya ,37.28,37.5,2.1,5.29,15.61,0,0,0,0,0,0,0,0,0,0
Bahamas ,58.78,23.95,6.78,7.15,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,50.15,33.73,2.48,4.59,4.94,0,0,1.84,0,0,0,0,0,0,0
Senegal ,36.48,54.73,1.19,5.56,0,0,0,0,0,0,0,0,0,0,0
Ghana ,32.88,49.48,1.44,4.86,8.04,1.35,0,0,0,0,0,0,0,0,0
Angola ,60.69,16.01,2.05,5.32,9.92,0,0,3.12,0,0,0,1.53,0,0,0
Lao Peoples Democratic Republic ,61.24,25.92,1.21,2.33,6.85,0,0,1.43,0,0,0,0,0,0,0
Netherlands Antilles ,62.33,23.55,4.12,6.47,1.95,0,0,0,0,0,0,0,0,0,0
Barbados ,44.74,40.14,2.96,8.98,1.41,0,0,0,0,0,0,0,0,0,0
Tanzania ,62.64,22.04,2.43,4.24,6.52,0,0,1.27,0,0,0,0,0,0,0
Cote dIvoire ,54.58,27.52,0,4.82,9.59,0,0,1.07,0,0,0,0,0,0,0
Reunion ,36.56,46.45,6.2,5.92,2.59,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,67.21,21.15,3.57,6.09,0,0,0,0,0,0,0,0,0,0,0
Guam ,50.63,31.96,6.49,6.29,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,60.8,21.84,7.68,6.75,0,0,0,0,0,0,0,0,0,0,0
Maldives ,28.8,52.77,1.96,9.46,4.07,1.25,0,0,0,0,0,0,0,0,0
Mozambique ,52.49,31.17,3.24,5.68,5.05,0,0,1.54,0,0,0,0,0,0,0
Aruba ,62.34,24.1,4.49,6.58,0,0,0,0,0,0,0,0,0,0,0
Armenia ,29.86,38.98,1.21,9.65,17.7,1.28,0,0,0,0,0,0,0,0,0
Guadeloupe ,49.53,35.26,6.63,5.72,1.34,0,0,0,0,0,0,0,0,0,0
