"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","iPod Touch","Bolt","Mozilla","Windows Media Player"
United States of America ,45.27,24.68,11.86,10.53,1.77,1.7,1.5,0,0,0,0,0,0,0,0,0,0
Brazil ,44.97,28.15,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,21,60.36,8.78,4.69,0,0,0,3.63,0,0,0,0,0,0,0,0,0
Thailand ,70.57,14.79,9.66,1.08,0,0,0,0,1.91,0,0,0,0,0,0,0,0
Indonesia ,4.61,71.13,11.01,0,1.65,0,0,8.13,1.56,0,0,0,0,0,0,0,0
United Kingdom ,47.95,21.23,15.79,7.44,2.01,0,1.82,1.12,0,0,0,0,0,0,0,0,0
Turkey ,65.7,17.42,13.93,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0
China ,85.84,3.29,3.68,0,0,0,0,0,0,3.69,1.56,0,0,0,0,0,0
Canada ,45.24,27.51,13.04,10.02,0,0,1.44,0,0,0,0,0,0,0,0,0,0
South Korea ,89.25,2.44,3.04,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0
Mexico ,59.52,18.17,14.52,3.67,0,0,0,1.24,0,0,0,0,0,0,0,0,0
Spain ,47.69,28.74,16.84,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,31.86,26.47,19.8,0,0,0,0,13.84,4.58,0,0,1.4,0,0,0,0,0
Netherlands ,59.21,19.08,12.41,5.65,0,0,0,1.08,0,0,0,0,0,0,0,0,0
Italy ,45.4,27.99,18.8,5.02,0,0,0,1.29,0,0,0,0,0,0,0,0,0
France ,39.3,35.66,14.72,6.41,0,0,1.23,1.13,0,0,0,0,0,0,0,0,0
Philippines ,13.36,43.18,38.37,1.8,0,0,0,1.57,0,0,0,0,0,0,0,0,0
Australia ,44.77,26.7,12.85,10.4,0,0,2.39,0,0,0,0,0,0,0,0,0,0
Argentina ,49.62,25.85,21.71,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0
Malaysia ,32.3,33.73,25.53,1.55,0,0,0,1.41,2.46,0,0,1.45,0,0,0,0,0
Serbia ,18.15,43.71,27.41,0,0,0,0,8.95,0,0,0,0,0,0,0,0,0
Poland ,19.41,52.17,14.38,1.14,0,0,0,11.7,0,0,0,0,0,0,0,0,0
Saudi Arabia ,60.9,13.27,15,1.44,2.85,0,0,1.19,4.03,0,0,0,0,0,0,0,0
Peru ,73.86,12.48,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,32.12,42.36,16.9,0,0,0,0,7.27,0,0,0,0,0,0,0,0,0
Taiwan ,75.42,11.39,9.37,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,63.04,12.78,20.78,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,45.06,28.52,15.39,6.57,0,0,1.69,1.45,0,0,0,0,0,0,0,0,0
Hungary ,22.14,52.54,18.73,1.24,0,0,0,4.45,0,0,0,0,0,0,0,0,0
Vietnam ,43.51,38.69,12.98,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0
Japan ,56.03,20.95,10.62,6.58,0,0,1.46,1.69,0,0,0,0,0,0,0,0,0
Belgium ,50.84,26.27,13.39,7.14,0,0,0,1.16,0,0,0,0,0,0,0,0,0
Egypt ,51.18,30.32,12.62,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0
Greece ,32.36,43.68,18.58,2.21,0,0,0,2,0,0,0,0,0,0,0,0,0
Russian Federation ,21.08,32.69,12.28,1.57,0,0,0,31.33,0,0,0,0,0,0,0,0,0
Colombia ,49.56,19.44,27.22,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,38.88,26.62,30.05,1.66,0,0,0,1.49,0,0,0,0,0,0,0,0,0
Portugal ,51.17,26.14,16.68,3.53,0,0,0,1.47,0,0,0,0,0,0,0,0,0
Austria ,30.76,47.85,10.32,6.7,0,0,0,2.62,0,0,0,0,0,0,0,0,0
Singapore ,41.97,25.03,16.89,8.13,0,0,4.09,1.09,0,0,0,0,0,0,0,0,0
United Arab Emirates ,61.55,13.12,14.61,3.45,0,0,0,1.15,3.88,0,0,0,0,0,0,0,0
Switzerland ,37.42,36.1,9.4,13.18,0,0,1.36,1.51,0,0,0,0,0,0,0,0,0
