"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","BlackBerry","Nokia","UC Browser","NetFront","Dolfin","Maxthon","TheWorld","SeaMonkey","Flock","iPod Touch","Sony PS3","Samsung","Openwave Mobile Browser","Obigo","SonyEricsson","Chromium"
United States of America ,42.56,18.46,17.58,11.52,3.84,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,44.97,12.73,37.94,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,30.51,21.99,42.05,1.18,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,36.27,17.91,24.27,10.28,2.1,3.34,1.12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,24.12,49.54,13.91,5.3,1.19,1.12,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,39.77,21.42,19.01,11.86,1.25,2.31,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,46.03,14.24,28.96,2.99,2.23,1.48,1.1,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,14.14,19.62,21.44,0,1.36,0,20.66,0,8.76,5.88,3.72,1.08,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,3.06,54.44,18.49,1.46,1.43,0,14.47,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,35.69,24.12,29.65,5.19,2.15,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,41.03,15.12,33.11,4.21,1.29,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,29.66,20.72,45.61,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,33.15,23.82,32.55,6.32,0,1.08,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,47.38,16.39,20.52,9.07,2.49,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,74.37,3.95,10.66,1.59,0,0,0,0,0,2.16,0,0,2.78,1.15,0,0,0,0,0,0,0,0,0
Philippines ,8.71,28.62,54.02,2.92,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,32.67,30.76,22.86,8.32,1.36,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,13.43,38.22,37.55,1.19,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,19.45,27.82,38.76,3.82,3.5,1.43,2.17,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,34.92,21.3,20.33,13.9,1.89,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,15.33,46.87,24.4,1.29,0,0,10.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,63.04,3.48,8.66,1.76,20.51,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,29.16,14.65,52.07,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,14.66,43.99,34.23,1.24,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,24.37,36.23,29.48,1.2,0,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,23.45,17.93,53.04,1.81,1.06,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,49.44,18.1,17.03,6.61,2.63,2.52,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,62.32,10.56,19.29,3.42,2.08,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,24.37,38.32,31.08,2.53,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,36,23.1,24.54,9.08,1.97,3.56,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,50.78,14.47,31.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,21.52,25.2,25.57,2.01,0,0,24.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,24.23,32.1,32.64,1.31,0,0,5.31,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,41.95,22.7,22.47,9.17,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,49.59,11.65,31.93,2.07,1.44,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,38.99,12.58,25.23,3.21,2.34,2.04,4.8,3.79,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,17.95,27.82,38.34,0,0,0,10.14,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,40.96,21.79,29.83,4.31,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,29.61,20.33,22.45,12.08,3.14,9.51,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,27.96,37.61,24.37,1.03,0,0,5.58,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,25.76,40.04,27.18,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,28.84,26.39,40.67,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,34.81,28.02,13.7,15.11,1.3,3.02,2.13,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0
Finland ,23.08,40.38,21.02,7.25,1.78,1.86,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,41.79,13.74,27.91,6.53,0,1.65,1.39,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,15.58,28.01,21.12,1.22,0,0,32.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,46.95,16.11,19.04,8.47,3.74,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,42.12,16.92,23.48,12.34,1.28,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,34.38,19.7,25.1,11.86,1.54,1.97,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,30.19,39.18,16.38,7.3,2.09,1.57,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,11.62,14.62,5.15,2.16,0,0,58.47,0,4.36,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,6.18,12.05,39.8,0,0,0,40.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,32,19.68,30.92,7.67,2.67,3.6,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,20.66,42.23,28.93,1.81,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,41.88,14.91,13.82,4.59,1.37,0,18.14,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,45.98,32.18,9.23,0,1.08,0,4.77,0,1.78,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,26.76,34.82,26.73,2.18,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,10.25,39.68,44.4,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,34.52,21.96,26.25,11.23,1.4,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,7.83,49.04,14.16,0,0,0,17.03,0,4.27,1.63,0,0,0,0,1.12,1.44,0,0,0,0,0,0,0
Paraguay ,23.94,33.23,37.13,0,0,0,1.73,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,8.55,34.88,51.51,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,27.68,32.5,32.88,2.47,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,26.95,44.1,22.28,2.66,0,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,11.97,24.89,57.51,1.06,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,19.55,20.83,52.35,3.04,0,0,1.41,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,25.56,32.09,34.51,1.44,0,0,3.06,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,16.44,37.71,32.03,2.08,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,35.69,21.89,30.31,3.72,1.25,1.66,2.17,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,11.84,21.2,17.94,0,0,0,47.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,25.25,39.5,30.45,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,26.65,36.36,24.98,1.93,0,0,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,19.63,32.11,32.68,0,0,0,8.13,0,3.26,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,13.18,23.63,57.41,1.01,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,22.19,26.75,47.4,1.4,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,39.17,23.09,27.32,1.04,0,0,3.57,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,38.02,14.67,37.54,1.46,0,0,4.01,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,40.03,11.61,19.19,6.12,2.04,8.28,4.1,4.25,2.72,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0
Qatar ,42.39,13.38,29.79,4.9,0,1.25,2.48,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,41.49,21.11,25.26,4.84,0,1.95,1.67,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,41.54,30.92,22.02,1.82,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,33.11,18.56,27.48,8.53,5.57,1.81,0,0,0,0,0,0,0,0,0,0,1.66,1.32,0,0,0,0,0
Costa Rica ,26.49,22.89,30.45,4.1,2.26,1.09,4.42,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,14.43,31.59,44.55,1.04,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,26.78,36.19,27.63,2.26,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,11.46,26.86,50.15,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,7.34,21.84,62.56,1,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,26.44,37.43,25.42,4.17,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,25.94,28.19,38.67,2.36,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,17.83,10.85,32.59,1.15,0,0,34.44,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,14.89,25.45,23.74,1.49,0,0,32.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,42.33,16.56,29.96,4.83,1.79,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,42.3,52.2,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,31.76,21.06,32.35,2.85,1.07,0,2.93,1.26,2.38,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,26.8,22.11,42.88,4.23,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,34.92,24.64,32,4.64,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,12.71,60.55,20,1.84,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,46.73,12.79,21.37,5.85,1.85,3.57,2.74,1.07,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,40.33,13.32,22.06,2.23,4.02,1.05,2.35,2.88,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,15.97,36.26,12.68,2.38,1.34,0,26.06,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,23.09,26.5,41.5,3.95,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,35.05,28.51,30.83,0,0,0,2.6,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,34.37,38.58,11.45,1.18,1.29,0,2.56,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,24.41,26.67,35.56,10.28,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,15.35,30.52,31,1.72,0,0,16.44,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,22.84,34.78,36.07,1.6,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,9.23,8.82,4.21,1.21,0,0,61.74,0,7.65,0,1.51,0,0,0,0,0,0,0,1.7,1.34,0,0,0
Malta ,35.05,17.76,38.72,4.77,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,21.42,20.76,6.93,0,0,0,29.25,0,17.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,11.76,38.34,12.02,2.19,0,0,25.5,0,3.27,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,34.28,30.01,15.94,13.01,1.21,3.3,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,26.26,34.44,27.97,0,0,1.11,6.03,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,20.47,52.45,20.89,2.26,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,59.17,10.82,10.26,17.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,53.52,11.27,21.36,9.36,1.28,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,21.83,18.93,27.6,0,0,0,10.49,0,18.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,21.55,33.1,33.39,3.28,0,0,4.63,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,16.24,37.5,16.14,4.86,2.56,3.22,7.54,0,8.35,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,11.31,22.81,20.29,8.16,5.01,2.76,15.12,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,42.86,17.96,21.33,7.94,3.18,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,28.47,27.74,34,5.07,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,14.77,14.74,5.66,1.65,0,0,54.56,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,51.78,15.65,17.04,7.48,1.22,0,3.89,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,37.07,14.98,31.85,10.01,1.18,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,46.35,16.95,23.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,20.65,48.4,12.25,2.74,1.18,0,10.23,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,16.04,31.62,10.12,1.21,0,0,29.54,0,7.47,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,26.36,20.33,11.67,2.39,0,1.21,21.79,0,13.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,9.06,13.8,14.64,1.22,0,0,52.09,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,21.73,40.83,22,8.42,2.47,1.86,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,53.51,18.84,19.07,4.31,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,13,42.81,29.28,4.4,0,1.32,2.26,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,16.43,10.11,4.65,1.27,0,0,53.52,0,7.38,1.21,1.24,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,16.61,65.84,9.52,1.5,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,26.65,26.08,10.42,3.71,0,0,23.47,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,46.36,23.57,21.3,2.96,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,45.17,15.54,20.43,13.55,1.28,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,23.52,35.88,25.09,2.41,0,0,8.15,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,37.75,21.93,15.5,3.75,0,0,11.05,0,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,11.07,4.47,3.34,1.1,0,0,64.79,0,6.56,0,1.03,0,0,0,0,0,0,0,0,0,5.52,0,0
Aruba ,45.54,17.25,22.65,9.95,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,39.26,25.74,16.81,2.64,0,0,5.7,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,45.41,13.83,15.34,17.75,1.6,3.12,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,28.61,19.31,28.52,13.57,3.3,3.25,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0,0
Cuba ,21.31,69.23,5.69,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,39.69,16.61,13.27,3.77,1.27,1.16,12.22,0,7.13,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,35.13,14.92,20.18,21.75,3.22,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,30.07,27.5,26.82,9.43,1.61,0,1.47,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,14.05,53.66,22.53,2.97,0,0,3.49,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,12.74,4.77,3.28,0,0,0,61.55,0,10.85,0,1.7,0,0,0,0,0,0,0,1.06,0,0,0,0
Afghanistan ,40.6,27.19,14.98,3.51,1.05,1.17,6.64,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,30.38,23.53,38.18,5.14,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,36.04,31.25,26.47,2.12,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,58.38,17.14,24.48,10.95,1.98,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,22.37,19.85,50.93,3.84,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,28.63,36.87,20.87,4.74,0,0,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,38.5,19.77,21.09,7.02,1.08,0,7.33,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,31.38,26.24,33.98,4.18,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,18.23,17.21,21.12,2.22,0,0,37.08,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,24.76,39.39,19.87,13.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,37.81,19.56,20.59,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,36.45,20.28,27.16,11.3,1.6,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,28.84,34.48,25.31,6.12,1.13,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,47.99,19.81,25.66,3.58,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,32.37,31.56,20.83,11.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,21.92,46.21,15.71,4.17,0,0,8.36,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,18.63,12.54,24.17,1.7,0,0,36.67,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,30.79,34.91,25.55,4.84,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,33.54,26.03,14.1,18.32,0,1.03,4.31,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,24.72,59.86,8.92,1.42,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,31.85,23.04,32.24,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,32.6,21.5,30.68,9.48,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,34.46,21.38,28.35,11.36,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,37.48,20.07,34.24,3.52,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,34.83,30.15,23.38,1.42,0,0,7.2,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,43.09,27.52,11.22,13.15,0,1.89,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,34.37,22.05,34.1,5.81,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,44.78,18.03,20.93,12.25,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,24.93,41.01,24.13,1.6,0,0,5.58,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,18.79,50.95,9.4,2.98,1.19,1.43,9.18,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
