"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Yandex Browser","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Samsung","Openwave Mobile Browser","Obigo","Unknown","Phantom","Silk","Midori"
United States of America ,35.91,22.14,14.48,12.83,5.95,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,30.67,49.16,9.4,1.32,1.17,4.22,1.63,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,21.55,54.01,16.46,1.85,0,2.45,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,22.06,19.31,42.83,6.4,1.83,3.65,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,28.36,28.7,14.54,13.4,5.34,4.28,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,7.62,21.49,14.21,0,0,4.52,17.87,0,0,14.44,8.74,5.63,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,33.58,24.84,17.25,13.61,4.66,2.57,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,55.88,12.48,2.87,2.07,1.09,2.5,0,0,0,9.99,0,0,0,5.46,2.59,1.99,1.19,0,0,0,0,0,0,0,0,0,0
Thailand ,24.9,43.59,13.94,5.17,3.54,5.83,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,23.81,39.43,20.51,6.46,2.16,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,30.08,41.7,12.38,5.13,1.55,3.97,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,19.21,57.3,16.04,1.33,0,3.1,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,1.93,21.18,45.53,2.02,0,4.02,18.16,0,1.04,1.14,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,46.43,13.02,1.67,2.69,2.78,32.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,25.14,37.84,20.15,8.03,2.69,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,5.78,57.6,23.17,3.8,1.21,2.88,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,25.45,30.22,26.93,9.11,2.76,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,9.93,43.12,36,1.63,0,1.77,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,13.57,42.73,21.24,4.57,1.74,10.16,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,33.67,27.35,14.65,12.59,3.83,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,11.41,32.07,41.54,1.58,0,3.18,8.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,30.9,24.05,15.88,15.99,7.2,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,17.9,63.62,11.5,2.77,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,46.42,18.74,12.68,7.09,5.89,6.02,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,10.09,33.68,46.64,1.59,0,1.83,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,39.99,34.22,9.65,3.94,2.07,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,16.72,60.37,13.27,2.31,1.43,3.85,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,19.05,38.06,34.48,3.13,1.03,2.06,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,10.63,44.23,26.3,3.57,5.07,2.46,3.69,0,0,2.03,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,16.34,38.92,34.28,1.68,0,1.83,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,9.48,39.1,24.36,1.27,1.09,2.94,11.46,0,0,4.42,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,17.02,35.55,21.7,3.67,0,1.88,15.01,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,27.04,31.6,18.7,11.85,5.76,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,23.1,31.88,11.82,6.27,4.62,11.24,1.04,0,2.38,2.12,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,32.22,49.08,13.57,1.36,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,15.15,36.46,37.73,1.38,0,1.57,4.02,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,33.8,29.38,19.1,11.58,1.7,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,20.88,47.39,25.51,1.6,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,23.99,28.14,14.96,12.58,9.34,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,28.9,43.02,18.56,5.09,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,37.72,41.65,9.88,3.01,3.12,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,18.62,36.25,37.63,1.13,0,1.62,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,26.96,35.32,11.1,8.47,2.61,4.23,2.16,0,0,2.18,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,22.19,37.46,15.67,10.21,5.86,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,17.4,28.47,32.76,8.6,3.49,3.94,1.79,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0
Morocco ,11.67,44.49,32.85,1.72,1.2,2.64,3.09,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,7.06,48.29,38.01,1.28,0,1.48,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,12.44,33.12,48.22,0,0,1.13,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,25.57,31.99,15.91,14.98,4.22,3.72,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,28.5,18.42,24.26,18.17,5.44,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,31.37,30.72,13.23,15.65,4.94,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,24.5,22.56,34.02,8.83,2.54,4.87,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,15.96,35.32,38.12,2.31,1.52,3.01,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,23.29,33.49,31.65,2.71,0,1.92,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,33.96,26.72,13.41,9.91,4.1,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,16.74,38.16,35,2.87,0,2.79,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,36.33,20.83,14.6,7.77,1.87,4.01,8.61,0,3.22,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,10.48,34.62,26.27,2.39,0,1.18,22.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,20.26,42.15,21.95,2,1.98,5.71,2.01,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,9.01,60.75,21.22,1.67,1.03,1.49,2.06,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,9.3,56.6,24,2.41,2.12,1.86,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,26.7,32.33,17.43,13.39,3.54,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,28.43,13.36,32.8,1.23,0,2.71,4.6,0,0,12.33,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
