"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","Openwave Mobile Browser","SonyEricsson","iPod Touch","Obigo","Silk","Phantom","Samsung","Dolfin","Jasmine","Midori","Iron"
United States of America ,29.07,22.25,14.09,12.48,10.17,6.52,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,53.74,20.2,1.78,6.59,2.85,9.04,0,2.36,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,58.52,16.08,2.42,12.63,1.25,4.95,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,20.12,3.86,0,9.38,0,8.29,0,0,18.03,21.32,7.93,5.2,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,31.64,18.48,14.28,11.23,7.02,5.09,0,0,3.48,2.62,1.1,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,23.6,15.82,8.2,38.13,3.22,6.25,0,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,15.27,57.16,0,1.07,2.1,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,32.14,23.03,16.35,14.85,7.05,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,45.7,15.31,6.86,10.15,6.44,11.35,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,40.05,17.87,9.18,16.99,4.81,7.67,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,22.71,1.74,2.38,35.52,1.09,8.42,0,0,18.58,2.96,3.66,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,45.61,20.33,7.04,10.36,2.66,7.38,0,0,2.95,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,32.39,37.75,2.4,4.25,1.52,3.17,1.07,0,0,3.93,0,0,0,0,0,6.64,3.15,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,59.95,4,5.41,17.78,2.28,5.18,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,57.77,14.34,1.91,12.92,0,6.97,0,0,2.16,0,1.17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,36.43,18.29,10.46,23.52,3.88,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,41.49,17.19,8.21,17.44,3.46,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,48.82,7.75,1.84,31.18,0,2.91,0,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,46.88,8.38,5.37,15.34,2.46,14.25,0,0,3.63,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,32.15,19.01,18.98,13.33,10.07,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,19.42,38.08,8.08,10.06,12.44,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,32.44,25.26,14.47,11.8,6.07,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,35.77,8.73,1.74,35.53,0,7.29,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,45.96,14.24,3.83,28.28,1.5,3.55,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,36.37,4.45,1.52,16.58,1.37,6.09,0,0,14.75,10.36,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,45.08,11.87,2.14,28.21,1.25,3.97,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,66.09,11.37,4.3,9.07,1.38,3.93,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,49.65,25.16,5.18,14.22,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,37.96,15.03,12.33,11.97,9.59,8.48,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,36.93,20.73,14.51,15.31,7.25,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,37.54,14.07,4.3,16.51,2.2,3.68,0,6.59,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,40.42,9.01,1.78,34.69,1.11,5.17,0,0,3.49,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
