"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Nokia","Opera","iPhone","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","Windows Media Player","Motorola Internet Browser","Mozilla","Minefield"
United States of America ,51.41,26.2,8.58,8.29,1.28,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,52.06,32.19,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,76.28,14.99,4.75,0,0,1.43,1.01,0,0,0,0,0,0,0,0,0,0
Turkey ,72.19,18.55,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,52.75,23.82,10.89,5.93,1.29,0,1.31,1.18,0,0,0,0,0,0,0,0,0
Indonesia ,6.66,71.16,7.55,0,0,1.72,10.22,0,0,0,0,0,0,0,0,0,0
Germany ,26.14,58.56,5.02,3.78,0,0,4.74,0,0,0,0,0,0,0,0,0,0
China ,87.38,3.47,1.84,0,0,0,0,0,4.64,1.29,0,0,0,0,0,0,0
Mexico ,66.26,19.86,8.15,2.72,0,0,1.15,0,0,0,0,0,0,0,0,0,0
Canada ,48.11,30.88,9.32,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,41.35,28.23,14.74,0,0,3.5,9.83,0,0,0,0,0,0,0,0,0,0
Spain ,53.16,30.02,11.04,3.17,0,0,1.17,0,0,0,0,0,0,0,0,0,0
South Korea ,93.16,2.89,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,63.15,20.4,8.85,4.23,0,0,1.35,0,0,0,0,0,0,0,0,0,0
Argentina ,56.79,27.95,12.68,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0
Italy ,52.39,28.78,12.01,4.19,0,0,1.39,0,0,0,0,0,0,0,0,0,0
France ,46.64,35.61,8.87,5.18,0,0,1.32,0,0,0,0,0,0,0,0,0,0
Taiwan ,83.88,9.27,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,19.43,53.78,21.46,1.72,0,0,1.85,0,0,0,0,0,0,0,0,0,0
Australia ,48.66,28.65,9.24,8.27,1.22,0,0,1.43,0,0,0,0,0,0,0,0,0
Malaysia ,39.4,37.64,15.33,1.33,0,2.29,2.01,0,0,0,1.06,0,0,0,0,0,0
Saudi Arabia ,69.46,13.39,9.41,0,1.58,3.28,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,54.43,35.05,6.63,0,0,0,2.62,0,0,0,0,0,0,0,0,0,0
Serbia ,23.05,47.64,18.02,0,0,0,9.51,0,0,0,0,0,0,0,0,0,0
Israel ,70.53,13.21,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,78.55,12.76,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,21.05,55.04,9.2,1,0,0,12.44,0,0,0,0,0,0,0,0,0,0
Egypt ,60.31,26.58,7.86,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0
Chile ,46.8,32.52,16.76,1.51,0,0,1.56,0,0,0,0,0,0,0,0,0,0
Hungary ,25.3,55.85,11.82,0,0,0,5.27,0,0,0,0,0,0,0,0,0,0
Colombia ,59.56,22.58,15.25,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,35.98,44.87,10.49,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0
Japan ,59.68,22.55,6.81,5.91,0,0,1.63,0,0,0,0,0,0,0,0,0,0
Sweden ,47.8,32.87,10.51,5.04,0,0,1.74,0,0,0,0,0,0,0,0,0,0
Singapore ,49.14,27.46,11.17,6.22,0,0,1.04,2.35,0,0,0,0,0,0,0,0,0
Belgium ,55.22,28.66,8.52,5.41,0,0,1.18,0,0,0,0,0,0,0,0,0,0
Portugal ,55.79,27.77,10.65,2.95,0,0,2,0,0,0,0,0,0,0,0,0,0
Greece ,39.59,44.38,10.28,2.16,0,0,2.38,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,69.61,13.48,9.77,2.1,0,2.52,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,56.02,27.57,13.36,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,25.1,32.82,7.81,1.33,0,0,31.64,0,0,0,0,0,0,0,0,0,0
Hong Kong ,66.16,18.83,7.39,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,63.16,25.76,2.58,0,0,1.43,5.25,0,0,0,0,0,0,0,0,0,0
Pakistan ,48.2,28.79,16.35,0,0,1.14,4.35,0,0,0,0,0,0,0,0,0,0
Bulgaria ,37.83,44.93,9.56,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
Ireland ,51.2,26.56,13.25,4.6,0,0,1.34,1.21,0,0,0,0,0,0,0,0,0
Finland ,28.68,52.74,8.03,4.74,0,0,4.05,0,0,0,0,0,0,0,0,0,0
Switzerland ,43.16,36.57,6.05,10.16,0,0,2.16,0,0,0,0,0,0,0,0,0,0
Morocco ,61.32,27.41,7.68,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0
Denmark ,57.83,23.03,9.84,6.7,0,0,1.13,0,0,0,0,0,0,0,0,0,0
Austria ,38.62,45.14,5.99,4.93,0,0,3.76,0,0,0,0,0,0,0,0,0,0
Norway ,44.58,28.77,11.17,6.78,0,0,7,0,0,0,0,0,0,0,0,0,0
Ecuador ,55.42,30.81,9.15,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,74.78,11.38,7.22,2.11,0,2.01,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,34.2,41.77,11.68,1.66,0,0,9.18,0,0,0,0,0,0,0,0,0,0
South Africa ,59.82,19.49,8.58,2.52,0,1.31,6.77,0,0,0,0,0,0,0,0,0,0
New Zealand ,48.2,29.09,12.09,7.61,0,0,1.17,0,0,0,0,0,0,0,0,0,0
Croatia ,31.57,48.65,11.39,1.45,0,0,5.7,0,0,0,0,0,0,0,0,0,0
Ukraine ,19.72,33.35,8.23,1.15,0,0,36.43,0,0,0,0,0,0,0,0,0,0
Slovenia ,35.09,49.58,9.12,1.51,0,0,3.9,0,0,0,0,0,0,0,0,0,0
Guatemala ,56.03,28.1,11.45,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,40.37,42.57,15.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,68.4,14.46,10.39,2.05,0,2.1,1.27,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,24.74,46.75,13.55,1.41,0,0,12.38,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,20.5,53.24,20.16,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0
Tunisia ,23.18,45.18,28.84,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0
Algeria ,52.82,34.6,9.39,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0
Jordan ,61.32,18.68,14.77,0,0,2.27,1.49,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,51.79,26.72,11.67,5.48,0,0,0,0,0,0,0,1.03,0,0,0,0,0
Bahrain ,78.6,10.2,6.56,1.69,0,1.27,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,19.82,53.43,21.59,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0
Costa Rica ,46.2,32.95,10.67,3.04,0,3.12,1.68,0,0,0,1.35,0,0,0,0,0,0
Lithuania ,34.3,42.81,10.69,1.19,0,0,10.22,0,0,0,0,0,0,0,0,0,0
Honduras ,55.74,25.41,10.24,1.53,0,1.85,2.49,0,0,0,1.03,0,0,0,0,0,0
Syrian Arab Republic ,68.95,20.98,3.12,0,0,1.87,3.84,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,47.08,32.24,15.23,2.58,0,0,1.31,0,0,0,0,0,0,0,0,0,0
Panama ,63.81,21.25,9.85,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,65.11,24.95,7.27,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,71.27,14.62,5.94,0,0,3.29,3.93,0,0,0,0,0,0,0,0,0,0
