"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Bolt","Sony PS3","Mozilla","Obigo","Windows Media Player","SeaMonkey","Chromium"
United States of America ,40.91,22.71,15.65,11.16,3.02,2.25,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,41.49,23.93,29.13,0,0,0,0,1.4,1.26,0,0,0,0,0,0,0,0,0,0,0
Thailand ,60.19,13.86,17.33,1.37,0,0,0,1.29,3.08,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,3.45,67.49,14.17,0,0,0,1.97,8.45,1.87,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,42.04,20,20.43,7.85,1.21,2.22,3.04,1.04,0,0,0,0,0,0,0,0,0,0,0,0
China ,83.13,3.12,5.21,0,0,0,0,0,0,3.62,2.08,0,0,0,0,0,0,0,0,0
Turkey ,56.62,16.94,22.89,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,25.22,53.62,10.44,4.38,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,79.23,1.82,3.9,0,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,41.67,24.73,16.16,10.44,0,1.84,1.13,0,1.23,0,0,0,0,0,0,0,0,0,0,0
Mexico ,48.93,16.68,21.92,3.72,0,0,0,3.78,1.62,0,0,0,0,0,0,0,0,0,0,0
India ,22.47,22.3,20.41,0,0,0,0,18.62,9.14,0,0,2.96,0,0,0,0,0,0,0,0
Philippines ,9.91,35.49,48.93,1.92,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,36.18,22.95,37.93,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,41.98,26.93,22.54,4.35,1.04,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,52.86,18.73,16.57,6.85,1.34,1.29,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,43.62,22.43,15.95,11.56,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,39.76,26.27,25.11,5.47,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0
France ,35.54,34.44,18.59,6.97,0,1.51,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,25.7,30.15,32.63,2.08,1.65,0,0,1.65,2.89,0,0,1.46,0,0,0,0,0,0,0,0
Peru ,66.22,13.52,17.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,15.35,41.65,32.13,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,16.86,51.23,19.01,1.1,0,0,0,10.31,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,30.08,20.97,44.34,1.6,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,49.17,12.15,18.98,1.85,1.28,1.17,7.55,1.84,5,0,0,0,0,0,0,0,0,0,0,0
Colombia ,41.51,16.38,38.05,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,18.22,48.9,26.49,1.08,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,55.54,11.49,28.23,1.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,52.58,20.28,14.16,6.14,1.53,1.54,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,34.9,38.62,20.43,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0
