"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Maxthon","QQ Browser","iPod Touch","Obigo","Silk","Windows Media Player","Chromium","Iron","Unknown","RockMelt","Mozilla"
United States of America ,36.78,21.52,17.85,11.68,4.37,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,32.73,47.75,11.13,1.31,2.18,1.54,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,23.58,49.93,20.15,1.58,1.18,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,9.1,21.42,17.2,0,2.76,0,18.19,10.83,8.98,5.64,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,32.24,26.24,16.69,11.34,3.06,4.39,1.16,0,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,22.81,16.09,46.09,5.93,2.22,1.51,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,33.47,24.84,21.12,11.25,1.58,3.08,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,2.32,20.63,52.44,1.76,2.19,0,14.63,0,3.02,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,33.99,37.83,15.15,3.92,3.65,2.15,1.28,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,23.5,53.05,18.4,1.31,1.49,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,36.3,38.25,14,4.3,1.85,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,28.06,35.7,22.49,5.94,3.76,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,7.26,55.61,26.01,3.55,1.56,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,28.3,36.27,22.41,7.06,1.8,1.68,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,49.77,7.9,3.87,2.24,1.11,0,0,2.3,0,0,0,0,25.32,2.65,1.4,0,0,0,0,0,0,0,0,0
Australia ,37.09,21.05,17.38,13.91,2.39,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,16.42,40.52,25.31,4.21,5.68,1.34,3.28,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,40.69,23.22,16.17,10.71,4.15,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,12.06,39.13,37.03,1.45,1.11,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,27.56,27.05,29.81,8.6,2.13,2.42,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,12.53,38.16,25.27,4.53,0,12.83,2.87,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,21.36,60.16,13.49,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,18.54,59.38,15.29,2.04,1.86,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
