"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","IEMobile","iPod Touch","Sony PS3","Silk","Obigo","Phantom","Iron","Openwave Mobile Browser","Iceweasel"
United States of America ,30.61,25.87,14.69,12.54,7.03,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,53.76,24.56,8.03,1.83,1.46,4.95,2.64,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,61.01,16.2,13.5,2.08,0,3.16,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,22.4,5.45,11.93,0,0,6.86,0,17.41,17.54,8.65,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,34.06,23.07,13.7,13.26,6.08,4.37,0,1.1,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,22.48,17.2,41.68,6.98,2.21,4.49,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,58.2,17.06,14.4,1.72,0,4.51,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,31.24,25.26,16.52,13.96,5.74,2.95,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,43.58,19.61,12.27,6.52,5.73,8.62,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,44.34,23.64,10.97,6.31,2.07,6.46,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,21.33,1.64,37.35,2.18,0,6.81,0,21.13,1.67,4.47,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,29.64,44.03,4.2,2.05,0,2.17,0,0,2.16,0,0,0,7.32,2.44,1.8,1.03,0,0,0,0,0,0,0,0,0,0
Philippines ,58.95,5.19,19.73,4.51,1.74,4.16,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,15.85,51.2,2.07,1.43,2.49,25.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
