"Continent","IE","Firefox","Safari","Chrome","BlackBerry","Nokia","Opera","iPhone","Maxthon","UC Browser","Bolt","NetFront","Motorola Internet Browser","Mozilla","Windows Media Player"
United States of America ,50.93,27.21,8.44,8.33,1.1,0,0,0,0,0,0,0,0,0,0
Brazil ,52.83,32.84,0,12.67,0,0,0,0,0,0,0,0,0,0,0
Thailand ,77.15,15.2,0,4.17,0,1.04,0,0,0,0,0,0,0,0,0
Turkey ,73.64,17.72,0,6.82,0,0,1.05,0,0,0,0,0,0,0,0
United Kingdom ,53.15,24.31,5.98,10.58,1,0,1.26,1.05,0,0,0,0,0,0,0
Indonesia ,7.07,71.83,0,6.73,0,1.28,10.34,0,0,0,0,0,0,0,0
China ,87.62,3.4,0,1.52,0,0,0,0,4.94,1.19,0,0,0,0,0
Germany ,26.58,58.4,3.75,4.62,0,0,4.86,0,0,0,0,0,0,0,0
Canada ,49.24,30.63,8.26,8.69,0,0,0,0,0,0,0,0,0,0,0
Mexico ,67.46,20,2.73,7.17,0,0,1.02,0,0,0,0,0,0,0,0
Spain ,53.39,30.73,3.12,10.33,0,0,1.13,0,0,0,0,0,0,0,0
India ,42.55,27.7,0,13.86,0,3.59,9.91,0,0,0,0,0,0,0,0
South Korea ,93.49,3.04,0,1.86,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,63.55,20.61,4.22,8.54,0,0,1.23,0,0,0,0,0,0,0,0
France ,46.93,36.26,5.16,8.22,0,0,1.23,0,0,0,0,0,0,0,0
Argentina ,57.61,28.26,0,11.56,0,0,1.16,0,0,0,0,0,0,0,0
Italy ,52.85,29.1,4.22,11.33,0,0,1.31,0,0,0,0,0,0,0,0
Philippines ,20.14,55.03,1.69,19.9,0,0,1.65,0,0,0,0,0,0,0,0
Australia ,49.06,29.22,8.1,8.86,0,0,0,1.33,0,0,0,0,0,0,0
Taiwan ,83.26,10,0,4.3,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,40.67,38.57,1.23,14.6,0,1.65,1.7,0,0,0,0,0,0,0,0
Saudi Arabia ,70.84,13.38,0,8.8,1.19,2.88,0,0,0,0,0,0,0,0,0
Serbia ,23.11,48.7,0,17.25,0,0,9.2,0,0,0,0,0,0,0,0
Vietnam ,54.91,35.19,0,6.26,0,0,2.42,0,0,0,0,0,0,0,0
Israel ,71.52,13.61,0,11.99,0,0,0,0,0,0,0,0,0,0,0
Peru ,78.82,12.93,0,6.78,0,0,0,0,0,0,0,0,0,0,0
Egypt ,61.42,25.85,0,7.65,0,0,3.24,0,0,0,0,0,0,0,0
Poland ,21.87,54.53,1.07,8.81,0,0,12.32,0,0,0,0,0,0,0,0
Chile ,48.64,32.82,1.49,14.58,0,0,1.61,0,0,0,0,0,0,0,0
Colombia ,60.56,23.09,1.33,13.87,0,0,0,0,0,0,0,0,0,0,0
Hungary ,25.88,56.45,1.01,10.56,0,0,5.31,0,0,0,0,0,0,0,0
Sweden ,48.21,33.7,5.04,9.69,0,0,1.66,0,0,0,0,0,0,0,0
Romania ,38.24,43.85,0,9.48,0,0,7.08,0,0,0,0,0,0,0,0
Singapore ,50.06,28.03,5.94,10.72,0,0,1.05,2.23,0,0,0,0,0,0,0
Japan ,60,22.78,5.94,6.52,0,0,1.7,0,0,0,0,0,0,0,0
Belgium ,55.12,28.43,5.7,8.53,0,0,1.24,0,0,0,0,0,0,0,0
Portugal ,55.78,28.29,2.85,10.17,0,0,2,0,0,0,0,0,0,0,0
United Arab Emirates ,70.37,13.58,2.2,9.25,0,2.23,0,0,0,0,0,0,0,0,0
Greece ,40,45.12,2.08,9.62,0,0,2.17,0,0,0,0,0,0,0,0
Russian Federation ,26.46,32.84,1.39,7.27,0,0,30.7,0,0,0,0,0,0,0,0
Venezuela ,57.42,27.63,1.21,12.05,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,66.9,18.77,4.34,6.94,0,0,0,0,0,0,0,0,0,0,0
Iran ,63.9,26.63,0,2.56,0,0,4.53,0,0,0,0,0,0,0,0
Finland ,29.43,53.08,4.71,7.33,0,0,3.84,0,0,0,0,0,0,0,0
