"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","Unknown","iPod Touch","Bolt","Sony PS3","Obigo","SonyEricsson","Windows Media Player","IEMobile"
United States of America ,42.73,22.67,14.74,10.64,2.82,2.06,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,43.27,24.39,27.23,0,0,0,0,1.31,1.17,0,0,0,0,0,0,0,0,0,0,0
Thailand ,63.45,14.08,14.61,1.27,0,0,0,1.22,2.88,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,3.48,65.64,13.06,0,0,0,5.49,8.27,1.67,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,43.04,20.09,19.6,8.03,1.12,2.12,2.86,1.07,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,23.74,54.95,10.97,4.41,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0
China ,83.96,3.1,4.81,0,0,0,0,0,0,3.6,1.69,0,0,0,0,0,0,0,0,0
Turkey ,58.76,17.34,20.98,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,80.79,1.92,3.66,0,11.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,40.84,24.77,15.79,10.17,0,1.95,1.22,0,2.21,0,0,0,0,0,0,0,0,0,0,0
Mexico ,52.15,17.01,19.87,3.85,0,0,0,2.63,1.51,0,0,0,0,0,0,0,0,0,0,0
India ,24.08,22.4,19.53,0,0,0,0,19.64,8.05,0,0,1.78,1.11,0,0,0,0,0,0,0
Spain ,42.85,27.69,21.46,4.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,53.89,18.68,16.02,6.72,1.15,1.2,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,10.72,36.23,47.2,1.87,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,38.5,23.67,34.98,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,41.07,26.34,23.87,5.48,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0
France ,35.59,34.71,18.34,7.1,0,1.41,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,42.56,23.38,15.7,11.85,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,27.16,30.99,31.15,1.88,1.2,0,0,1.65,2.82,0,0,1.43,0,0,0,0,0,0,0,0
Peru ,68.92,13,15.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,15.73,41.96,31.22,0,0,0,0,8.76,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,52.72,12.11,18.18,1.83,0,1.02,5.94,1.39,4.93,0,0,0,0,0,0,0,0,0,0,0
Poland ,17.07,51.29,18.47,1.12,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,69.7,12.79,12.67,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,53.54,20.27,13.36,6.32,1.26,1.59,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,32.38,22.48,40.31,1.72,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,19.38,48.92,25.23,1.2,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,37.83,38,18.39,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,41.25,35.6,16.21,0,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,56.89,12.08,26.5,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,39.78,17.95,37.82,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,28.39,40.01,22.43,0,0,0,0,7.23,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,41.43,26.6,19.63,6.85,1.14,2.22,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,46.95,24.97,17.22,8.01,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,28.24,41.76,23.92,2.47,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,47.67,24.12,21.89,3.83,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,20.65,31.2,17.21,1.83,0,0,0,27.77,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,55.95,13.27,18.68,3.96,0,0,1.19,0,3.85,0,0,0,0,0,0,0,0,0,0,0
Singapore ,37.49,22.49,20.9,9.09,1.66,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,38.17,31.93,11,13.82,0,2.06,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,38.5,27.94,29.89,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,55.7,17.79,13.41,6.85,1.21,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,30.55,42.52,20.14,0,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,48.46,18.94,18.62,10.3,0,1.29,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,32.89,42.93,12.54,6.23,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,26.53,45.51,15.3,5.94,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,29.86,29.73,29.6,0,0,0,0,7.88,1.43,0,0,0,0,0,0,0,0,0,0,0
Ireland ,39.14,22.68,25.74,5.89,1.12,2.36,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,38.08,22.99,20.68,9.92,0,1.24,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,38.59,33.33,20.06,2.1,0,0,0,0,2.81,0,0,0,0,0,0,0,0,0,0,0
Iran ,57.96,26.92,4.93,0,0,0,0,6.66,1.24,0,0,0,0,0,0,0,0,0,0,0
South Africa ,54.2,18.64,12.67,3.53,0,0,0,7.62,1.13,0,0,0,0,0,0,0,0,0,0,0
Croatia ,24.67,45.88,21.67,1.64,0,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,15.13,32.5,16.19,1.16,0,0,0,34.07,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,40.58,24.51,20.94,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,28.41,39.43,20.81,1.88,0,0,0,7.87,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,37.78,33.74,22.41,1.07,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,43.79,25.25,21.6,2.66,0,0,2.55,1.16,1.13,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,55.39,11.02,12.88,4.39,1.25,6.69,2.63,1.19,2.48,0,0,0,0,1.67,0,0,0,0,0,0
Bosnia and Herzegovina ,13.61,44.33,36.37,0,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,30.61,37.47,27.96,0,0,0,0,1.46,1.52,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,30.63,47.34,16.27,2.11,0,0,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,35.36,41.41,19.55,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,54.34,27.41,14.56,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,13.91,30.24,51.32,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,43.13,17.84,30.56,0,0,0,0,2.98,3.1,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,19.42,42.67,24.09,1.77,0,0,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,53.21,13.31,22.04,3.46,0,0,0,1.51,3.64,0,0,0,0,0,0,0,0,0,0,0
Iraq ,55.77,20.99,14.86,0,0,0,0,3.48,3.51,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,16.13,48.25,11.33,0,0,0,0,16.93,4.19,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,10.73,41.89,42.67,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,22.93,27.11,7.29,1.7,0,0,0,36.53,1.71,0,0,0,0,0,1.22,0,0,0,0,0
Lithuania ,27.91,40.17,20.3,1.45,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,66.12,11.18,12.89,3.24,0,1.83,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0
Belarus ,14.74,23.64,11.51,0,0,0,0,48.11,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,39.87,22.22,22.45,7.5,2.78,0,0,0,0,0,0,0,0,1.33,0,1.01,0,0,0,0
Sri Lanka ,26.1,35.06,28.21,0,0,0,0,6.51,1.7,0,0,0,0,0,0,0,0,0,0,0
Albania ,13.71,26.13,55.62,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,38.01,21.31,22.21,1.86,0,0,1.91,2.55,4.85,0,0,2.73,0,0,0,0,0,0,0,0
Dominican Republic ,27.25,26.34,37.01,3.28,0,0,2.73,1.8,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,34.06,26.86,21.32,3.77,0,0,0,2.96,6.26,0,0,1.86,0,0,0,0,0,0,0,0
Uruguay ,29.55,30.28,37.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,48.18,35.09,7.18,0,0,0,0,3.18,3.92,0,0,0,0,0,0,0,0,0,0,0
Oman ,54.35,13.72,15.83,1.22,0,0,1.11,2.18,9.4,0,0,0,0,0,0,0,0,0,0,0
Panama ,50.71,18.78,22.9,3.86,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,23.05,42.07,25.72,1.94,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,26.49,42.9,21.25,3.46,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,51.75,19.82,18.78,3.61,0,0,0,1.56,2.17,0,0,0,0,0,0,0,0,0,0,0
Georgia ,12.96,17.14,27.96,0,0,0,0,40.63,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,48.54,27.88,19.84,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,16.07,65.44,13.63,1.07,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,32.7,33.85,25.58,1.86,0,0,1.31,2.14,1.29,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,41.46,28.16,24.35,3.2,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,17.72,34.31,37.15,1.04,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,29.47,41.86,23,1.25,0,0,0,1.24,1.23,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,31.27,25.41,36.3,3.58,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,22.32,40.66,10.86,2.27,1.07,0,0,19.6,1.77,0,0,0,0,0,0,0,0,0,0,0
Moldova ,13.81,34.77,39.03,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,41.7,53.06,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,11.46,31.24,47.31,1.14,0,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0
