"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","360","Maxthon","QQ Browser","SeaMonkey","Comodo Dragon","Flock","Pale Moon","iPod Touch","Sony PS3","Obigo","Iron","Kindle"
United States of America ,37,21.23,18.73,11.69,4.03,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,37.24,45.29,11.52,0,1.47,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,25.16,47.28,21.45,1.57,1.04,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,9.15,22.04,17.6,0,2.44,0,18.69,10.54,8.82,5.43,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,32.49,25.96,17.23,11.34,2.76,4.17,1.17,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,23.03,15.34,46.39,5.84,2.22,1.56,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,33.95,24.23,22.29,10.97,1.44,2.84,0,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,2.36,20.48,53.39,1.66,1.79,0,14.66,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,34.96,36.76,15.58,3.84,3.35,2.19,1.24,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,25.03,50.9,19.22,1.29,1.34,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,36.19,37.36,14.97,4.36,1.65,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,29.3,34.99,21.75,7,2.36,2.02,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,28.91,34.86,23.76,5.77,3.14,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,7.59,54.91,26.6,3.49,1.4,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,42.13,23.03,15.7,10.66,3.6,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,36.4,21.77,18.3,13.68,2.14,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,27.79,26.43,30.9,8.38,1.92,2.2,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,16.32,40.76,26.21,4,4.93,1.28,3.06,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,48.52,9.23,4.54,2.24,1.19,0,0,2.36,0,0,0,0,21.66,3.44,2.99,1.25,0,0,0,0,0,0,0,0,0
Serbia ,11.84,38.93,37.34,1.49,1.04,0,8.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,22.64,59.05,13.74,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,61.36,11.92,3.3,2.49,17.55,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,48.59,16.71,17.77,6.52,3.57,3.13,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,12.94,37.08,25.86,4.35,0,12.92,3.13,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,17.37,28.72,45.53,0,0,0,4.83,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,19.19,57.93,16.27,2.13,1.61,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,13.73,26.02,46.17,1.56,1.08,0,10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,55.61,23.12,10.5,3.44,4.06,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,12.07,36.89,42.63,1.45,1.01,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,19.67,33.86,35.52,1.44,0,0,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,12.15,39.91,28.59,0,0,0,10.18,2.19,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,21.49,33.49,36.64,3.66,1.15,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,20.77,30,22.69,2.82,0,0,21.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,31.43,27.51,22.54,9.76,2.39,4.35,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,29.93,29.3,15.55,3.78,4.99,2.63,3.35,1.39,5.12,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,42.04,38.78,15.42,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,38.19,25.2,21.71,10.13,1.19,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
