"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","IEMobile","iPod Touch","Obigo","Phantom","Silk","Iron","Samsung","Openwave Mobile Browser","Sony PS3","Pale Moon"
United States of America ,30.14,28.15,14.67,11.98,6.5,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,53.73,25.57,7.85,1.56,1.29,4.96,2.52,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,59.19,17.94,13.81,2.07,0,3.1,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,34.82,23.28,13.62,13.39,5.82,4.14,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,22.73,5.73,12.17,0,0,6.28,0,18.23,0,16.41,8.54,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,22.74,17.08,42.41,7,2.16,4.26,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,25.74,47.87,4.09,2.05,0,2.16,0,0,0,3.08,0,0,7.21,2.46,1.6,1.06,0,0,0,0,0,0,0,0,0,0
Canada ,30.47,25.1,16.62,14.37,5.63,2.93,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,57.25,17.59,14.81,1.77,0,4.53,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,21.37,1.61,39.32,2.12,0,6.54,0,19.92,1.43,1.41,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,42.71,20.7,12.43,6.51,5.64,8.48,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,43.64,25.11,11.34,6.41,2.05,5.62,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,40.67,20.84,19.75,7.24,2.6,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,58.55,4.97,19.56,4.66,1.79,4.23,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,40.81,21.81,18.16,9.05,3.08,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,34.4,20.78,25.94,9.62,3.24,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,44.03,11.08,17.98,5.08,2.07,13.17,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,45.94,9.15,33.75,1.84,0,2.2,0,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,17.72,47.2,2.76,2.09,2.74,26.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,30.79,22.86,14.78,17.75,8.13,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,21.42,45.8,11.96,8.17,5.39,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,33.26,10.21,40.31,1.74,0,4.75,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,30.07,29.21,13.31,13.75,4.95,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,38.26,31.71,9.1,4.05,2.93,12.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,65.8,14.55,10.06,3.42,1.01,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,60.57,14.75,11.58,2.89,2.19,5.74,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
