"Continent","IE","Firefox","Safari","Chrome","Opera","Maxthon","Nokia","iPhone","NetFront","Mozilla","Flock","Windows Media Player"
United States of America ,52.17,28.12,8.68,6.78,0,0,0,0,0,0,0,0
Brazil ,54.28,33.19,0,10.72,0,0,0,0,0,0,0,0
Thailand ,77.23,16.1,0,3.47,0,0,0,0,0,0,0,0
Turkey ,78.54,14.78,0,5.07,0,0,0,0,0,0,0,0
United Kingdom ,55.83,24.73,5.77,8.33,1.12,0,0,0,0,0,0,0
Germany ,26.8,59.97,3.5,3.66,4.37,0,0,0,0,0,0,0
China ,86.25,3.55,0,0,0,6.62,0,0,0,0,0,0
Indonesia ,8.6,70.73,1.26,5.3,11.72,0,1.23,0,0,0,0,0
Canada ,51.51,30.72,8.08,6.99,0,0,0,0,0,0,0,0
Spain ,56.11,30.48,2.85,8.14,1.1,0,0,0,0,0,0,0
Mexico ,68.48,20.41,2.73,5.78,1.1,0,0,0,0,0,0,0
India ,47.34,29.38,0,12.52,7.15,0,1.87,0,0,0,0,0
Netherlands ,66.06,20.24,4.01,6.81,1.14,0,0,0,0,0,0,0
France ,48.78,36.14,5.15,6.66,1.2,0,0,0,0,0,0,0
Argentina ,58.56,29.45,0,9.18,1.41,0,0,0,0,0,0,0
Italy ,53.88,30.26,4.36,8.83,1.39,0,0,0,0,0,0,0
Philippines ,23.12,59.3,1.75,12.78,1.5,0,0,0,0,0,0,0
South Korea ,93.43,3.4,0,1.6,0,0,0,0,0,0,0,0
Taiwan ,85.33,9.31,0,2.94,0,0,0,0,0,0,0,0
Australia ,51.38,30.47,7.5,7.05,0,0,0,1.1,0,0,0,0
Malaysia ,44.77,38.8,1.33,10.54,1.5,0,1.69,0,0,0,0,0
Saudi Arabia ,73.14,14.17,0,7.07,1.04,0,2.57,0,0,0,0,0
Israel ,75.12,12.99,0,9.09,0,0,0,0,0,0,0,0
Vietnam ,58.53,33.56,0,4.55,2.26,0,0,0,0,0,0,0
Poland ,24.22,54.11,0,6.66,12.54,0,0,0,0,0,0,0
Hungary ,28.92,56.21,0,7.9,5.16,0,0,0,0,0,0,0
Serbia ,27.88,46.91,0,14.09,9.13,0,0,0,0,0,0,0
Sweden ,51.59,33,5.1,7.5,1.53,0,0,0,0,0,0,0
Egypt ,62.74,26.07,0,5.76,3.33,0,0,0,0,0,0,0
Venezuela ,61.35,27.06,1.26,8.77,0,0,0,0,0,0,0,0
Romania ,41.23,43.16,0,7.36,6.91,0,0,0,0,0,0,0
Colombia ,62.05,24.78,1.27,10.76,0,0,0,0,0,0,0,0
Singapore ,52.82,28.45,5.84,8.44,0,0,0,1.69,0,0,0,0
Peru ,79.1,13.75,0,5.56,0,0,0,0,0,0,0,0
Chile ,47.78,36.54,1.51,11.67,1.75,0,0,0,0,0,0,0
Belgium ,58.65,27.18,5.32,6.9,1.08,0,0,0,0,0,0,0
Japan ,62.18,22.05,6.06,5.2,1.74,0,0,0,0,0,0,0
Portugal ,59.64,27.76,2.75,7.78,1.39,0,0,0,0,0,0,0
United Arab Emirates ,73.46,13.21,2.05,7.04,0,0,2.22,0,0,0,0,0
Russian Federation ,27.38,31.47,1.34,5.7,32.66,0,0,0,0,0,0,0
Greece ,42.85,45,2.04,7.12,2.06,0,0,0,0,0,0,0
Finland ,31.38,52.95,4.67,5.41,4.09,0,0,0,0,0,0,0
Denmark ,62.02,22.56,6.29,7.06,1.04,0,0,0,0,0,0,0
Hong Kong ,68.26,19.36,4.37,5.33,0,0,0,0,0,0,0,0
Ireland ,53.63,27.98,4.79,9.69,1.47,0,0,0,0,0,0,0
Switzerland ,44.1,37.41,10.19,4.78,1.82,0,0,0,0,0,0,0
Norway ,48.68,29.41,6.24,8.16,6.32,0,0,0,0,0,0,0
Bulgaria ,39.95,45.69,0,6.58,6.55,0,0,0,0,0,0,0
Austria ,40.21,46.06,4.83,4.35,3.32,0,0,0,0,0,0,0
Pakistan ,52.01,28.89,0,12.93,4.39,0,0,0,0,0,0,0
Morocco ,64.67,25.99,0,5.7,2.04,0,0,0,0,0,0,0
Iran ,62.81,27.81,0,2.54,4.63,0,0,0,0,0,0,0
Kuwait ,77.02,11.69,1.83,5.24,0,0,2.1,0,0,0,0,0
Ecuador ,57.94,30.79,2.03,6.69,0,0,0,0,0,0,0,0
South Africa ,63.02,19.34,2.28,6.71,6.15,0,1.16,0,0,0,0,0
Croatia ,34.17,50.86,1.4,7.71,4.95,0,0,0,0,0,0,0
Czech Republic ,34.09,44.84,1.83,8.11,9.69,0,0,0,0,0,0,0
