"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Bolt","Windows Media Player","Mozilla"
United States of America ,44.66,24.36,13.14,10.44,1.98,1.69,1.28,0,0,0,0,0,0,0,0,0,0
Brazil ,45.18,26.56,24.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,22.02,58.07,10.26,4.43,0,0,0,3.61,0,0,0,0,0,0,0,0,0
Thailand ,67.51,14.66,11.62,1.12,0,0,0,1.07,2.45,0,0,0,0,0,0,0,0
Indonesia ,4.04,68.09,11.61,0,0,0,4.55,8.02,1.67,0,0,0,0,0,0,0,0
United Kingdom ,45.95,21.21,17.22,7.55,0,1.86,2.22,1.11,0,0,0,0,0,0,0,0,0
Turkey ,64.22,16.94,16.59,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0
China ,85.4,3.37,3.96,0,0,0,0,0,0,3.86,1.45,0,0,0,0,0,0
Canada ,43.87,26.9,14.22,10.1,0,1.7,0,0,0,0,0,0,0,0,0,0,0
Mexico ,57.57,17.38,16.4,3.68,0,0,0,1.83,1.06,0,0,0,0,0,0,0,0
South Korea ,86.43,2.48,3.66,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,46.8,27.92,18.37,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,29.43,25.83,20.01,0,0,0,0,14.52,6.07,0,0,1.67,0,0,0,0,0
Netherlands ,56.68,19.62,14.02,5.82,0,1.02,0,1.05,0,0,0,0,0,0,0,0,0
Italy ,44.07,26.95,21.3,4.93,0,0,0,1.21,0,0,0,0,0,0,0,0,0
France ,37.1,35.95,16.36,6.61,0,1.32,0,1.1,0,0,0,0,0,0,0,0,0
Philippines ,12.98,40.19,41.76,1.77,0,0,0,1.49,0,0,0,0,0,0,0,0,0
Argentina ,46.54,25.25,25.23,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0
Australia ,43.95,25.59,13.69,11.14,0,2.74,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,29.99,32.53,28.06,1.58,0,0,0,1.67,2.73,0,0,1.57,0,0,0,0,0
Serbia ,17.56,42.63,29.03,0,0,0,0,8.93,0,0,0,0,0,0,0,0,0
Saudi Arabia ,58.64,12.73,16.5,1.46,0,0,3.55,1.38,4.17,0,0,0,0,0,0,0,0
Peru ,72.87,12.28,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,19.18,51.51,15.46,1.17,0,0,0,11.45,0,0,0,0,0,0,0,0,0
Taiwan ,73.96,11.82,10.07,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,46.54,33.83,13.17,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0
Romania ,30.39,41.39,19.23,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0
Sweden ,43.56,27.82,17.49,6.49,0,1.81,0,1.47,0,0,0,0,0,0,0,0,0
Vietnam ,40.87,39.32,14.73,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0
Hungary ,20.88,51.52,21.15,1.19,0,0,0,4.36,0,0,0,0,0,0,0,0,0
Japan ,56.29,19.92,11.51,6.14,0,1.65,0,1.52,0,0,0,0,0,0,0,0,0
Colombia ,47.83,18.28,30.14,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,59.92,12.91,23.19,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,20.78,32.13,14.32,1.58,0,0,0,30.25,0,0,0,0,0,0,0,0,0
Greece ,30.89,42.93,20.73,2.19,0,0,0,2.02,0,0,0,0,0,0,0,0,0
Belgium ,49.9,25.68,14.97,7.15,0,0,0,1.08,0,0,0,0,0,0,0,0,0
Portugal ,50.93,24.98,18.18,3.51,0,0,0,1.41,0,0,0,0,0,0,0,0,0
Chile ,37.16,25.42,32.61,1.87,0,0,0,1.39,0,0,0,0,0,0,0,0,0
Austria ,31.86,45.58,11.72,6.41,0,0,0,2.59,0,0,0,0,0,0,0,0,0
United Arab Emirates ,60.54,12.97,16.43,3.37,0,0,0,1.24,2.94,0,0,0,0,0,0,0,0
Switzerland ,37.19,36.07,10.01,12.73,0,1.51,0,1.45,0,0,0,0,0,0,0,0,0
Singapore ,40.24,24.27,18.52,8.2,1.05,4.76,0,1.16,0,0,0,0,0,0,0,0,0
Hong Kong ,58.86,18.74,11.75,5.79,0,1.82,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,31.84,43.65,17.8,0,0,0,0,5.22,0,0,0,0,0,0,0,0,0
Venezuela ,42.45,29.19,25.07,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,51.65,19.56,16.53,9.21,0,1.02,0,1.04,0,0,0,0,0,0,0,0,0
Finland ,26.77,47.63,13.55,5.76,0,0,0,3.7,0,0,0,0,0,0,0,0,0
Pakistan ,35.12,30.6,25.79,0,0,0,0,6.21,1.06,0,0,0,0,0,0,0,0
Norway ,40.2,24.66,18.27,9.26,0,1.1,0,5.38,0,0,0,0,0,0,0,0,0
Ireland ,42.66,23.93,21.82,5.94,0,1.98,0,1.26,0,0,0,0,0,0,0,0,0
Ukraine ,15.57,32.98,13.6,0,0,0,0,36.17,0,0,0,0,0,0,0,0,0
Ecuador ,44.69,31.55,17.3,2.04,0,0,0,0,1.98,0,0,0,0,0,0,0,0
South Africa ,56.77,18.96,11.67,3.13,0,0,0,6.58,1.08,0,0,0,0,0,0,0,0
Croatia ,26.54,46.88,19.07,1.46,0,0,0,4.62,0,0,0,0,0,0,0,0,0
Morocco ,44.27,32.47,18.11,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0
