"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","Nokia","UC Browser","NetFront","Dolfin","BlackBerry","Maxthon","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Samsung","Obigo","Iron","RockMelt"
United States of America ,38.15,19.98,19.64,12.15,3.77,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,41.57,41.47,12.12,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,29.34,43.6,20.81,1.33,0,0,1.77,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,11.39,25.83,21.17,0,1.54,0,17.36,7.83,6.94,3.55,1.2,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,35.08,25.27,17.85,10.42,2.22,3.63,1.14,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0
Germany ,23.91,14.71,48.31,5.43,1.4,1.35,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,36.97,20.85,21.61,12.31,1.22,2.58,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0
Thailand ,40.74,32.64,14.68,3.18,2.81,1.92,1.34,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,2.95,19.59,53.33,1.59,1.61,0,14.66,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,38.84,36.05,15.25,3.88,1.25,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,74,11.05,4.46,1.85,0,0,0,0,2.15,0,0,0,2.69,1.09,0,0,0,0,0,0,0,0
Spain ,33.09,31.82,24.07,5.42,2.42,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,28.23,47.56,19.97,1.12,1.01,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,31.54,34.58,23.03,5.95,1.16,1.5,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,7.97,55.67,27.12,2.99,1.04,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,46.01,21.47,16.27,9.26,2.71,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,18.01,40.73,27.32,3.64,3.79,1.27,2.34,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,30.19,24.49,31.61,8.15,1.47,1.97,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,13.56,38.24,37.08,1.31,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,34.93,20.97,20.74,14.24,1.88,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,61.09,9.79,3.32,2.06,20.9,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,52.83,15.92,16.64,6.07,3.01,2.47,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,27,54.72,14.19,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,15.37,25.33,45.77,1.36,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,57.79,22.78,11.34,3.05,2.72,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,21.89,54.95,17.19,1.93,1.25,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,19.34,37.32,31.34,1.59,0,2.79,4.42,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,24.36,32.08,37.06,2.85,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,22.87,31.29,35.83,1.22,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,22.73,26.29,42.69,0,0,0,4.71,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,15.47,35.1,41.99,1.33,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,14.41,38.73,27.74,0,0,0,11.66,3.11,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,19.47,28.67,23.85,2.37,0,0,23.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,34.88,25.72,22.68,9.32,2,3.63,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,45.41,36.12,11.25,2.06,1.67,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,34.64,28.62,14.24,3.15,2.97,2.28,2.69,5.4,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0
Belgium ,41.87,23.05,22.12,9.13,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,47.43,34.24,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,29.46,23.32,19.73,11.93,3.7,9.2,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,39.31,32.62,20.83,4.27,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,3.42,15.34,57.3,0,0,0,9.94,2.72,1.1,0,0,0,0,0,3.37,2.64,1.26,0,0,0,0,0
Venezuela ,26.96,42.38,26.48,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,24.22,29.42,39.44,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,35.99,14.53,27.67,14.49,1.49,3.51,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,22.52,22.03,39.32,7.28,1.93,2.02,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,38.4,30.65,14.27,5.5,1.11,1.66,1.01,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,44.22,21.27,16.23,8.54,4.25,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,41.07,24.25,16.62,12.38,1.4,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,34.16,25.52,19.28,11.58,1.62,2.07,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,12.45,25.12,27.14,1.51,0,0,32.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,30.7,17.49,37.01,7.09,2.35,1.83,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,45.95,16.94,17.5,5.46,1.63,0,9,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,21.21,28.75,41.64,1.91,1.01,1.03,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,31.48,31.32,19.29,7.9,2.84,4.07,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,13.11,6.1,18.45,2.49,0,0,51.6,4.63,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,26.34,27.62,33.96,2.32,0,0,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,9.78,43.71,40.57,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,34.02,26.79,21.72,11.46,1.42,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,21.85,39.34,32.28,1.02,1.17,0,1.84,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,38.59,11.06,34.14,0,1.17,0,4.75,2.49,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,25.28,34.88,32.89,2.38,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,10.92,58.02,25.1,1.08,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,7.61,52.59,34.58,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,22.58,35.4,33.73,1.38,0,0,3.31,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,17.2,55.1,19.95,3.1,0,0,1.49,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0
Algeria ,22.37,31.7,41.12,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,26.52,23.58,43.06,2.81,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,17.69,35.1,33.54,0,0,0,7.09,2.47,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,6.28,42.27,12.42,0,0,0,37.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,33.22,32.41,21.7,3.54,1.35,1.59,2.65,1.02,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0
Lithuania ,25.55,26.48,37.44,1.74,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,22.49,47.9,19.13,1.56,0,0,3.87,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,16.13,33.05,36.71,2.19,1.08,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,12.4,59.03,22.88,1,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,33.86,31.08,24.67,1.07,1.13,0,3.02,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,11.51,20.47,19.82,0,0,0,45.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,20.66,49.31,26.44,1.39,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,37.98,33.42,14.18,4.47,1.04,1.13,2.54,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,35.32,21.58,12.89,5.73,2.69,8.97,3.88,2.64,0,0,0,4.66,0,0,0,0,0,1.01,0,0,0,0
Bolivia ,39,23.89,31.53,1.92,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,33.4,28.13,18.5,8.62,5.68,1.88,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0
Costa Rica ,25.21,31.31,22.5,4.26,2.5,1.61,4.72,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,6.05,65.4,20.21,1.13,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,15.75,37.41,10.07,1.23,0,0,32.42,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,13.63,44.63,31.36,1.13,0,0,6.07,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,24.44,40.28,28.4,2.06,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,9.54,54.4,24.92,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,19.83,31.15,38.81,2.52,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,34.09,30.01,21.95,5,1.45,2.12,1.85,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,24.63,28.15,36.67,4.12,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,41.03,31.67,16.38,4.76,2.03,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,29.8,34.89,21.52,2.9,1.49,1.2,2.88,1.7,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,13.79,27.37,23.63,1.71,0,0,31.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,11.68,37.39,33.8,1.34,0,0,11.38,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,43.06,23.98,12.41,5.31,2.48,3.62,3.2,3.28,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,25.97,42.58,23.05,4.32,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,15.97,14.3,40.43,2.34,1.35,0,21.69,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,36.16,23.49,15.13,2.05,4.98,1.15,2.3,9.76,1.72,0,0,2.52,0,0,0,0,0,0,0,0,0,0
Mongolia ,11.82,22.88,58.75,1.71,1.11,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,34.89,31.74,24.67,4.82,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,27.51,13.47,43.94,1.13,1.33,0,2.97,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,46.48,2.73,47.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,29.25,34.91,31.26,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,22.84,41.51,26.31,4.06,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,24.94,35.77,26.26,9.87,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,22.11,37.03,34.44,1.56,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,16.38,13.06,45.51,2.46,0,0,15.74,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,18.84,9.43,27.06,0,0,0,26.23,14.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,22.44,30.43,35.44,0,0,1.2,6.58,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,35.36,37.73,18.08,5.03,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,20.78,22.01,51.12,2.27,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,13.63,18.21,40.11,4.09,2.95,4.65,7.01,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,19.97,35.35,33.91,3.21,0,0,3.57,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,57.6,11.21,10.44,18.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,22.72,31.21,20.73,1.2,0,0,8.88,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,31.28,17.94,30.97,11.98,1.47,3.7,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,53.4,21.23,10.85,9.85,1.31,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,11.15,22.95,22.41,8.03,5.85,2.66,14.88,10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,14.14,15.44,41.82,1.09,0,0,19.93,4.38,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,40.7,23.1,17.25,8.21,3.63,3.46,0,0,0,0,0,0,1.05,1.12,0,0,0,0,0,0,0,0
Barbados ,27.47,34.77,27.14,5.09,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,20.54,23.03,40.04,8.94,2.69,1.87,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,7.46,15.5,14.13,1.27,0,0,53.9,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,35.78,33.35,14.96,10.05,1.24,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,44.17,24.5,17.4,9.5,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,50.43,17.71,15.73,7.9,1.25,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,11.77,28.89,44.44,3.79,1.07,1.15,2.66,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,24.92,13.89,43.4,2.38,1.15,0,9.77,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,24.06,14.67,22.85,2.7,1.1,1.63,19.9,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,28.6,11.8,31.01,4.07,0,0,15.96,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,15.85,10.35,64.6,1.28,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,21.03,27.78,38.17,2.12,0,0,6.16,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,44.46,20.14,15.7,14.51,1.29,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,44.5,23.65,22.48,3.01,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
