"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","360 Safe Browser","QQ Browser","IEMobile","iPod Touch","Silk","Obigo","Samsung","Openwave Mobile Browser","Unknown","Phantom","Midori","Iron","Sony PS3","Maemo browser"
United States of America ,34.96,22.92,14.13,12.84,6.2,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,28.09,50.93,9.04,1.47,1.27,4.4,1.91,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,17.71,57.23,16.14,2.11,0,2.83,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,27.95,29.58,13.92,13.65,5.75,4.32,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,21.35,19.79,42.38,6.44,1.94,4.01,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,7.23,22.69,14.07,0,0,5.33,0,17.85,0,13.99,8.22,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,18.31,58.74,15.19,1.43,0,3.22,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,32.18,25.92,16.62,13.91,5.14,2.75,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,51.89,23.05,3.07,2.15,0,2.05,0,0,0,3.31,0,0,6.26,2.15,2.1,1.22,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,21.39,45.51,12.72,5.91,4.45,6.86,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,27.51,44.01,11.72,5.26,1.71,4.38,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,23.23,39.1,19.97,6.81,2.34,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,1.77,21.07,42.35,2.21,0,4.78,0,20.19,1.1,1.17,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,28.68,36.22,18.2,7.69,2.81,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,23.73,32.18,26.26,9.16,2.89,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,5.48,58.41,21.37,4.36,1.67,3.66,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
