"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","iPod Touch","Obigo","Silk","Phantom","Openwave Mobile Browser","SonyEricsson","Dolfin","Iron","Iceweasel","Sony PSP Vita"
United States of America ,29.2,23.03,13.38,11.61,10.4,6,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,53.16,19.23,1.8,7.34,3.17,9.39,0,2.23,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,59.41,15.57,2.5,11.79,1.45,4.99,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,20.28,3.52,0,8.92,0,8.32,0,0,17.74,23.09,7.46,4.93,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,35.89,19.08,15.52,11.22,7.97,4.5,0,0,1.34,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,24.45,15.15,8.26,38.28,3.45,6.1,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,33.15,22.96,16.21,14.05,7.11,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,46.47,14.33,7,9.65,6.42,11.86,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,18.74,54.4,1.2,1.33,2.39,20.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,59.39,13.4,1.95,12.87,0,6.36,0,0,2.03,0,1.23,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,46.5,19.74,7.05,10.08,3.01,7.35,0,0,2.7,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,42.31,16.3,9.13,16.85,4.75,7.22,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,61.17,4.16,5.43,17.14,2.3,5.35,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,42.27,15.61,8.02,17.28,4.08,10.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,37.4,16.79,10.47,23.91,4.09,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,24.33,1.79,2.46,34.77,1.14,8.56,0,0,16.54,3.55,3.69,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,48.49,7.99,1.93,30.7,0,2.97,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,48.09,8.13,5.37,14.92,2.59,14.05,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,33.59,35.77,2.74,4.19,1.7,3.91,1.13,0,0,3.72,0,0,0,0,0,6.22,3.56,2.15,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,19.1,38.5,7.71,10.03,13.8,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,32.76,19.42,18.75,12.13,10.23,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,33.64,6.51,1.34,27.46,0,16.73,0,0,10.08,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,46.22,13.86,3.93,28.16,1.48,3.68,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,33.24,23.53,14.21,11.83,6.92,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,38.18,4.11,1.6,16.37,1.39,6.36,0,0,13.74,10.56,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,66.91,11.15,4.17,8.63,1.49,3.8,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,39.58,14.82,12.01,11.25,9.68,8.26,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,45.84,11.44,2.32,27.26,1.47,4.2,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,40.7,8.35,1.75,33.71,1.18,5.78,0,0,3.75,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,38.69,11.24,6.65,7.61,9.53,15.78,0,0,0,4.06,1.76,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,37.6,13.54,4.63,16.54,2.42,3.79,0,6.37,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,37.61,19.69,14.54,14.62,8.24,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,33.67,31.66,4,5.87,4.18,18.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,40.45,6.62,2.19,37.58,0,3.27,0,0,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,63.54,17.88,1.78,10.05,0,2.86,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,59.39,12.71,3.4,10.9,2.85,7.02,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,51.45,20.9,5.89,14.55,1.51,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,53.73,11.08,2.26,22.69,1.51,4.44,0,0,1.45,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
