"Continent","IE","Firefox","Safari","Chrome","Opera","iPhone","Maxthon","UC Browser","Nokia","Bolt","Mozilla","Windows Media Player"
United States of America ,50.18,28.35,8.81,7.8,0,0,0,0,0,0,0,0
Brazil ,53.7,32.63,0,11.74,0,0,0,0,0,0,0,0
Thailand ,76.28,16.11,0,3.97,0,0,0,0,0,0,0,0
United Kingdom ,52.91,25.11,6,10.19,1.26,1.03,0,0,0,0,0,0
Turkey ,75.02,16.95,0,6.34,0,0,0,0,0,0,0,0
Germany ,26.21,59.37,3.58,4.35,4.67,0,0,0,0,0,0,0
China ,87.18,3.52,0,1.33,0,0,5.42,1.15,0,0,0,0
Indonesia ,7.26,70.96,0,6.12,11.6,0,0,0,1.25,0,0,0
Canada ,49.42,31.21,8.15,8.17,0,0,0,0,0,0,0,0
Mexico ,67.26,20.45,2.71,6.83,1.11,0,0,0,0,0,0,0
Spain ,53.92,31.06,2.98,9.62,1.11,0,0,0,0,0,0,0
India ,44.27,28.93,0,13.84,8.63,0,0,0,2.35,0,0,0
Netherlands ,64.07,20.53,4.18,8.05,1.35,0,0,0,0,0,0,0
South Korea ,93.22,3.15,0,1.64,0,0,0,0,0,0,0,0
France ,47.31,36.17,5.09,7.92,1.26,0,0,0,0,0,0,0
Italy ,53.46,29.36,4.19,10.31,1.37,0,0,0,0,0,0,0
Argentina ,57.95,28.71,0,10.62,1.28,0,0,0,0,0,0,0
Philippines ,20.48,57.18,1.64,17.62,1.48,0,0,0,0,0,0,0
Australia ,50.04,29.55,7.76,8.27,0,1.25,0,0,0,0,0,0
Taiwan ,84.11,9.66,0,3.52,0,0,0,0,0,0,0,0
Malaysia ,41.72,39.12,1.27,12.92,1.6,0,0,0,1.63,0,0,0
Saudi Arabia ,71.97,13.2,0,8.2,0,0,0,0,2.56,0,0,0
Serbia ,23.5,48.14,0,17.14,9.5,0,0,0,0,0,0,0
Israel ,72.4,13.69,0,11.01,0,0,0,0,0,0,0,0
Peru ,78.4,13.34,0,6.49,0,0,0,0,0,0,0,0
Poland ,22.8,54.75,1.04,7.96,11.95,0,0,0,0,0,0,0
Egypt ,62.33,25.36,0,6.88,3.33,0,0,0,0,0,0,0
Vietnam ,53.87,36.12,0,6.44,2.35,0,0,0,0,0,0,0
Sweden ,49,33.84,5.11,8.98,1.62,0,0,0,0,0,0,0
Colombia ,61.38,23.68,1.29,12.45,0,0,0,0,0,0,0,0
Hungary ,26.74,56.9,1.01,9.33,5.17,0,0,0,0,0,0,0
Chile ,48.51,34.16,1.48,13.32,1.6,0,0,0,0,0,0,0
Romania ,38.85,44.13,0,8.74,6.9,0,0,0,0,0,0,0
Singapore ,50.3,28.56,6.05,9.91,0,2.2,0,0,0,0,0,0
Japan ,60.58,22.62,5.96,6.05,1.62,0,0,0,0,0,0,0
Belgium ,56.3,27.83,5.7,7.89,1.27,0,0,0,0,0,0,0
Portugal ,57.32,28.12,2.73,9.3,1.59,0,0,0,0,0,0,0
United Arab Emirates ,71.55,13.23,2.07,8.31,0,0,0,0,2.14,0,0,0
Greece ,40.19,45.67,2.14,8.8,2.17,0,0,0,0,0,0,0
Russian Federation ,25.57,32.86,1.34,6.74,32.09,0,0,0,0,0,0,0
Venezuela ,58.09,27.95,1.27,10.89,0,0,0,0,0,0,0,0
Hong Kong ,67.18,19.12,4.42,6.26,0,0,0,0,0,0,0,0
Finland ,29.31,53.63,4.73,6.63,4.16,0,0,0,0,0,0,0
Denmark ,57.89,23.83,6.84,9.03,1.12,0,0,0,0,0,0,0
Pakistan ,50.08,29.04,0,15.35,3.81,0,0,0,0,0,0,0
Iran ,65.56,25.68,0,2.32,4.19,0,0,0,0,0,0,0
Switzerland ,42.65,37.48,10.33,5.49,2.15,0,0,0,0,0,0,0
Ireland ,51.43,27.89,4.72,11.64,1.58,1.02,0,0,0,0,0,0
Bulgaria ,37.31,47.09,0,7.93,6.33,0,0,0,0,0,0,0
Norway ,44.7,29.86,6.65,9.74,7.62,0,0,0,0,0,0,0
Austria ,38.37,45.97,4.91,5.26,4.03,0,0,0,0,0,0,0
Morocco ,63.75,26.23,0,6.63,1.82,0,0,0,0,0,0,0
Ecuador ,57.06,30.99,1.82,7.64,0,0,0,0,0,0,0,0
Kuwait ,75.59,11.42,1.97,6.36,0,0,0,0,1.91,0,0,0
Croatia ,32.74,50.75,1.33,9.01,5.1,0,0,0,0,0,0,0
South Africa ,61,20.17,2.39,7.91,6.13,0,0,0,1.07,0,0,0
New Zealand ,48.95,30.05,7.44,10.66,1.08,0,0,0,0,0,0,0
Czech Republic ,31.87,45.11,1.78,9.91,9.87,0,0,0,0,0,0,0
Slovenia ,35.86,51.01,1.55,7.81,2.93,0,0,0,0,0,0,0
Ukraine ,21.42,33.58,1.01,7.2,35.51,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,25.82,47.29,1.32,11.41,13.01,0,0,0,0,0,0,0
Guatemala ,56.43,28.44,2.35,10.74,0,0,0,0,0,0,0,0
Qatar ,68.51,14,2.11,10.84,1.21,0,0,0,1.94,0,0,0
Algeria ,56.45,32.12,0,8.16,2.1,0,0,0,0,0,0,0
Paraguay ,41.5,43.73,0,12.91,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,21.54,54.44,0,17.1,5.97,0,0,0,0,0,0,0
Jordan ,65.32,17.82,0,11.9,1.58,0,0,0,1.92,0,0,0
Puerto Rico ,53.52,27.94,5.16,9.65,0,0,0,0,0,0,0,0
Macedonia ,21,55.8,0,18.08,4.15,0,0,0,0,0,0,0
Tunisia ,26.02,47.6,0,23.27,1.45,0,0,0,0,0,0,0
Bahrain ,79.97,9.87,1.69,5.65,0,0,0,0,1.17,0,0,0
Lithuania ,35.96,42.96,1.27,8.95,10.12,0,0,0,0,0,0,0
Costa Rica ,48.48,34.37,3.06,9.23,1.55,0,0,0,1.75,0,0,0
Panama ,65.79,21.82,2.16,8.2,0,0,0,0,0,0,0,0
Nigeria ,30.69,25.08,0,4.52,37.69,0,0,0,0,0,0,0
Syrian Arab Republic ,69.47,20.76,0,2.97,3.65,0,0,0,1.8,0,0,0
Dominican Republic ,48.21,34.32,2.44,12.72,1.26,0,0,0,0,0,0,0
Honduras ,57.61,26.16,1.54,9.43,2.17,0,0,0,1.13,0,0,0
