"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","Unknown","NetFront","iPod Touch","Bolt","Sony PS3","Windows Media Player","Mozilla"
United States of America ,43.21,23.01,13.81,10.53,2.65,1.97,1.92,0,0,0,0,0,0,0,0,0,0,0
Brazil ,44.22,25.19,25.92,0,0,0,0,1.17,1.06,0,0,0,0,0,0,0,0,0
Thailand ,64.31,14.7,13.63,1.22,0,0,0,1.2,2.71,0,0,0,0,0,0,0,0,0
Germany ,21.62,57.44,11.15,4.46,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0
Indonesia ,3.8,69.12,12.68,0,0,0,1.89,8.56,1.67,0,0,0,0,0,0,0,0,0
United Kingdom ,44.22,20.22,18.77,7.96,1.01,2.07,2.56,1.07,0,0,0,0,0,0,0,0,0,0
Turkey ,59.56,17.84,19.8,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0
China ,84.52,3.23,4.58,0,0,0,0,0,0,3.66,1.29,0,0,0,0,0,0,0
South Korea ,84.75,2.03,3.45,0,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,42.11,25.33,15.08,10.02,0,2.05,0,0,1.49,0,0,0,0,0,0,0,0,0
Mexico ,53.5,16.97,18.24,3.74,0,0,0,3.55,1.34,0,0,0,0,0,0,0,0,0
India ,26.83,24.16,20.35,0,0,0,0,16.72,6.57,0,0,1.69,0,0,0,0,0,0
Spain ,43.94,28.06,20.29,4.04,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,55.59,18.63,14.97,6.26,1.04,1.2,0,1.03,0,0,0,0,0,0,0,0,0,0
Philippines ,11.23,36.87,46.43,1.76,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0
Argentina ,41.02,24.21,31.86,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0
Italy ,41.94,26.96,22.54,5.3,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0
France ,35.66,35.27,17.86,7.05,0,1.33,0,1.16,0,0,0,0,0,0,0,0,0,0
Australia ,42.16,24.18,15.12,11.94,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,27.9,31.67,30.08,1.73,0,0,0,1.65,2.86,0,0,0,1.54,0,0,0,0,0
Peru ,70.5,12.77,14.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,16.35,42.22,30.39,0,0,0,0,8.72,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,55.35,12.48,17.31,1.64,0,0,5.35,1.35,4.08,0,0,0,0,0,0,0,0,0
