"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Maxthon","360 Safe Browser","QQ Browser","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Sony PS3","Unknown","Obigo","Iron","Kindle"
United States of America ,34.85,21.51,20.38,12.28,4.01,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,39.36,43.36,11.88,0,1.21,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,25.8,46.84,21.75,1.51,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,32.92,25.76,17.84,11.17,2.5,3.98,1.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,9.13,21.88,17.75,0,2.29,0,18.8,0,10.46,9.16,5.11,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,22.23,15.3,48.12,5.79,1.69,1.39,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,2.25,19.85,53.68,1.65,1.63,0,15.18,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,33.79,22.63,22.25,12,1.66,2.91,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,35.66,35.99,15.77,3.75,3.17,2.21,1.24,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,25.45,50.13,19.83,1.24,1.22,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,35.59,37.63,15.65,4.42,1.57,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,30.28,33.2,24.33,6.08,2.86,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,68.75,12,4.91,2.19,0,0,0,0,2.39,0,0,0,3.04,1.61,1.05,1.02,0,0,0,0,0,0,0,0,0
Italy ,29.36,35.2,23.67,6.51,1.36,1.57,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,6.97,55.7,27.04,3.32,1.3,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,42.58,22.58,16.27,10.33,3.4,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,27.85,25.77,31.62,8.63,1.72,2.13,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,16.75,40.38,27.13,3.95,4.48,1.23,2.86,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,12.32,38.04,37.77,1.53,1.02,0,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,32.13,23.08,20.78,14.48,2.1,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,23.66,57.67,14.16,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,20.15,56.59,16.85,2.14,1.51,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,61.88,11.77,3.56,2.28,17.45,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,15.59,42.06,30.29,1.91,0,3.04,3.79,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,49.36,16.54,18.32,6.46,3.28,2.81,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,58.14,22.16,10.63,3.13,3.48,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,14.41,24.98,46.58,1.53,0,0,10.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,18.5,28.03,44.89,0,0,0,4.89,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,21.75,33.22,37.45,3.33,1,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,12.74,36.71,42.81,1.43,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,20.94,32.69,35.84,1.39,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,12.73,39.81,29.23,0,0,0,9.48,0,1.99,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,19.87,29.05,23.57,2.62,0,0,22.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,32.54,26.73,22.68,9.84,2.17,4.16,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,38.44,24.8,22.64,9.87,1.03,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,43.57,37.13,15.45,1.11,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,30.95,28.18,15.63,3.73,4.25,2.83,3.45,2.73,1.53,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,42.87,37.21,11.85,2.49,1.92,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,27.33,23.67,19.56,12.73,4.33,9.35,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,24.81,44.13,26.47,1.5,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,37.05,34.43,21.08,4.38,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,21.34,30.16,40.67,0,0,0,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,3.54,15.63,50.83,0,0,0,13.23,0,2.43,3.99,0,0,0,0,0,0,2.8,2.39,1,0,0,0,0,0,0
Finland ,21.16,23.01,39.12,7.57,1.96,2.12,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,33.54,15.65,27.57,15.67,1.63,3.55,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,35.18,29.74,13.87,6.34,1.46,1.82,1.57,0,1.57,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,39.26,24.93,16.01,13.5,1.69,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,40.93,21.97,16.38,9.56,5.5,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,28.13,33.31,19.34,8.22,3.19,4.35,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,28.32,17.94,38.13,7.63,2.6,1.94,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,30.86,26.89,19.81,12.96,1.73,2.23,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,43.7,17.65,18.2,6.04,1.9,1.08,8.84,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,18.98,29.65,42.01,2.18,1.29,1.13,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,24.99,28.67,33.88,2.48,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
