"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","IEMobile","iPod Touch","Silk","Obigo","Phantom","Iron","Samsung","Openwave Mobile Browser","Pale Moon"
United States of America ,33.12,29.57,13.87,10.63,5.5,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,27.63,50.96,8.2,1.54,1.56,5.06,2.36,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,18.71,59,13.9,1.96,0,2.8,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,23.85,34.61,13.7,13.33,5.62,4.02,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,6.25,23.57,13.03,0,0,5.75,0,17.25,0,15.63,8.27,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,16.48,22.07,43.39,6.99,2.23,4.52,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,53.22,22.48,3.27,1.99,0,1.94,0,0,0,3.28,0,0,6.55,2.26,1.35,1.07,0,0,0,0,0,0,0,0,0
Canada ,25.73,32,17.24,13.48,5.23,2.77,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,18.22,58.16,14.75,1.57,0,3.79,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,25.2,45.33,11.69,5.55,1.82,4.89,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,21.03,42.74,12.45,6.49,5.61,8.19,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,1.74,20.94,40.86,2.04,0,6.22,0,19.55,1.34,1.33,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,4.99,59.61,19.5,4.5,1.64,3.96,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,21.6,40.28,20.05,7.02,2.36,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,22.34,39.83,18.87,8.57,3.26,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,21.76,33.93,26.01,9.22,3.05,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,48.6,15.98,1.94,2.71,2.65,27.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,11.45,43.72,18.81,5.08,1.91,12.8,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,9.35,45.33,34,1.81,0,2.16,0,5.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,15.11,67.21,9.91,2.96,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,47.1,20.98,12.86,7.33,4.55,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,24.07,30,15.19,17.3,7.74,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,10.88,33.14,40.18,1.69,0,4.37,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,29.42,29.53,13.38,13.66,5.12,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,15.08,62.15,11.59,2.59,1.76,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,34.33,37.7,9.41,4.16,2.6,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,7.74,41.64,20.95,1.51,1.3,4.36,0,11.6,0,5.01,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,9.86,52.31,20.41,2.82,5.83,2.04,0,2.56,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,17.72,39.89,32.33,3.61,1.31,2.83,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,14.37,43.24,31.49,1.91,0,2.35,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,14.71,38.03,20.99,3.9,1.23,2.16,4.17,13.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,11.42,40.53,36.58,1.44,0,2.27,0,3.54,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,27.86,53.78,12.42,1.57,0,1.92,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,8.81,39.34,39.97,1.89,0,2.26,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,19.39,32.82,13.93,12.74,9.61,9.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,19.16,34.1,10.67,7.01,5.71,12.48,0,0,2.56,2.74,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,23.13,34.01,17.81,12.31,6.47,3.72,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,26.65,46.86,16.85,5.13,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,16.93,50.73,25.67,1.54,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,36.11,43.12,9.57,3.14,3.56,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,29.65,32.55,18.03,12.36,2.22,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,22.15,38.91,10.17,9.38,3,5.07,0,1.91,1.09,3.29,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,8.8,48.29,30.35,1.9,1.53,3.51,0,2.72,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,25.19,32.73,15.18,16.56,3.67,3.31,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,16.81,39.31,35.68,1.37,0,1.93,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,19.1,39.94,14.86,10.76,6.65,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,25.96,33.21,12.65,17.15,6.54,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,13.93,29.95,28.71,8.96,3.81,4.09,0,1.51,0,0,5.96,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,6.73,51.1,34.91,1.54,0,1.9,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,10.7,38.77,42.33,0,0,2.1,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,7.48,63.41,18.57,1.77,1.29,2.17,0,1.93,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,21.87,24.23,33.07,9.34,3.09,5.7,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,26.84,20.6,23.01,18.1,5.96,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,14.91,43.83,19.99,2.62,3.24,8.95,0,1.9,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,24.07,35.47,15.8,14.33,3.83,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,21.16,36.03,29.92,3.18,0,2.58,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,27.74,17.54,36.12,1.63,1.33,4.12,0,6.22,0,1.3,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
