"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","Chromium","CoRom+","Phantom","Puffin","iPod Touch","SonyEricsson","Obigo","Openwave Mobile Browser","Silk","Iron","Kindle","Mozilla","Iceweasel"
United States of America ,33.04,21.62,13.26,12.91,9.16,5,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,54.1,16.83,6.04,1.88,3.72,11.07,0,2.33,1.49,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,61.46,12.1,12.34,2.68,1.5,5.32,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,20.4,3.22,8.21,0,0,8.15,0,0,17.99,0,24.24,7.18,4.84,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,37.55,17.87,11.13,15.98,7.64,4.14,0,0,1.32,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,26.42,12.46,34.39,7.76,5.23,9.91,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,34.18,24.84,14.33,14.53,6.36,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,47.64,12.31,9.6,7.16,7.24,12.22,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,21.52,54.71,1.25,1.09,2.36,17.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,62.22,3.74,15.8,5.77,2.33,5.77,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,40.09,14.13,24.46,9.76,4.06,4.21,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,60.7,12.34,12.53,2.03,0,6.26,0,0,2.04,1.17,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,49.19,16.78,9.85,6.95,2.97,7.69,0,0,2.83,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,43.46,15.52,16.62,9.56,4.69,6.72,0,0,1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,44.05,14.33,16.95,8.11,3.91,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,48.64,7.67,14.33,5.77,2.72,14,0,0,3.59,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,26.04,2.03,33.95,2.8,1.23,8.02,0,0,15.49,0,4.53,2.97,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,38.14,27.73,4.45,3.14,2.38,4.98,1.25,0,0,0,4.74,0,0,0,0,5.99,3.66,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,49.4,7.33,29.45,2.1,0,3.34,0,0,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,33.83,19.66,11.65,18.93,9.6,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,36.85,18.63,13.63,13.81,6.75,7.15,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,27.42,27.01,15.89,7.31,11.11,7.75,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,33.53,5.54,26.21,1.24,0,18.66,0,0,10.19,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,46.62,13.95,27.56,3.88,1.43,3.84,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,38.71,3.74,15.17,1.79,1.61,7.22,0,0,13.18,0,10.77,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,68.15,9.8,8.18,4.27,1.47,4.1,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,40.6,14.49,10.7,12.56,9.45,7.72,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,46.87,10.72,26.89,2.28,1.43,4.39,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,60.85,10.23,9.59,3.15,2.99,9.48,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,36.54,28.24,5.53,3.82,4.17,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,39.17,18.54,14.62,14.5,8.13,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,39.31,10.22,7.49,7.46,10.42,15.44,0,0,0,0,4.24,1.26,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,42.57,5.93,36.26,2.14,0,3.28,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,64.11,17.8,9.33,1.78,0,2.96,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,39.23,21.97,15.93,13.84,3.38,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,38.03,13.52,16.37,4.62,2.24,4.01,0,6.12,13.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,41.5,7.59,34.67,1.75,1.07,5.3,0,0,3.57,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,47.8,23.06,8.95,3.41,4.31,3.54,0,0,2.22,0,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,40.71,13.27,9.9,8.69,4.25,7.56,0,0,2.7,0,8.91,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,54.31,11.91,22.37,2.11,1.13,4.05,0,0,1.47,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,9.65,1.18,15.38,0,0,4.16,0,0,48.12,0,13.71,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,53.09,18.5,14.48,6.14,1.71,3.62,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,43.26,7.76,15.79,5.21,7.09,3.96,0,0,2.17,1.54,1.18,0,0,0,0,0,0,0,0,9.84,0,0,0,0,0,0,0,0,0,0,0
Norway ,41.78,16.57,12.55,16.33,5.55,3.17,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,30.41,17.92,17.79,16.54,10.26,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,41.35,18.75,10.75,17.45,7.56,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,44.32,12.74,30.44,1.8,1.12,3.88,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,45.52,13.39,11.18,11.62,7.62,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0
