"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Opera","Nokia","Maxthon","UC Browser","NetFront","Bolt","Mozilla","Motorola Internet Browser","Windows Media Player","Camino","Samsung","iPod Touch"
United States of America ,47.32,25.19,10.26,10.09,1.98,1.37,1.36,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,46.58,30.03,20.01,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0
Germany ,21.45,61.79,7.44,4.42,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0
Thailand ,72.66,14.79,7.37,0,0,0,0,1.03,2.26,0,0,0,0,0,0,0,0,0,0
United Kingdom ,50.45,21.48,13.9,6.98,2.22,0,1.51,1.12,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,5.06,68.86,9.14,0,4.2,0,0,9.12,1.68,0,0,0,0,0,0,0,0,0,0
China ,86.65,3.34,2.67,0,0,0,0,0,0,4.03,1.65,0,0,0,0,0,0,0,0
Turkey ,68.05,17.87,11.66,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0
Canada ,47.34,27.91,11.54,9.7,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,50.7,28.97,14.29,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,62.83,18.59,11.94,3.24,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0
South Korea ,89.76,2.49,2.4,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,34.59,27.3,18.2,0,0,0,0,12.04,4.64,0,0,1.25,0,0,0,0,0,0,0
Netherlands ,61.3,19.04,10.79,5.12,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0
Italy ,48.04,28.19,16.23,4.86,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0
France ,41.17,36.01,12.8,6.11,0,0,1.23,1.27,0,0,0,0,0,0,0,0,0,0,0
Argentina ,51.68,26.98,18.53,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0
Philippines ,15.76,46.16,32.78,1.68,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0
Australia ,47.38,26.74,11.27,9.86,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,34.1,35.16,22.19,1.38,0,0,0,1.64,2.66,0,0,1.62,0,0,0,0,0,0,0
Saudi Arabia ,63.39,12.88,12.21,1.17,3.21,0,0,1.1,4.85,0,0,0,0,0,0,0,0,0,0
Peru ,76.15,12.43,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,21.4,44.84,22.49,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,0,0
Poland ,20.23,52.87,12.29,1.13,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,46.98,38.64,10.09,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,75.89,11.96,8.26,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,54.44,28.82,10.59,0,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0
Hungary ,23.15,53.35,16.51,1.16,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0,0
Israel ,64.63,13.6,18.28,1.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sweden ,47.54,29.03,13.37,6.26,0,0,1.29,1.42,0,0,0,0,0,0,0,0,0,0,0
Colombia ,53.76,20.33,22.62,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,34.66,42.88,13.9,0,0,0,0,7.15,0,0,0,0,0,0,0,0,0,0,0
Chile ,42.3,28.56,24.87,1.66,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0
Japan ,57.19,21.66,8.91,6.59,0,0,1.29,1.98,0,0,0,0,0,0,0,0,0,0,0
