"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Chromium","Obigo","Windows Media Player","AppleWebKit"
United States of America ,47.1,18.68,16.09,10,2.89,2.29,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,49.03,14.02,33.54,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0
Brazil ,33.19,22.97,38.38,1.14,0,0,1.2,1.1,0,0,0,0,0,0,0,0,0,0
United Kingdom ,39.39,18.92,22.83,9.08,1.66,2.79,1.09,0,2.56,0,0,0,0,0,0,0,0,0
Thailand ,51.45,14.36,24.99,2.5,1.67,1.1,0,1.99,0,0,0,0,0,0,0,0,0,0
Germany ,24.57,51.06,12.64,4.82,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0
China ,79.45,3.14,7.29,1.2,0,0,0,0,0,3.07,2.53,0,0,0,0,0,0,0
Canada ,40.02,22.66,18.28,11.31,0,2.96,0,0,1.66,0,0,0,0,0,0,0,0,0
Indonesia ,3.89,59.43,18.06,1.39,0,0,11.8,2.57,0,0,0,0,0,0,0,0,0,0
India ,16.85,21.48,21.77,0,0,0,19.59,7.78,0,0,4.44,3.06,0,0,0,0,0,0
Mexico ,45.36,15.5,29.92,3.75,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0
Argentina ,30.23,20.81,45.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,38.32,25.2,27.22,4.62,1.55,1.25,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,49.08,17.52,19.46,8.31,1.91,1.47,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,8.51,30.76,54.18,2.59,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
Italy ,35.75,25.44,29.05,6.03,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0
France ,32.64,32.93,21.27,8.22,1.01,1.69,1.12,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,22.52,28.71,37.54,3.24,2.22,1.15,1.69,1.38,0,0,0,0,0,0,0,0,0,0
