"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Nokia","BlackBerry","UC Browser","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","Yandex Browser","IEMobile","iPod Touch","Sony PS3","Mozilla","Obigo","Samsung","Openwave Mobile Browser","AppleWebKit","Midori","Iron","Pale Moon"
United States of America ,35.05,22.49,16.36,12.72,5.15,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,34.24,46.78,9.86,1.06,0,3.79,1.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,21.03,53.61,18.03,1.79,0,1.82,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,19.87,18.73,45.87,6.26,1.77,3.21,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,29.79,27.93,15.71,12.49,5,3.73,1.02,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,8.1,19.74,14.45,0,0,3.83,18.51,9.74,0,13.24,6.51,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,67.32,9.18,3.06,1.96,0,1.73,0,0,0,2.43,0,0,5.51,2.84,2.1,1.28,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,31.67,25.08,19.21,13.78,4.36,2.17,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,31.98,41.83,13.35,4.65,1.17,2.66,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,28.18,40.98,14.73,5.05,2.79,5.07,1.26,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,21.14,55.32,17.13,1.36,0,2.44,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,2.16,20.38,46.37,1.97,0,3.45,18.61,3.47,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,25.54,37.39,22.02,6.37,2.03,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,25.81,37.48,21.24,7.89,2.36,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,6.42,56.94,24.28,3.79,0,2.28,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,14.74,42.2,21.85,4.62,1.45,8.71,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,56.21,12.19,2.38,2.79,2.26,23.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,25.83,29.56,28.47,8.82,2.52,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,36.14,21.94,16.08,14.66,6.1,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,11.07,41.9,36.11,1.63,0,1.51,6.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,36.38,26.22,15.07,12.03,3.24,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,19.9,62.51,12.14,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,44.51,31.44,9.53,3.96,1.66,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,49.07,18.2,13.41,7.1,4.67,4.58,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,12.33,29.76,43.63,1.67,0,1.97,9.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,18.62,59.11,14.08,2.21,1.19,2.81,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,10.39,41.65,25.47,1.08,0,2.03,10.49,3.69,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,10.29,33.22,45.91,1.48,0,1.39,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,20.04,36.54,34.98,3.1,0,1.63,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,13.93,45.05,26.3,1.91,4.09,1.47,3.06,1.4,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,18.22,36.96,34.37,1.64,0,1.48,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,18.59,33.75,22.36,3.41,0,1.31,17.36,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0
Peru ,35.84,45.69,14.31,1.26,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,28.34,30.4,20.07,11.15,5.31,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,24.34,28.03,15.74,12.76,9.1,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,22.19,47.47,25.05,1.46,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,35.01,28.35,20.1,11.05,1.41,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,16.47,34.9,37.62,1.46,0,1.33,4.64,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,31.25,41.24,19.01,4.93,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,23.92,31.58,12.52,5.83,3.45,9.09,1.15,6.4,2.31,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,38.45,39.63,11.59,2.9,2.78,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,19.26,34.04,39.12,1.08,0,1.32,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,18.25,27.12,34.23,8.49,3.2,3.54,2.02,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,27.73,32.15,11.2,7.94,2.28,3.35,6.61,5.32,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,29.98,18.31,25.18,16.86,4.78,2.77,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,12.63,44.58,32.15,1.89,1.07,2.13,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,23.98,36.72,17.2,9.29,5.35,4.31,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,25.56,21.55,35.04,8.31,2.34,4.23,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,36.25,24.79,13.77,9.8,4.2,8.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,33.1,29.98,14.49,14.83,3.85,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,27.14,30.99,17.45,14.36,3.04,2.74,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,13.74,31.56,48.61,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,8.07,46.59,38.79,1.28,0,1.1,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,16.49,33.76,39.43,2.41,1.49,2.29,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,39.01,21.16,16.56,7.39,1.62,3.23,8.08,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,22.97,32.83,32.4,2.74,0,1.46,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,20.28,39.36,32.31,2.77,0,1.73,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,12.05,31.87,26.52,2.26,0,0,24.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,28.09,31.49,18.76,13.14,2.87,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,10.06,58.85,22.09,1.73,0,1.27,2.3,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,31.43,12.84,34.69,1.14,0,2.39,4.49,1.9,0,8.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,23.09,40.84,22.55,1.88,1.6,4.13,2.38,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,17.63,43.77,27.72,1.41,0,3.97,2.48,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,10.17,56.31,24.7,2.11,1.67,1.41,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,13.13,34.96,31.9,1.24,0,1.46,8.97,3.27,0,1.69,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,6.18,54.9,32.46,0,0,1.63,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,21.95,29.09,40.86,3.58,0,1.95,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,15.04,57.61,17.19,3.72,1.16,1.56,1.56,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,4.85,14.84,38.6,0,0,1.32,19.6,8.01,0,8.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,13.14,37.72,35.03,2.59,0,2.01,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,18.68,33.05,37.19,2.05,0,1.2,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,28.03,37.56,19.03,4.3,2.35,3.06,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,18.75,52.55,24.26,1.38,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,15.94,50.99,14.52,2.41,1.32,3.95,6.18,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,9.2,8.82,20.64,3.83,0,1.62,35.1,8,0,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,23.29,36.8,19.56,4.5,1.99,4.53,4.05,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,30.83,36.38,11.52,5.84,1.71,3.52,4.77,2.97,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,10.21,39.84,7.06,1.54,0,2.33,35.68,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,30.92,29.68,31.17,2.44,0,2.29,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,26.55,30.35,15.57,10.12,3.68,9.14,0,0,0,0,0,0,0,0,0,0,0,0,1.58,1.01,0,0,0,0,0,0,0,0
Georgia ,6.11,52.45,12.17,1.45,0,0,25.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,21.22,44.34,24.7,2.67,0,1.59,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,10,46.97,31.46,1.79,0,2.22,4.92,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,10.64,27.58,20.07,1.44,0,1.01,37.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,26.94,22.43,10.14,7.57,9.16,8.38,9.22,1.87,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,35.44,37.15,13.82,4.88,0,5.24,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,16.15,36.72,36.21,3.34,0,1.46,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,9.92,57.31,22.18,1.55,0,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,22.36,42.43,28.16,1.02,0,1.62,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,21.22,44.89,19.07,5.61,0,2.54,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0
Honduras ,25.62,41.34,20.61,3.33,1.46,2.09,2.5,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,20.6,34.84,33.25,4.9,0,1.68,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,12.78,36.91,20.79,2.93,0,1.79,21.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,11.93,15.98,37.7,3.04,0,2.8,22.66,2.91,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,30.32,35.83,21.92,6.23,1.27,2.19,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,8.28,37.33,29.94,2.04,1.3,1.91,14.1,1.03,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,4.77,68.66,18.38,1.67,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
