"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Sogou Explorer","Maxthon","QQ Browser","Sleipnir","CoRom+","Puffin","Openwave Mobile Browser","Chromium","iPod Touch","Obigo","Silk","Phantom","Samsung","Jasmine","SonyEricsson","Dolfin","Midori","Iron"
United States of America ,32.76,27.08,11.77,11.5,7.22,5.09,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,21.41,54.34,1.88,7.17,2.27,7.24,0,2.43,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,14.37,60.25,2.26,13.3,1.29,4.47,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,5.49,19.86,0,9.69,0,7.39,0,0,18.1,20.82,8.07,5.21,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,25.94,32.55,13.64,11.6,6.46,3.94,0,0,1.31,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,21.02,22.33,7.34,36.26,2.79,5.54,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,35.25,28.06,13.03,13.34,5.11,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,56.95,15.62,1.15,1.59,1.97,21.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,16.43,45.02,6.47,10.66,6.19,11.03,0,0,1.08,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,1.61,21.74,2.26,34.92,1.15,8.52,0,0,21.22,2.25,3.55,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,4.52,60.44,5.07,17.86,2.06,4.59,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,21.54,46.21,6.56,11.19,2.33,6.27,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,15.38,58.08,1.86,13.7,0,5.51,0,0,1.96,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,24.16,38.87,8.59,16.73,3.35,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,28.11,36.4,6.77,16.38,2.79,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,41.24,30.94,2.24,4.16,1.24,2.7,1.42,0,0,3.35,0,0,0,0,0,6.4,2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,29.15,31.71,8.73,21.35,3.18,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,11.73,45.83,4.94,15.08,2.11,12.96,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,8.24,48.38,1.87,31.38,0,2.51,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,23.65,30.99,17.4,13.08,8.96,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,39.79,19.79,7.73,10.53,10.37,7.27,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,15.09,45.75,3.57,28.88,1.4,2.88,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,5.09,38.36,1.37,18.22,1.24,5.58,0,0,13.7,8.46,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,28.57,31.36,13.68,11.73,5.46,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,9.13,35.77,1.67,36.48,0,6.46,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,27.69,49.56,4.36,13.69,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,12.38,45.81,2.09,28.02,1.16,3.23,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,11.87,67.56,3.75,9.42,1.17,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,19.3,34.5,11.45,10.36,8.9,8.05,1.11,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,30.44,37.57,4.01,7.41,3.19,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,14.1,37.47,4.21,18.22,1.93,3.05,0,5.98,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,13.59,59.99,3.03,11.56,2.51,6.29,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,7.63,41.2,1.95,37.85,0,2.86,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,24.57,35.19,13.15,14.8,6.72,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,22.73,58.98,1.7,10.88,0,2.36,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,9.6,40.81,1.72,34.76,0,3.5,0,0,3.6,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,13.33,37.39,6.71,8.82,6.77,14.74,0,0,0,5.09,2.64,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,32.15,47.39,3.25,8.46,3.92,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,9.31,46.09,4.31,19.77,4.14,2.12,0,0,2.21,1.49,0,0,0,0,0,0,1.79,0,0,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,26.78,35.71,12.98,15.85,2.98,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,16.34,41.44,8.61,8.58,3.55,6.73,0,0,2.98,6.34,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,7.54,50.2,2.41,27.04,2,4.34,0,0,2.94,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,12.95,53.45,1.86,24.21,0,2.73,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,1.69,9.09,0,19.01,0,2.63,0,0,41.56,13.38,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,15.17,41.93,1.53,32.9,0,2.67,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,21.4,38.13,15.51,13.21,5.04,3.55,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,18.09,39.87,11.38,12.89,7.62,5.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,9.42,47.18,2.82,17.27,4.38,12.57,0,0,1.79,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,23.11,35.09,18.75,10.76,7.79,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,19.6,21.4,1.33,34.67,1.11,3.91,0,0,7.87,4.35,2.19,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,6.23,66.23,1.83,15.54,1.47,2.64,0,0,2.14,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,14.07,33.99,9.33,26.96,4.82,4.86,0,0,1.52,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,5.91,53.4,1.55,31.77,0,2.68,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,26.54,23.5,17.51,20.17,6.07,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,15.65,15.59,4.02,6.79,1.55,3.54,0,0,20.69,1.61,9.18,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
