"Continent","IE","Firefox","Safari","Chrome","BlackBerry","iPhone","Android","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","Motorola Internet Browser","Camino","Samsung","Windows Media Player","Mozilla"
United States of America ,48.59,25.36,9.73,9.66,1.68,1.33,1.22,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,47.73,30.63,0,18.58,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0
Germany ,21.58,61.63,4.4,7.09,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0
Thailand ,72.17,15.4,1,7.12,0,0,0,1.34,2.15,0,0,0,0,0,0,0,0,0,0
United Kingdom ,51.21,22.02,6.81,13.05,1.88,1.46,0,1.18,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,5.37,67.25,0,8.59,4.6,0,0,10.8,1.57,0,0,0,0,0,0,0,0,0,0
Turkey ,70.6,17.66,0,9.4,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0
China ,87.3,3.35,0,2.22,0,0,0,0,0,3.96,1.61,0,0,0,0,0,0,0,0
Canada ,47.34,28.64,9.56,10.94,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,64.32,18.77,3.08,10.59,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0
Spain ,51.25,29.18,3.53,13.39,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0
South Korea ,91.7,2.41,0,2.14,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
India ,36,28.14,0,17.68,0,0,0,11.11,4.2,0,0,1,0,0,0,0,0,0,0
Netherlands ,61.96,19.32,5.01,10.28,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0
Italy ,49.09,28.55,4.8,14.85,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0
France ,42.68,35.57,6.07,11.58,0,1.27,0,1.37,0,0,0,0,0,0,0,0,0,0,0
Philippines ,16.3,48.37,1.64,30.12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Argentina ,52.9,27.25,0,17.11,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0
Australia ,47.77,27.21,9.61,10.83,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,34.83,35.99,1.35,19.83,0,0,0,2.71,2.67,0,0,1.49,0,0,0,0,0,0,0
