"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Chromium","Iron","Obigo","Flock","Windows Media Player"
United States of America ,42.86,20.89,17.21,10.79,2.93,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,37.93,22.05,34.62,0,0,0,1.31,1.13,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,39.8,19.41,23.07,8.78,1.51,2.46,1.08,0,2.21,0,0,0,0,0,0,0,0,0,0
Turkey ,51.81,15.07,29.57,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,52.79,14.43,24.05,2.11,1.41,0,1.11,2.14,0,0,0,0,0,0,0,0,0,0,0
China ,81.53,2.89,6.55,1.02,0,0,0,0,0,3.07,2.77,0,0,0,0,0,0,0,0
Germany ,25.38,51.9,11.38,4.55,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,3.47,64.03,17.2,1.17,0,0,9.39,2.1,0,0,0,0,0,0,0,0,0,0,0
Canada ,39.98,23.62,18.26,11.41,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,46.67,16.18,27.66,3.95,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,31.53,21.44,44.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,17.79,22.11,22.25,0,0,0,19.05,7.46,0,0,3.84,2.84,0,0,0,0,0,0,0
Spain ,38.6,26.14,25.85,4.65,1.49,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,49.93,18.15,18.66,7.94,1.73,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,8.18,31.67,54.29,2.3,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,36.83,26.07,27.46,5.99,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
France ,33.68,33.34,20.81,7.64,0,1.49,1.11,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,69.89,3.11,6.26,1.18,18.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,38.05,22.59,19.48,12.85,1.24,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,23.32,29.44,36.12,2.93,2.06,1.05,1.6,1.73,0,0,0,0,0,0,0,0,0,0,0
Serbia ,14.88,40.33,33.7,1.22,0,0,8.38,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,16.38,49.55,20.63,1.21,0,0,10.39,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,32.49,15.73,48.26,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,25.06,19.21,51,1.63,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,52.26,18.5,15.75,6.04,2.09,1.67,1.62,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,16.15,46.55,30.74,1.23,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,66.85,11.18,16.27,2.64,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,25.99,38.66,25.82,1.08,0,0,7.18,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,59.01,14.05,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,39.05,25.2,22.04,7.89,1.48,2.48,1.28,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,25.63,40.83,27.79,2.45,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,27.76,37.97,27.75,1.17,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,51.33,12.29,30.75,1.81,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,41.09,14.33,23.01,2.66,1.5,1.42,3.9,5.73,4.89,0,0,0,0,0,0,0,0,0,0
Belgium ,45.48,23.96,19.3,8.28,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,19.33,28.13,22.52,2.1,0,0,26.45,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,43.41,23.53,26.39,4.06,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,21.76,28.35,36.67,0,0,0,9.25,1.73,0,0,0,0,0,0,0,0,0,0,0
Egypt ,33.15,37.99,20.93,1.03,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,32.59,21.55,24.06,11,2.16,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,37.01,30.07,12.72,14.43,0,2.48,1.48,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,26.97,41.94,24.17,0,0,0,5.09,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,31.94,27.36,37.31,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,46.17,18.06,20.65,11.23,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,24.99,43.21,17.96,6.44,1.3,1.22,3.13,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,46.67,14,23.41,5.28,0,1.2,1.08,5.7,1.03,0,0,0,0,0,0,0,0,0,0
Hong Kong ,51.77,16.75,16.33,8.34,2.06,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,32.35,41.32,13.62,6.48,1.42,1.2,2.72,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,36.24,21.82,23.09,10.62,1.01,1.32,5.07,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,51.4,30.49,6.88,0,0,0,4.96,1.91,0,0,1.13,0,0,0,0,0,0,0,0
Ireland ,35.71,21.26,29.07,6.63,1.67,2.68,1.2,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,50.62,18.66,14.72,4.18,0,0,7.81,1.28,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,15.18,29.52,19.14,1.27,0,0,33.8,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,23.66,44.44,23.53,1.84,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,25.98,38.56,23.69,2,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,36.26,23.36,25.5,10.63,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,32.39,33.27,28.05,2.37,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,15.98,20.96,6.5,1.96,0,0,48.71,2.57,0,0,1.12,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,12.57,42.14,39.31,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,28.28,47.09,18.54,2.41,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,39.55,23.27,27.24,3.46,0,1.17,1.59,0,1.29,0,0,0,0,0,0,0,0,0,0
Paraguay ,26.47,34.93,33.71,0,0,0,1.54,1.94,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,16.77,40.62,28.41,1.89,0,0,10.62,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,9.4,38.14,47.62,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,28.46,34.1,30.08,1.28,0,0,3.3,1.04,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,14,26.55,54.42,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,11.75,48.21,13.29,0,0,0,17.27,4.76,0,0,1.54,0,0,0,0,0,0,0,0
Uruguay ,23.3,29.56,44.54,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,21.57,22.96,48.29,3.07,0,0,1.45,0,1.2,0,0,0,0,0,0,0,0,0,0
Albania ,12.19,24.99,58.82,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,46.16,29.81,19.79,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,27.46,40.92,27.33,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,26.05,38.83,23.51,1.67,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,44.55,12.86,15.99,5.62,1.52,8.4,2.48,2.1,4.9,0,0,0,1,0,0,0,0,0,0
Sri Lanka ,23.14,33.41,31.72,0,0,0,6.65,1.87,0,0,0,0,0,0,0,0,0,0,0
Iraq ,45.98,23.69,22.44,0,0,0,3.1,2.72,0,0,0,0,0,0,0,0,0,0,0
Belarus ,12.55,21.71,15.05,0,0,0,48.67,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,46.4,13.86,26.34,4.4,0,1.08,2.47,3.37,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,46.92,22.21,22.09,3.87,0,0,1.44,1.21,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,36.21,20.28,26.58,7.8,3.97,1.32,0,0,0,0,0,0,1.22,0,0,0,0,0,0
Jordan ,35.43,18.11,37.25,1.52,0,0,3.07,2.78,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,29.36,25.14,26.96,3.83,1.31,0,2.87,7.07,0,0,0,1.25,0,0,0,0,0,0,0
Estonia ,25.17,42.16,23.23,3.62,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,20.73,41.03,27.87,2.17,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,46.84,17.39,27.96,4.33,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,7.73,24.57,59.6,1.05,0,0,6.47,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,10.01,15.06,34.41,0,0,0,39.02,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,58.03,12.3,16.14,4.04,0,2,3.07,1.77,0,0,0,0,0,0,0,0,0,0,0
Honduras ,33.17,20.75,27.92,2.45,0,1.05,2.62,3.81,1.42,0,0,2.76,0,0,0,0,0,0,0
Montenegro ,17.1,31.84,41.15,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,27.42,31.39,34.63,1.84,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,38.09,27.22,28.28,3.32,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0
