"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Obigo","RockMelt","AppleWebKit","Samsung","Openwave Mobile Browser","Unknown","Pale Moon"
United States of America ,36.95,21.31,16.11,13.15,4.75,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,35.55,46.49,10.29,0,0,2.82,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,21.9,52.27,18.54,1.75,0,1.7,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,9.04,20.41,15.46,0,0,3.5,18.53,10.43,10.03,6.5,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,31.05,27.21,15.81,12.08,4.75,3.53,1.16,0,0,0,0,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,20.94,17.98,45.45,6.04,1.64,2.87,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,69.32,8.4,2.72,1.84,0,1.43,0,2.79,0,0,0,0,5.37,2.35,1.98,1.25,0,0,0,0,0,0,0,0,0,0
Canada ,32.11,24.7,19.34,13.56,4.22,2.06,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,28.25,40.86,14.99,4.92,2.64,4.84,1.4,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,22.08,54.23,17.7,1.34,0,2.16,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,32.74,40.97,13.84,4.65,1.09,2.33,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,2.17,20.27,47.99,1.93,0,3.18,18.01,0,3.18,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,26.28,36.69,22.31,6.29,1.97,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,26.4,37.12,21.44,7.81,2.18,2.52,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,7.01,56.98,24.23,3.71,0,2.06,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,16.17,40.76,22.43,4.48,1.45,8.29,3.52,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,26.89,28.63,28.58,8.79,2.43,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,34.76,22.36,16.76,15.01,5.92,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,11.5,40.62,35.98,1.58,0,1.41,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,37.17,26.04,15.19,11.65,3.04,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,20.32,61.5,12.69,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,58.57,13.27,3,2.8,2.05,19.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,45.84,30.59,9.83,3.95,1.63,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,10.9,42.25,26.53,0,0,1.59,10.85,1.76,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,18.88,58.5,14.43,2.26,1.18,2.6,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,48.9,18,13.62,7.26,4.52,4.59,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,12.58,28.37,43.73,1.64,0,1.88,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,20.45,35.48,35.52,3.27,0,1.55,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,10.96,34.96,43.12,1.53,0,1.26,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,14.8,44.25,27.23,1.88,4,1.29,3.12,1.11,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,18.56,35.8,34.2,1.63,0,1.37,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,18.53,32.54,21.84,3.17,0,1.17,20.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,36.08,45.1,14.61,1.26,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,28.85,30.03,20.35,11,4.98,2.98,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,36.77,27.2,20.09,10.61,1.28,1.68,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,26.23,26.66,15.82,12.4,9.05,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,22.88,46.7,25.09,1.57,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,16.69,34.07,37.61,1.4,0,1.16,5.4,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,39.02,39.84,11.28,2.89,2.68,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,32.2,39.64,19.38,5.02,0,1.13,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,25.01,31.29,12.58,5.21,3.31,8.67,1.3,1.99,6.71,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,19.61,32.99,38.9,1.05,0,1.21,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,28.82,32.98,11.88,7.56,2.18,2.96,5.45,1.15,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,18.51,26.53,34.83,8.42,3.02,3.22,2.56,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0
Switzerland ,30.98,17.88,25.39,16.33,4.44,2.61,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,37.54,24.05,13.96,9.59,4.06,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,25.03,36.45,17.29,9.07,5.07,3.97,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,33.32,29.81,14.71,14.56,3.6,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,26.01,20.54,35.56,8.14,2.19,3.99,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,13.82,43.57,32.42,1.76,0,1.88,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
