"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Unknown","Chromium","iPod Touch","Openwave Mobile Browser","Phantom","Obigo","Silk","Dolfin","Iron"
United States of America ,35.32,25.27,12.31,11.7,6.59,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,22.78,54.04,1.8,7.36,1.97,6.35,2.49,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,16.33,58.53,2.05,13.02,1.03,3.86,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,5.45,20.63,0,10.48,0,6.75,0,20.58,19.08,7.42,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,30.64,30.39,12.83,11.21,5.8,3.73,0,1.59,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,40.18,25.47,12.38,12.53,4.76,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,25.85,19.9,6.57,35.03,2.69,5.26,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,55.14,14.71,1.05,1.4,2.04,24.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,1.51,20.41,1.98,34.95,0,7.51,0,25.04,1.81,3.43,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,16.74,44.7,6.64,10.6,6.03,10.29,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,22.15,44.51,6.45,11,2.11,5.83,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,4.84,57.96,4.62,17.36,1.8,4.3,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
