"Continent","IE","Firefox","Safari","Chrome","BlackBerry","iPhone","Android","Opera","Nokia","Maxthon","UC Browser","NetFront","Bolt","Motorola Internet Browser","Windows Media Player","Sony PS3","Camino","Samsung","Mozilla"
United States of America ,48.96,26.23,9.51,9.16,1.37,1.25,1.08,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,49.01,31.08,0,17.35,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0
Germany ,22.94,61.06,4.09,6.29,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0
Thailand ,73.56,15.37,1.01,6.35,0,0,0,1.16,1.87,0,0,0,0,0,0,0,0,0,0
United Kingdom ,52.13,22.48,6.53,12.03,1.78,1.44,0,1.19,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,5.48,66.5,0,8.38,5.37,0,0,10.81,1.57,0,0,0,0,0,0,0,0,0,0
Turkey ,69.35,18.9,0,9.23,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0
China ,87.55,3.43,0,2.07,0,0,0,0,0,4.14,1.41,0,0,0,0,0,0,0,0
Mexico ,65.27,18.95,2.99,9.72,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0
Canada ,48.4,29.08,9.11,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,51.84,29.52,3.46,12.55,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
India ,36.91,28.01,0,16.83,0,0,0,11.2,4.28,0,0,0,0,0,0,0,0,0,0
South Korea ,92.66,2.73,0,2.02,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,62.61,19.46,4.85,9.66,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0
Italy ,49.53,29.27,4.67,13.87,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0
France ,44.93,35.01,5.87,10.21,0,1.22,0,1.32,0,0,0,0,0,0,0,0,0,0,0
Argentina ,54.43,27.34,0,15.55,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0
Philippines ,17.13,50.74,1.77,26.51,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0
Australia ,48.31,27.89,9.13,10.26,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,20.47,47.04,0,21.15,0,0,0,9.59,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,35.77,36.59,1.43,18.3,0,0,0,2.98,2.52,0,0,1.36,0,0,0,0,0,0,0
Saudi Arabia ,65.86,13.04,1.1,10.82,2.48,0,0,1.05,4.54,0,0,0,0,0,0,0,0,0,0
Peru ,77.59,12.41,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,20.35,54.17,1.09,10.67,0,0,0,12.46,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,78.19,11.76,1.33,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,66.54,13.66,1.06,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,56.11,28.53,0,9.43,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0
Colombia ,57.38,21.32,1.52,18.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,48.62,38.23,0,8.89,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0
Hungary ,24.36,54.56,1.13,13.66,0,0,0,5.51,0,0,0,0,0,0,0,0,0,0,0
Sweden ,48.15,30.73,6.13,11.36,0,1.04,0,1.6,0,0,0,0,0,0,0,0,0,0,0
Chile ,44.73,30.53,1.6,20.67,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0
