"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Iron","Obigo","Windows Media Player","Flock","Chromium","AppleWebKit"
United States of America ,42.07,22.1,16.66,10.84,2.87,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,41.97,22.15,30.6,0,0,0,1.43,1.12,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,55.88,14.08,21.26,1.78,1.16,0,1.18,2.57,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,53.78,15.55,27.41,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,40.66,19.55,21.99,8.44,1.37,2.36,1.09,0,2.74,0,0,0,0,0,0,0,0,0,0,0
China ,81.98,3.01,6.25,0,0,0,0,0,0,3.33,2.53,0,0,0,0,0,0,0,0,0
Indonesia ,3.36,66.31,15.59,1.02,0,0,9.64,1.77,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,29,50.06,10.44,4.23,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,42.33,23.67,16.89,11.16,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,48.55,16.44,24.84,3.95,0,0,1.98,1.18,0,0,0,0,0,0,0,0,0,0,0,0
India ,19.58,22.28,21.38,0,0,0,18.99,9.94,0,0,0,2.81,0,0,0,0,0,0,0,0
South Korea ,73.21,2.43,4.91,0,17.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,39.84,26.66,24.39,4.49,1.31,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,33.38,22.04,41.52,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,51.52,18.21,17.6,7.6,1.49,1.33,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,38.62,31.85,18.52,6.89,0,1.36,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,8.87,33.22,51.95,2.2,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,37.8,26.54,26.44,5.82,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,39.2,23.09,18.51,12.5,1.12,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,24.11,30.12,34.94,2.7,1.8,0,1.55,1.98,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,15.4,40.96,32.36,1.16,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,16.91,50.23,19.54,1.15,0,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,62.16,13.98,21.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,53.29,18.98,15.01,5.82,1.86,1.43,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,27.27,20.08,47.62,1.71,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,35.73,16.26,44.25,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,68.33,11.56,14.66,2.36,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
