"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","Nokia","UC Browser","NetFront","Dolfin","BlackBerry","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Obigo","Samsung","Openwave Mobile Browser","Unknown","Phantom","RockMelt"
United States of America ,38.18,20.82,16.11,12.89,4.52,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,35.48,46.62,10.63,0,2.53,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,22.74,51.3,18.96,1.67,1.53,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,8.87,20.81,15.8,0,3.29,0,18.59,10.03,9.9,6.34,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,31.55,26.35,16.02,12.08,3.49,4.76,1.17,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,22.44,16.7,45.09,6.07,2.82,1.65,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,67.18,8.83,3.04,2,1.41,0,0,0,3.06,0,0,0,5.68,2.41,2.17,1.36,0,0,0,0,0,0,0,0,0
Canada ,33.34,23.24,19.48,13.37,2.03,4.06,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,22.88,53.42,17.99,1.36,1.97,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,29.93,39.97,15.28,4.58,4.4,2.46,1.35,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,2.11,19.89,49.62,1.81,2.9,0,17.23,3.21,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,33.84,39.9,13.89,4.62,2.2,1.09,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,27.89,35.46,21.77,6.2,4.53,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,27.47,36.21,21.38,7.72,2.45,2.2,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,6.77,55.98,25.16,3.79,1.96,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
