"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Chromium","iPod Touch","Silk","Phantom","Iron"
United States of America ,35.38,25.18,12.44,12.14,6.34,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,23.04,55,1.68,7.28,1.63,5.67,2.71,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,15.63,61.3,2,13,1.04,3.53,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,34.53,28.74,12.04,10.98,5.38,3.68,0,1.05,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,5.63,20.87,0,10.55,0,7.25,0,17.28,0,20.23,8.19,5.13,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,17.97,21.86,7.34,39.65,2.65,5.65,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,36.84,27.16,12.76,13.67,4.79,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,56.43,14.92,1.08,1.43,2.14,22.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,18.28,44.64,6.49,11.6,5.98,9.22,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,1.54,21.22,2.02,37.93,0,7.56,0,20.94,1.42,1.67,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,44.45,29.09,2.03,3.74,0,2.24,0,1.12,0,2.84,0,0,6.77,2.39,1.89,1.28,0,0,0,0,0,0,0,0
Argentina ,16.1,58.55,1.78,14.07,0,4.87,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,22.84,45.47,6.51,10.8,2.08,6.32,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,4.55,59.25,4.71,18.39,1.92,4.43,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,20.96,40.67,9.15,17.45,3.63,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,22.3,39.31,7.39,18.2,2.86,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,24.8,32.79,9.55,23.6,3.27,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,11.26,44.93,4.95,16.51,2.17,13.43,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,8.92,46.81,1.92,32.34,0,2.49,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,29.94,27.67,16.16,12.79,7.95,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,41.99,19.73,7.67,10.64,8.8,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,27.39,30.65,14.02,12.21,5.69,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,15.7,44.05,3.71,29.64,1.45,2.99,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,9.66,34.2,1.69,37.44,0,6.38,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,5.49,38.46,1.27,18.32,1.2,5.24,0,13.12,0,8.8,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,30.13,39.7,4.19,8.26,2.91,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,13.37,66.86,3.6,9.3,1.06,2.81,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,12.88,45.23,1.97,29.66,1.05,2.8,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
