Continent,Chrome,IE,Safari,Firefox,iPhone,Android,Yandex Browser,Opera,UC Browser,Nokia,NetFront,Unknown,BlackBerry,IEMobile,Sogou Explorer,QQ Browser,Maxthon,CoRom+,Puffin,Openwave Mobile Browser,iPod Touch,Obigo,SonyEricsson,Silk,Phantom,Dolfin,360 Safe Browser,Iron,Iceweasel
United States of America ,30.36,21.48,14.04,12.68,10.3,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,52.73,19.63,1.82,7.33,3.12,9.61,2.19,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,59.38,15.57,2.41,12.6,1.24,4.76,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,21.02,3.96,0,9.77,0,8.17,0,17.87,20.85,7.61,4.99,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,32.47,18.12,14.35,11.05,7.16,5.13,0,3.36,2.56,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,24.29,15.56,8.15,38.04,3.33,6.45,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Korea ,16.46,56.58,1.04,1.19,2.22,21.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,45.87,14.73,6.82,10.1,6.36,12.01,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,32.76,23.27,15.83,14.89,6.97,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,35.31,35.02,2.42,4.16,1.53,3.22,0,0,3.54,0,0,0,0,0,6.85,3.26,2.56,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,58.76,13.76,1.88,13,0,6.55,0,2.06,0,1.28,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,46.08,19.86,7.04,10.4,2.89,7.31,0,2.82,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,40.42,17.63,9.27,17.25,4.7,7.36,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,41.75,16.68,8,17.64,3.67,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,60.48,3.89,5.41,18.15,2.18,5.17,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,36.46,17.69,10.47,23.94,4.12,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,23.71,1.71,2.5,35.59,1.09,7.98,0,17.38,3.29,3.73,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,47.62,8.58,5.42,15.37,2.54,13.68,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,48.24,7.78,1.86,31.56,0,2.86,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,19.68,38.54,8.13,10.13,12.22,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,45.63,14.05,3.76,28.85,1.48,3.63,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,32.09,19.97,18.38,12.99,10.1,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,34.82,7.68,1.49,32.47,0,11.37,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,32.16,24.57,14.48,11.53,6.83,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,37.55,4.21,1.54,16.81,1.37,6.19,0,14.27,10.11,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,45.05,11.64,2.11,28.44,1.33,3.98,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,66.68,11.39,4.25,9.07,1.33,3.56,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,38.98,14.62,12.51,11.65,9.75,8.53,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,41.23,8.22,1.59,35.01,1.12,5.56,0,3.31,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,37.45,13.95,4.45,16.76,2.21,3.76,6.46,13.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
