City,Latitude,Longitude
Lakhnau :,26°51'0.0" N,80°55'0.1" E,
Konia :,37°51'56.2" N,32°28'57.0" E,
Gizeh :,30°0'31.0" N,31°12'43.9" E,
Ceara (Ceará) :,3°43'0.0" S,38°30'0.0" W,
Cali :,3°26'14.0" N,76°31'21.0" W,
Surabaya :,7°14'57.0" S,112°45'3.6" E,
Brusa :,40°11'30.1" N,29°3'40.0" E,
Belo Horizonte :,19°55'0.1" S,43°55'59.9" W,
Grand Dakar :,14°42'32.0" N,17°27'19.1" W,
Al Kuwait :,29°22'10.9" N,47°58'41.9" E,
Mashhad :,36°17'44.9" N,59°36'42.8" E,
Brooklyn :,40°38'60.0" N,73°57'0.0" W,
Quezon :,14°38'38.0" N,121°2'13.2" E,
Nagpur :,21°8'60.0" N,79°5'60.0" E,
Harare :,17°49'4.1" S,31°2'40.9" E,
Brasilia (Brasília) :,15°46'59.9" S,47°55'0.1" W,
Santo Domingo :,18°28'0.1" N,69°54'0.0" W,
Nagoya :,35°10'0.1" N,136°55'1.2" E,
Havana :,23°7'54.8" N,82°21'51.1" W,
Kosovo :,42°38'21.8" N,21°5'46.0" E,
Aleppo :,36°12'10.1" N,37°9'31.0" E,
Paris :,48°52'0.1" N,2°19'60.0" E,
Changsha :,28°10'45.1" N,113°6'50.4" E,
Jinan :,36°40'5.9" N,116°59'49.2" E,
Al Mawsil Al Jadidah :,36°19'45.1" N,43°5'10.0" E,
Tangshan :,37°19'57.0" N,114°42'3.6" E,
Dalian :,38°54'43.9" N,121°36'7.2" E,
Houston :,29°45'47.2" N,95°21'47.2" W,
Johannesburg :,26°11'60.0" S,28°4'59.9" E,
Kowloon :,22°19'0.1" N,114°10'58.8" E,
Al Basrah Al Qadimah :,30°29'44.2" N,47°49'3.0" E,
Zhengzhou :,34°41'1.0" N,113°31'58.8" E,
Cheng :,34°45'28.1" N,113°38'56.4" E,
Medellin (Medellín) :,6°17'29.0" N,75°32'10.0" W,
Algiers :,36°45'47.2" N,3°3'2.0" E,
Tashkent :,41°19'0.1" N,69°15'0.0" E,
Al Jazair :,36°45'47.2" N,3°3'2.0" E,
Khartoum :,15°35'17.2" N,32°32'3.1" E,
Accra :,5°32'60.0" N,0°13'0.0" W,
Guayaquil :,2°10'0.0" S,79°54'0.0" W,
Maracaibo :,10°37'54.1" N,71°38'26.2" W,
Rabat :,34°1'31.1" N,6°50'10.0" W,
Sapporo :,43°3'16.9" N,141°21'14.4" E,
Jilin :,43°51'2.9" N,126°33'36.0" E,
Hangzhou :,30°15'19.1" N,120°10'8.4" E,
Bucuresti :,44°25'59.9" N,26°6'0.0" E,
Nanchang :,28°33'0.0" N,115°55'58.8" E,
Camayenne :,9°32'6.0" N,13°41'16.1" W,
Brisbane :,27°30'0.0" S,153°1'1.2" E,
Vancouver :,49°15'0.0" N,123°7'58.8" W,
Indore :,22°43'0.1" N,75°49'59.9" E,
Caracas :,10°30'0.0" N,66°55'0.1" W,
Ecatepec :,19°36'4.0" N,99°3'9.0" W,
Sanaa :,15°21'16.9" N,44°12'24.1" E,
Changwat Chiang Mai :,18°47'25.1" N,98°58'54.1" E,
Medan :,3°34'60.0" N,98°40'0.1" E,
Rawalpindi :,33°36'0.0" N,73°4'0.1" E,
Minsk :,53°53'60.0" N,27°34'0.1" E,
Mosul :,36°20'6.0" N,43°7'8.0" E,
Hamburg :,53°32'60.0" N,10°0'0.0" E,
Curitiba :,25°25'0.1" S,49°15'0.0" W,
Budapest :,47°30'0.0" N,19°4'59.9" E,
Bandung :,6°54'46.0" S,107°37'15.6" E,
Soweto :,26°16'0.1" S,27°52'0.1" E,
Edessa :,37°9'4.0" N,38°47'34.1" E,
Warsaw :,52°15'0.0" N,21°0'0.0" E,
Qingdao :,36°5'55.0" N,120°22'19.2" E,
Guadalajara :,20°40'0.1" N,103°19'58.8" W,
Pretoria :,25°42'24.8" S,28°13'45.8" E,
Alep :,36°12'10.1" N,37°9'31.0" E,
Patna :,25°36'0.0" N,85°7'0.1" E,
Bhopal :,23°16'0.1" N,77°24'0.0" E,
New Patna :,25°36'0.0" N,85°7'0.1" E,
Manaus :,3°6'48.0" S,60°1'31.1" W,
Xinyang :,32°5'44.9" N,114°7'12.0" E,
Kaduna :,10°31'23.2" N,7°26'25.0" E,
Damascus :,33°30'0.0" N,36°17'60.0" E,
Phnom Penh :,11°33'0.0" N,104°55'1.2" E,
Barcelona :,41°22'59.9" N,2°10'60.0" E,
Al-sham :,33°30'0.0" N,36°17'60.0" E,
Wien :,48°12'0.0" N,16°22'0.1" E,
Esfahan :,32°39'34.9" N,51°40'17.0" E,
Ludhiana :,30°53'60.0" N,75°50'60.0" E,
Changwat Nakhon Si Thammarat :,8°25'60.0" N,99°58'0.1" E,
Kobe :,34°40'59.9" N,135°10'1.2" E,
Bekasi :,6°14'22.0" S,106°59'34.8" E,
Kaohsiung :,22°37'59.9" N,120°20'60.0" E,
Kaohsiung :,22°37'4.1" N,120°18'3.6" E,
Ciudad Juarez (Ciudad Juárez) :,31°43'59.9" N,106°28'58.8" W,
Urumqi (Rümqi) :,43°47'60.0" N,87°34'59.9" E,
Changwat Chiang Rai :,19°52'59.9" N,99°45'0.0" E,
Changwat Surin :,14°49'0.1" N,103°25'1.2" E,
Thana :,19°11'60.0" N,72°58'0.1" E,
Recife :,8°3'0.0" S,34°53'60.0" W,
